"20% - RawData"
"Wavelength nm.","Abs."
300.00000,0.766663
300.50000, 
301.00000,0.759689
301.50000, 
302.00000,0.752090
302.50000, 
303.00000,0.744217
303.50000, 
304.00000,0.737686
304.50000, 
305.00000,0.731323
305.50000, 
306.00000,0.726196
306.50000, 
307.00000,0.721039
307.50000, 
308.00000,0.716888
308.50000, 
309.00000,0.713272
309.50000, 
310.00000,0.710587
310.50000, 
311.00000,0.708389
311.50000, 
312.00000,0.705826
312.50000, 
313.00000,0.704346
313.50000, 
314.00000,0.703217
314.50000, 
315.00000,0.701904
315.50000, 
316.00000,0.701462
316.50000, 
317.00000,0.701065
317.50000, 
318.00000,0.700958
318.50000, 
319.00000,0.701294
319.50000, 
320.00000,0.701691
320.50000, 
321.00000,0.702621
321.50000, 
322.00000,0.703903
322.50000, 
323.00000,0.705399
323.50000, 
324.00000,0.707535
324.50000, 
325.00000,0.709610
325.50000, 
326.00000,0.712311
326.50000, 
327.00000,0.715073
327.50000, 
328.00000,0.718475
328.50000, 
329.00000,0.722107
329.50000, 
330.00000,0.725693
330.50000, 
331.00000,0.729324
331.50000, 
332.00000,0.733566
332.50000, 
333.00000,0.737640
333.50000, 
334.00000,0.742096
334.50000, 
335.00000,0.746658
335.50000, 
336.00000,0.751770
336.50000, 
337.00000,0.757065
337.50000, 
338.00000,0.762161
338.50000, 
339.00000,0.767715
339.50000, 
340.00000,0.769012
340.50000, 
341.00000,0.770874
341.50000, 
342.00000,0.775726
342.50000, 
343.00000,0.780945
343.50000, 
344.00000,0.786285
344.50000, 
345.00000,0.792313
345.50000, 
346.00000,0.798157
346.50000, 
347.00000,0.804169
347.50000, 
348.00000,0.810272
348.50000, 
349.00000,0.816376
349.50000, 
350.00000,0.821381
350.50000, 
351.00000,0.827866
351.50000, 
352.00000,0.835327
352.50000, 
353.00000,0.841278
353.50000, 
354.00000,0.847855
354.50000, 
355.00000,0.855042
355.50000, 
356.00000,0.861130
356.50000, 
357.00000,0.868134
357.50000, 
358.00000,0.875854
358.50000, 
359.00000,0.884262
359.50000, 
360.00000,0.890976
360.50000, 
361.00000,0.896973
361.50000, 
362.00000,0.905365
362.50000, 
363.00000,0.911896
363.50000, 
364.00000,0.920731
364.50000, 
365.00000,0.926636
365.50000, 
366.00000,0.932983
366.50000, 
367.00000,0.940811
367.50000, 
368.00000,0.949005
368.50000, 
369.00000,0.957535
369.50000, 
370.00000,0.964661
370.50000, 
371.00000,0.973022
371.50000, 
372.00000,0.980255
372.50000, 
373.00000,0.988495
373.50000, 
374.00000,0.996292
374.50000, 
375.00000,1.005997
375.50000, 
376.00000,1.013885
376.50000, 
377.00000,1.021912
377.50000, 
378.00000,1.031830
378.50000, 
379.00000,1.040863
379.50000, 
380.00000,1.049469
380.50000, 
381.00000,1.058655
381.50000, 
382.00000,1.069031
382.50000, 
383.00000,1.077713
383.50000, 
384.00000,1.086746
384.50000, 
385.00000,1.095764
385.50000, 
386.00000,1.105667
386.50000, 
387.00000,1.116623
387.50000, 
388.00000,1.127060
388.50000, 
389.00000,1.136917
389.50000, 
390.00000,1.147614
390.50000, 
391.00000,1.157669
391.50000, 
392.00000,1.168671
392.50000, 
393.00000,1.180573
393.50000, 
394.00000,1.193192
394.50000, 
395.00000,1.206055
395.50000, 
396.00000,1.219284
396.50000, 
397.00000,1.233368
397.50000, 
398.00000,1.245895
398.50000, 
399.00000,1.259399
399.50000, 
400.00000,1.272751
400.50000, 
401.00000,1.285950
401.50000, 
402.00000,1.298523
402.50000, 
403.00000,1.310883
403.50000, 
404.00000,1.323639
404.50000, 
405.00000,1.335266
405.50000, 
406.00000,1.347382
406.50000, 
407.00000,1.360626
407.50000, 
408.00000,1.371643
408.50000, 
409.00000,1.384232
409.50000, 
410.00000,1.397339
410.50000, 
411.00000,1.408890
411.50000, 
412.00000,1.421173
412.50000, 
413.00000,1.433868
413.50000, 
414.00000,1.446533
414.50000, 
415.00000,1.458847
415.50000, 
416.00000,1.471558
416.50000, 
417.00000,1.485046
417.50000, 
418.00000,1.498398
418.50000, 
419.00000,1.510559
419.50000, 
420.00000,1.523590
420.50000, 
421.00000,1.536942
421.50000, 
422.00000,1.550308
422.50000, 
423.00000,1.562836
423.50000, 
424.00000,1.575272
424.50000, 
425.00000,1.589401
425.50000, 
426.00000,1.603790
426.50000, 
427.00000,1.617996
427.50000, 
428.00000,1.633438
428.50000, 
429.00000,1.646805
429.50000, 
430.00000,1.662170
430.50000, 
431.00000,1.677246
431.50000, 
432.00000,1.693466
432.50000, 
433.00000,1.708725
433.50000, 
434.00000,1.724777
434.50000, 
435.00000,1.739029
435.50000, 
436.00000,1.754303
436.50000, 
437.00000,1.771667
437.50000, 
438.00000,1.787201
438.50000, 
439.00000,1.803162
439.50000, 
440.00000,1.817734
440.50000, 
441.00000,1.835297
441.50000, 
442.00000,1.849503
442.50000, 
443.00000,1.864944
443.50000, 
444.00000,1.882172
444.50000, 
445.00000,1.898193
445.50000, 
446.00000,1.913498
446.50000, 
447.00000,1.928680
447.50000, 
448.00000,1.944870
448.50000, 
449.00000,1.962494
449.50000, 
450.00000,1.977142
450.50000, 
451.00000,1.992569
451.50000, 
452.00000,2.008667
452.50000, 
453.00000,2.025665
453.50000, 
454.00000,2.041611
454.50000, 
455.00000,2.057556
455.50000, 
456.00000,2.073349
456.50000, 
457.00000,2.091660
457.50000, 
458.00000,2.108536
458.50000, 
459.00000,2.125031
459.50000, 
460.00000,2.141022
460.50000, 
461.00000,2.155746
461.50000, 
462.00000,2.169205
462.50000, 
463.00000,2.185974
463.50000, 
464.00000,2.201477
464.50000, 
465.00000,2.216522
465.50000, 
466.00000,2.234711
466.50000, 
467.00000,2.249329
467.50000, 
468.00000,2.262497
468.50000, 
469.00000,2.276855
469.50000, 
470.00000,2.289520
470.50000, 
471.00000,2.305084
471.50000, 
472.00000,2.318695
472.50000, 
473.00000,2.325531
473.50000, 
474.00000,2.340561
474.50000, 
475.00000,2.355103
475.50000, 
476.00000,2.370926
476.50000, 
477.00000,2.382843
477.50000, 
478.00000,2.397079
478.50000, 
479.00000,2.409637
479.50000, 
480.00000,2.424942
480.50000, 
481.00000,2.442429
481.50000, 
482.00000,2.457489
482.50000, 
483.00000,2.472504
483.50000, 
484.00000,2.487595
484.50000, 
485.00000,2.500061
485.50000, 
486.00000,2.516800
486.50000, 
487.00000,2.534683
487.50000, 
488.00000,2.548355
488.50000, 
489.00000,2.564468
489.50000, 
490.00000,2.571594
490.50000, 
491.00000,2.586456
491.50000, 
492.00000,2.596939
492.50000, 
493.00000,2.607269
493.50000, 
494.00000,2.614929
494.50000, 
495.00000,2.623672
495.50000, 
496.00000,2.628174
496.50000, 
497.00000,2.636627
497.50000, 
498.00000,2.639008
498.50000, 
499.00000,2.646103
499.50000, 
500.00000,2.650742
500.50000, 
501.00000,2.651764
501.50000, 
502.00000,2.654892
502.50000, 
503.00000,2.660355
503.50000, 
504.00000,2.661987
504.50000, 
505.00000,2.667419
505.50000, 
506.00000,2.671539
506.50000, 
507.00000,2.672867
507.50000, 
508.00000,2.672226
508.50000, 
509.00000,2.676437
509.50000, 
510.00000,2.676208
510.50000, 
511.00000,2.677032
511.50000, 
512.00000,2.679947
512.50000, 
513.00000,2.679321
513.50000, 
514.00000,2.679291
514.50000, 
515.00000,2.680023
515.50000, 
516.00000,2.678818
516.50000, 
517.00000,2.670944
517.50000, 
518.00000,2.675339
518.50000, 
519.00000,2.670258
519.50000, 
520.00000,2.670135
520.50000, 
521.00000,2.667526
521.50000, 
522.00000,2.662491
522.50000, 
523.00000,2.658401
523.50000, 
524.00000,2.654648
524.50000, 
525.00000,2.649155
525.50000, 
526.00000,2.643265
526.50000, 
527.00000,2.638321
527.50000, 
528.00000,2.631165
528.50000, 
529.00000,2.625397
529.50000, 
530.00000,2.619064
530.50000, 
531.00000,2.620758
531.50000, 
532.00000,2.612457
532.50000, 
533.00000,2.606232
533.50000, 
534.00000,2.600891
534.50000, 
535.00000,2.598694
535.50000, 
536.00000,2.563065
536.50000, 
537.00000,2.531189
537.50000, 
538.00000,2.528687
538.50000, 
539.00000,2.523636
539.50000, 
540.00000,2.521469
540.50000, 
541.00000,2.518356
541.50000, 
542.00000,2.517426
542.50000, 
543.00000,2.515610
543.50000, 
544.00000,2.513794
544.50000, 
545.00000,2.508255
545.50000, 
546.00000,2.505737
546.50000, 
547.00000,2.503555
547.50000, 
548.00000,2.501144
548.50000, 
549.00000,2.496323
549.50000, 
550.00000,2.492386
550.50000, 
551.00000,2.486374
551.50000, 
552.00000,2.481430
552.50000, 
553.00000,2.476990
553.50000, 
554.00000,2.469986
554.50000, 
555.00000,2.461487
555.50000, 
556.00000,2.451538
556.50000, 
557.00000,2.442932
557.50000, 
558.00000,2.431198
558.50000, 
559.00000,2.418625
559.50000, 
560.00000,2.406464
560.50000, 
561.00000,2.392197
561.50000, 
562.00000,2.380234
562.50000, 
563.00000,2.366287
563.50000, 
564.00000,2.348877
564.50000, 
565.00000,2.331482
565.50000, 
566.00000,2.314178
566.50000, 
567.00000,2.296722
567.50000, 
568.00000,2.278427
568.50000, 
569.00000,2.258774
569.50000, 
570.00000,2.238785
570.50000, 
571.00000,2.219696
571.50000, 
572.00000,2.198975
572.50000, 
573.00000,2.179016
573.50000, 
574.00000,2.158646
574.50000, 
575.00000,2.137253
575.50000, 
576.00000,2.115463
576.50000, 
577.00000,2.095917
577.50000, 
578.00000,2.075806
578.50000, 
579.00000,2.057190
579.50000, 
580.00000,2.038696
580.50000, 
581.00000,2.021088
581.50000, 
582.00000,2.004120
582.50000, 
583.00000,1.988495
583.50000, 
584.00000,1.973434
584.50000, 
585.00000,1.960419
585.50000, 
586.00000,1.947693
586.50000, 
587.00000,1.936478
587.50000, 
588.00000,1.925644
588.50000, 
589.00000,1.916595
589.50000, 
590.00000,1.908173
590.50000, 
591.00000,1.900223
591.50000, 
592.00000,1.893494
592.50000, 
593.00000,1.886902
593.50000, 
594.00000,1.880692
594.50000, 
595.00000,1.874496
595.50000, 
596.00000,1.868301
596.50000, 
597.00000,1.862015
597.50000, 
598.00000,1.855194
598.50000, 
599.00000,1.847626
599.50000, 
600.00000,1.839294
600.50000, 
601.00000,1.829926
601.50000, 
602.00000,1.819168
602.50000, 
603.00000,1.806580
603.50000, 
604.00000,1.792511
604.50000, 
605.00000,1.776947
605.50000, 
606.00000,1.759644
606.50000, 
607.00000,1.740341
607.50000, 
608.00000,1.720184
608.50000, 
609.00000,1.697632
609.50000, 
610.00000,1.673203
610.50000, 
611.00000,1.647522
611.50000, 
612.00000,1.618942
612.50000, 
613.00000,1.589478
613.50000, 
614.00000,1.558060
614.50000, 
615.00000,1.525330
615.50000, 
616.00000,1.491806
616.50000, 
617.00000,1.456940
617.50000, 
618.00000,1.419708
618.50000, 
619.00000,1.381149
619.50000, 
620.00000,1.342163
620.50000, 
621.00000,1.301483
621.50000, 
622.00000,1.260040
622.50000, 
623.00000,1.217621
623.50000, 
624.00000,1.173141
624.50000, 
625.00000,1.128983
625.50000, 
626.00000,1.085114
626.50000, 
627.00000,1.040375
627.50000, 
628.00000,0.995758
628.50000, 
629.00000,0.951584
629.50000, 
630.00000,0.908493
630.50000, 
631.00000,0.866959
631.50000, 
632.00000,0.825211
632.50000, 
633.00000,0.785217
633.50000, 
634.00000,0.746857
634.50000, 
635.00000,0.709122
635.50000, 
636.00000,0.676331
636.50000, 
637.00000,0.644897
637.50000, 
638.00000,0.615860
638.50000, 
639.00000,0.587540
639.50000, 
640.00000,0.561356
640.50000, 
641.00000,0.536926
641.50000, 
642.00000,0.513901
642.50000, 
643.00000,0.492554
643.50000, 
644.00000,0.472260
644.50000, 
645.00000,0.453003
645.50000, 
646.00000,0.434540
646.50000, 
647.00000,0.416962
647.50000, 
648.00000,0.400543
648.50000, 
649.00000,0.384796
649.50000, 
650.00000,0.370377
650.50000, 
651.00000,0.357254
651.50000, 
652.00000,0.345123
652.50000, 
653.00000,0.334030
653.50000, 
654.00000,0.323624
654.50000, 
655.00000,0.314285
655.50000, 
656.00000,0.305801
656.50000, 
657.00000,0.298126
657.50000, 
658.00000,0.291214
658.50000, 
659.00000,0.284973
659.50000, 
660.00000,0.279114
660.50000, 
661.00000,0.273621
661.50000, 
662.00000,0.268784
662.50000, 
663.00000,0.264328
663.50000, 
664.00000,0.260269
664.50000, 
665.00000,0.256454
665.50000, 
666.00000,0.252975
666.50000, 
667.00000,0.249908
667.50000, 
668.00000,0.247040
668.50000, 
669.00000,0.244247
669.50000, 
670.00000,0.241730
670.50000, 
671.00000,0.239273
671.50000, 
672.00000,0.236908
672.50000, 
673.00000,0.234818
673.50000, 
674.00000,0.232895
674.50000, 
675.00000,0.231079
675.50000, 
676.00000,0.229446
676.50000, 
677.00000,0.227859
677.50000, 
678.00000,0.226425
678.50000, 
679.00000,0.225082
679.50000, 
680.00000,0.223846
680.50000, 
681.00000,0.222595
681.50000, 
682.00000,0.221451
682.50000, 
683.00000,0.220428
683.50000, 
684.00000,0.219498
684.50000, 
685.00000,0.218567
685.50000, 
686.00000,0.217636
686.50000, 
687.00000,0.216766
687.50000, 
688.00000,0.215942
688.50000, 
689.00000,0.215195
689.50000, 
690.00000,0.214462
690.50000, 
691.00000,0.213730
691.50000, 
692.00000,0.213058
692.50000, 
693.00000,0.212372
693.50000, 
694.00000,0.211746
694.50000, 
695.00000,0.211151
695.50000, 
696.00000,0.210526
696.50000, 
697.00000,0.209915
697.50000, 
698.00000,0.209335
698.50000, 
699.00000,0.208786
699.50000, 
700.00000,0.208221
700.50000, 
701.00000,0.207657
701.50000, 
702.00000,0.207214
702.50000, 
703.00000,0.206757
703.50000, 
704.00000,0.206299
704.50000, 
705.00000,0.205872
705.50000, 
706.00000,0.205460
706.50000, 
707.00000,0.204987
707.50000, 
708.00000,0.204529
708.50000, 
709.00000,0.204163
709.50000, 
710.00000,0.203812
710.50000, 
711.00000,0.203323
711.50000, 
712.00000,0.202927
712.50000, 
713.00000,0.202606
713.50000, 
714.00000,0.202271
714.50000, 
715.00000,0.201843
715.50000, 
716.00000,0.201523
716.50000, 
717.00000,0.201157
717.50000, 
718.00000,0.200729
718.50000, 
719.00000,0.200455
719.50000, 
720.00000,0.200119
720.50000, 
721.00000,0.199753
721.50000, 
722.00000,0.199417
722.50000, 
723.00000,0.199097
723.50000, 
724.00000,0.198776
724.50000, 
725.00000,0.198410
725.50000, 
726.00000,0.198181
726.50000, 
727.00000,0.197845
727.50000, 
728.00000,0.197571
728.50000, 
729.00000,0.197220
729.50000, 
730.00000,0.196899
730.50000, 
731.00000,0.196594
731.50000, 
732.00000,0.196411
732.50000, 
733.00000,0.196198
733.50000, 
734.00000,0.195908
734.50000, 
735.00000,0.195633
735.50000, 
736.00000,0.195358
736.50000, 
737.00000,0.195129
737.50000, 
738.00000,0.194870
738.50000, 
739.00000,0.194611
739.50000, 
740.00000,0.194443
740.50000, 
741.00000,0.194153
741.50000, 
742.00000,0.193863
742.50000, 
743.00000,0.193604
743.50000, 
744.00000,0.193436
744.50000, 
745.00000,0.193130
745.50000, 
746.00000,0.192734
746.50000, 
747.00000,0.192352
747.50000, 
748.00000,0.192078
748.50000, 
749.00000,0.191742
749.50000, 
750.00000,0.191452
750.50000, 
751.00000,0.191193
751.50000, 
752.00000,0.190979
752.50000, 
753.00000,0.190704
753.50000, 
754.00000,0.190460
754.50000, 
755.00000,0.190155
755.50000, 
756.00000,0.189941
756.50000, 
757.00000,0.189621
757.50000, 
758.00000,0.189377
758.50000, 
759.00000,0.189209
759.50000, 
760.00000,0.189011
760.50000, 
761.00000,0.188782
761.50000, 
762.00000,0.188522
762.50000, 
763.00000,0.188309
763.50000, 
764.00000,0.188034
764.50000, 
765.00000,0.187820
765.50000, 
766.00000,0.187576
766.50000, 
767.00000,0.187317
767.50000, 
768.00000,0.186996
768.50000, 
769.00000,0.186829
769.50000, 
770.00000,0.186600
770.50000, 
771.00000,0.186340
771.50000, 
772.00000,0.186127
772.50000, 
773.00000,0.185852
773.50000, 
774.00000,0.185654
774.50000, 
775.00000,0.185455
775.50000, 
776.00000,0.185181
776.50000, 
777.00000,0.184952
777.50000, 
778.00000,0.184784
778.50000, 
779.00000,0.184509
779.50000, 
780.00000,0.184296
780.50000, 
781.00000,0.184067
781.50000, 
782.00000,0.183853
782.50000, 
783.00000,0.183640
783.50000, 
784.00000,0.183441
784.50000, 
785.00000,0.183243
785.50000, 
786.00000,0.182999
786.50000, 
787.00000,0.182785
787.50000, 
788.00000,0.182541
788.50000, 
789.00000,0.182266
789.50000, 
790.00000,0.182114
790.50000, 
791.00000,0.181900
791.50000, 
792.00000,0.181702
792.50000, 
793.00000,0.181534
793.50000, 
794.00000,0.181290
794.50000, 
795.00000,0.181107
795.50000, 
796.00000,0.180862
796.50000, 
797.00000,0.180634
797.50000, 
798.00000,0.180420
798.50000, 
799.00000,0.180206
799.50000, 
800.00000,0.180084
800.50000, 
801.00000,0.179901
801.50000, 
802.00000,0.179688
802.50000, 
803.00000,0.179413
803.50000, 
804.00000,0.179199
804.50000, 
805.00000,0.179169
805.50000, 
806.00000,0.178955
806.50000, 
807.00000,0.178680
807.50000, 
808.00000,0.178467
808.50000, 
809.00000,0.178299
809.50000, 
810.00000,0.178131
810.50000, 
811.00000,0.178116
811.50000, 
812.00000,0.177872
812.50000, 
813.00000,0.177582
813.50000, 
814.00000,0.177353
814.50000, 
815.00000,0.177124
815.50000, 
816.00000,0.176956
816.50000, 
817.00000,0.176865
817.50000, 
818.00000,0.176636
818.50000, 
819.00000,0.176361
819.50000, 
820.00000,0.176102
820.50000, 
821.00000,0.176071
821.50000, 
822.00000,0.175873
822.50000, 
823.00000,0.175812
823.50000, 
824.00000,0.175522
824.50000, 
825.00000,0.175400
825.50000, 
826.00000,0.175247
826.50000, 
827.00000,0.175079
827.50000, 
828.00000,0.174973
828.50000, 
829.00000,0.174759
829.50000, 
830.00000,0.174637
830.50000, 
831.00000,0.174515
831.50000, 
832.00000,0.174393
832.50000, 
833.00000,0.174072
833.50000, 
834.00000,0.174057
834.50000, 
835.00000,0.173828
835.50000, 
836.00000,0.173706
836.50000, 
837.00000,0.173584
837.50000, 
838.00000,0.173386
838.50000, 
839.00000,0.173218
839.50000, 
840.00000,0.173111
840.50000, 
841.00000,0.173035
841.50000, 
842.00000,0.172852
842.50000, 
843.00000,0.172729
843.50000, 
844.00000,0.172623
844.50000, 
845.00000,0.172516
845.50000, 
846.00000,0.172409
846.50000, 
847.00000,0.172226
847.50000, 
848.00000,0.172150
848.50000, 
849.00000,0.172058
849.50000, 
850.00000,0.171875
850.50000, 
851.00000,0.171753
851.50000, 
852.00000,0.171646
852.50000, 
853.00000,0.171494
853.50000, 
854.00000,0.171402
854.50000, 
855.00000,0.171295
855.50000, 
856.00000,0.171173
856.50000, 
857.00000,0.170990
857.50000, 
858.00000,0.170853
858.50000, 
859.00000,0.170715
859.50000, 
860.00000,0.170624
860.50000, 
861.00000,0.170563
861.50000, 
862.00000,0.170425
862.50000, 
863.00000,0.170319
863.50000, 
864.00000,0.170181
864.50000, 
865.00000,0.170044
865.50000, 
866.00000,0.169907
866.50000, 
867.00000,0.169861
867.50000, 
868.00000,0.169754
868.50000, 
869.00000,0.169662
869.50000, 
870.00000,0.169540
870.50000, 
871.00000,0.169449
871.50000, 
872.00000,0.169342
872.50000, 
873.00000,0.169327
873.50000, 
874.00000,0.169250
874.50000, 
875.00000,0.169174
875.50000, 
876.00000,0.169083
876.50000, 
877.00000,0.169052
877.50000, 
878.00000,0.168900
878.50000, 
879.00000,0.168854
879.50000, 
880.00000,0.168793
880.50000, 
881.00000,0.168655
881.50000, 
882.00000,0.168518
882.50000, 
