"0%V - RawData"
"Wavelength nm.","Abs."
300.00000,4.000000
300.50000, 
301.00000,3.977829
301.50000, 
302.00000,3.932281
302.50000, 
303.00000,3.972702
303.50000, 
304.00000,3.946960
304.50000, 
305.00000,3.999207
305.50000, 
306.00000,3.958878
306.50000, 
307.00000,3.974213
307.50000, 
308.00000,3.895035
308.50000, 
309.00000,3.996628
309.50000, 
310.00000,3.958786
310.50000, 
311.00000,4.000000
311.50000, 
312.00000,3.980453
312.50000, 
313.00000,4.000000
313.50000, 
314.00000,3.960876
314.50000, 
315.00000,3.976807
315.50000, 
316.00000,3.966110
316.50000, 
317.00000,3.934769
317.50000, 
318.00000,3.964142
318.50000, 
319.00000,3.963974
319.50000, 
320.00000,3.939682
320.50000, 
321.00000,3.967896
321.50000, 
322.00000,3.829193
322.50000, 
323.00000,3.995239
323.50000, 
324.00000,4.000000
324.50000, 
325.00000,3.970459
325.50000, 
326.00000,3.957031
326.50000, 
327.00000,4.000000
327.50000, 
328.00000,3.981995
328.50000, 
329.00000,4.000000
329.50000, 
330.00000,3.937180
330.50000, 
331.00000,3.932755
331.50000, 
332.00000,3.980713
332.50000, 
333.00000,3.930496
333.50000, 
334.00000,3.997650
334.50000, 
335.00000,3.951157
335.50000, 
336.00000,3.996704
336.50000, 
337.00000,3.924866
337.50000, 
338.00000,3.969391
338.50000, 
339.00000,4.000000
339.50000, 
340.00000,3.950592
340.50000, 
341.00000,3.999298
341.50000, 
342.00000,3.946106
342.50000, 
343.00000,3.957062
343.50000, 
344.00000,3.956070
344.50000, 
345.00000,4.000000
345.50000, 
346.00000,3.936005
346.50000, 
347.00000,4.000000
347.50000, 
348.00000,3.963455
348.50000, 
349.00000,4.000000
349.50000, 
350.00000,3.950745
350.50000, 
351.00000,3.877182
351.50000, 
352.00000,3.957520
352.50000, 
353.00000,4.000000
353.50000, 
354.00000,3.966919
354.50000, 
355.00000,3.984894
355.50000, 
356.00000,3.989548
356.50000, 
357.00000,4.000000
357.50000, 
358.00000,3.971054
358.50000, 
359.00000,3.979462
359.50000, 
360.00000,4.000000
360.50000, 
361.00000,3.780640
361.50000, 
362.00000,3.974976
362.50000, 
363.00000,4.000000
363.50000, 
364.00000,3.956680
364.50000, 
365.00000,3.885574
365.50000, 
366.00000,3.821014
366.50000, 
367.00000,3.976379
367.50000, 
368.00000,3.916107
368.50000, 
369.00000,3.940033
369.50000, 
370.00000,3.948807
370.50000, 
371.00000,3.935822
371.50000, 
372.00000,3.950607
372.50000, 
373.00000,3.985153
373.50000, 
374.00000,3.972214
374.50000, 
375.00000,3.993362
375.50000, 
376.00000,3.990097
376.50000, 
377.00000,3.934006
377.50000, 
378.00000,3.952850
378.50000, 
379.00000,3.981079
379.50000, 
380.00000,3.936523
380.50000, 
381.00000,3.909424
381.50000, 
382.00000,3.636124
382.50000, 
383.00000,3.368881
383.50000, 
384.00000,3.044556
384.50000, 
385.00000,2.752441
385.50000, 
386.00000,2.582047
386.50000, 
387.00000,2.398315
387.50000, 
388.00000,2.233887
388.50000, 
389.00000,2.079025
389.50000, 
390.00000,1.953323
390.50000, 
391.00000,1.833191
391.50000, 
392.00000,1.735321
392.50000, 
393.00000,1.650055
393.50000, 
394.00000,1.572357
394.50000, 
395.00000,1.511108
395.50000, 
396.00000,1.458801
396.50000, 
397.00000,1.415298
397.50000, 
398.00000,1.381607
398.50000, 
399.00000,1.352188
399.50000, 
400.00000,1.327881
400.50000, 
401.00000,1.306122
401.50000, 
402.00000,1.286835
402.50000, 
403.00000,1.269653
403.50000, 
404.00000,1.252914
404.50000, 
405.00000,1.238602
405.50000, 
406.00000,1.225708
406.50000, 
407.00000,1.213913
407.50000, 
408.00000,1.204254
408.50000, 
409.00000,1.196518
409.50000, 
410.00000,1.189453
410.50000, 
411.00000,1.184113
411.50000, 
412.00000,1.180115
412.50000, 
413.00000,1.177094
413.50000, 
414.00000,1.174454
414.50000, 
415.00000,1.173340
415.50000, 
416.00000,1.171478
416.50000, 
417.00000,1.171066
417.50000, 
418.00000,1.171158
418.50000, 
419.00000,1.171677
419.50000, 
420.00000,1.172607
420.50000, 
421.00000,1.174271
421.50000, 
422.00000,1.176178
422.50000, 
423.00000,1.178223
423.50000, 
424.00000,1.180527
424.50000, 
425.00000,1.182999
425.50000, 
426.00000,1.186279
426.50000, 
427.00000,1.189560
427.50000, 
428.00000,1.193237
428.50000, 
429.00000,1.196991
429.50000, 
430.00000,1.200470
430.50000, 
431.00000,1.204727
431.50000, 
432.00000,1.209229
432.50000, 
433.00000,1.213715
433.50000, 
434.00000,1.218353
434.50000, 
