"10% - RawData"
"Wavelength nm.","Abs."
300.00000,0.356750
300.50000, 
301.00000,0.353790
301.50000, 
302.00000,0.350540
302.50000, 
303.00000,0.347229
303.50000, 
304.00000,0.344254
304.50000, 
305.00000,0.341385
305.50000, 
306.00000,0.339554
306.50000, 
307.00000,0.337128
307.50000, 
308.00000,0.334900
308.50000, 
309.00000,0.332932
309.50000, 
310.00000,0.331177
310.50000, 
311.00000,0.329559
311.50000, 
312.00000,0.328003
312.50000, 
313.00000,0.326706
313.50000, 
314.00000,0.325302
314.50000, 
315.00000,0.324066
315.50000, 
316.00000,0.323029
316.50000, 
317.00000,0.321838
317.50000, 
318.00000,0.321365
318.50000, 
319.00000,0.320572
319.50000, 
320.00000,0.320007
320.50000, 
321.00000,0.319687
321.50000, 
322.00000,0.319382
322.50000, 
323.00000,0.319016
323.50000, 
324.00000,0.318878
324.50000, 
325.00000,0.318954
325.50000, 
326.00000,0.319199
326.50000, 
327.00000,0.319427
327.50000, 
328.00000,0.319977
328.50000, 
329.00000,0.320068
329.50000, 
330.00000,0.320511
330.50000, 
331.00000,0.321259
331.50000, 
332.00000,0.322006
332.50000, 
333.00000,0.322754
333.50000, 
334.00000,0.323517
334.50000, 
335.00000,0.324127
335.50000, 
336.00000,0.325272
336.50000, 
337.00000,0.326523
337.50000, 
338.00000,0.327316
338.50000, 
339.00000,0.328415
339.50000, 
340.00000,0.328644
340.50000, 
341.00000,0.328857
341.50000, 
342.00000,0.330093
342.50000, 
343.00000,0.331146
343.50000, 
344.00000,0.332214
344.50000, 
345.00000,0.333862
345.50000, 
346.00000,0.335190
346.50000, 
347.00000,0.335968
347.50000, 
348.00000,0.338226
348.50000, 
349.00000,0.339127
349.50000, 
350.00000,0.340942
350.50000, 
351.00000,0.342545
351.50000, 
352.00000,0.344070
352.50000, 
353.00000,0.346161
353.50000, 
354.00000,0.347519
354.50000, 
355.00000,0.349396
355.50000, 
356.00000,0.351089
356.50000, 
357.00000,0.352936
357.50000, 
358.00000,0.355103
358.50000, 
359.00000,0.357468
359.50000, 
360.00000,0.359207
360.50000, 
361.00000,0.361313
361.50000, 
362.00000,0.363419
362.50000, 
363.00000,0.364975
363.50000, 
364.00000,0.367661
364.50000, 
365.00000,0.368973
365.50000, 
366.00000,0.370895
366.50000, 
367.00000,0.373138
367.50000, 
368.00000,0.375427
368.50000, 
369.00000,0.378113
369.50000, 
370.00000,0.380447
370.50000, 
371.00000,0.382751
371.50000, 
372.00000,0.385315
372.50000, 
373.00000,0.387314
373.50000, 
374.00000,0.389999
374.50000, 
375.00000,0.392929
375.50000, 
376.00000,0.395432
376.50000, 
377.00000,0.397919
377.50000, 
378.00000,0.400787
378.50000, 
379.00000,0.403595
379.50000, 
380.00000,0.406570
380.50000, 
381.00000,0.409424
381.50000, 
382.00000,0.412537
382.50000, 
383.00000,0.415359
383.50000, 
384.00000,0.418411
384.50000, 
385.00000,0.421509
385.50000, 
386.00000,0.424591
386.50000, 
387.00000,0.427963
387.50000, 
388.00000,0.431290
388.50000, 
389.00000,0.434540
389.50000, 
390.00000,0.438049
390.50000, 
391.00000,0.441483
391.50000, 
392.00000,0.445068
392.50000, 
393.00000,0.448822
393.50000, 
394.00000,0.452484
394.50000, 
395.00000,0.456268
395.50000, 
396.00000,0.460480
396.50000, 
397.00000,0.464539
397.50000, 
398.00000,0.468704
398.50000, 
399.00000,0.472855
399.50000, 
400.00000,0.477295
400.50000, 
401.00000,0.481537
401.50000, 
402.00000,0.485565
402.50000, 
403.00000,0.489548
403.50000, 
