"10%H - RawData"
"Wavelength nm.","Abs."
300.00000,4.000000
300.50000, 
301.00000,3.988434
301.50000, 
302.00000,4.000000
302.50000, 
303.00000,3.993286
303.50000, 
304.00000,3.990173
304.50000, 
305.00000,4.000000
305.50000, 
306.00000,3.976898
306.50000, 
307.00000,3.929077
307.50000, 
308.00000,3.875092
308.50000, 
309.00000,3.919662
309.50000, 
310.00000,3.958923
310.50000, 
311.00000,3.917297
311.50000, 
312.00000,4.000000
312.50000, 
313.00000,3.939560
313.50000, 
314.00000,3.896683
314.50000, 
315.00000,3.947601
315.50000, 
316.00000,3.968552
316.50000, 
317.00000,3.996475
317.50000, 
318.00000,3.955658
318.50000, 
319.00000,3.901947
319.50000, 
320.00000,3.965897
320.50000, 
321.00000,3.966949
321.50000, 
322.00000,4.000000
322.50000, 
323.00000,3.926041
323.50000, 
324.00000,3.978241
324.50000, 
325.00000,3.994751
325.50000, 
326.00000,3.965607
326.50000, 
327.00000,3.979721
327.50000, 
328.00000,3.935120
328.50000, 
329.00000,3.903061
329.50000, 
330.00000,3.927399
330.50000, 
331.00000,3.775635
331.50000, 
332.00000,4.000000
332.50000, 
333.00000,3.953140
333.50000, 
334.00000,3.891846
334.50000, 
335.00000,3.877533
335.50000, 
336.00000,3.894745
336.50000, 
337.00000,3.955933
337.50000, 
338.00000,3.778152
338.50000, 
339.00000,3.963425
339.50000, 
340.00000,3.970657
340.50000, 
341.00000,3.968124
341.50000, 
342.00000,3.869919
342.50000, 
343.00000,3.912674
343.50000, 
344.00000,3.978363
344.50000, 
345.00000,3.686752
345.50000, 
346.00000,3.964523
346.50000, 
347.00000,3.875854
347.50000, 
348.00000,3.987656
348.50000, 
349.00000,3.967834
349.50000, 
350.00000,3.802597
350.50000, 
351.00000,3.948975
351.50000, 
352.00000,3.918793
352.50000, 
353.00000,3.959091
353.50000, 
354.00000,3.871277
354.50000, 
355.00000,3.975174
355.50000, 
356.00000,3.858353
356.50000, 
357.00000,3.839661
357.50000, 
358.00000,3.941681
358.50000, 
359.00000,4.000000
359.50000, 
360.00000,3.981201
360.50000, 
361.00000,3.894791
361.50000, 
362.00000,3.935379
362.50000, 
363.00000,3.933243
363.50000, 
364.00000,3.978607
364.50000, 
365.00000,3.822189
365.50000, 
366.00000,4.000000
366.50000, 
367.00000,3.846664
367.50000, 
368.00000,3.719589
368.50000, 
369.00000,3.886276
369.50000, 
370.00000,3.932495
370.50000, 
371.00000,3.950394
371.50000, 
372.00000,3.927765
372.50000, 
373.00000,3.981277
373.50000, 
374.00000,3.978455
374.50000, 
375.00000,3.946182
375.50000, 
376.00000,3.828705
376.50000, 
377.00000,3.934738
377.50000, 
378.00000,3.855850
378.50000, 
379.00000,3.851059
379.50000, 
380.00000,3.756088
380.50000, 
381.00000,3.570587
381.50000, 
382.00000,3.479980
382.50000, 
383.00000,3.127319
383.50000, 
384.00000,2.905945
384.50000, 
385.00000,2.671936
385.50000, 
386.00000,2.479736
386.50000, 
387.00000,2.293243
387.50000, 
388.00000,2.121719
388.50000, 
389.00000,1.976578
389.50000, 
390.00000,1.833923
390.50000, 
391.00000,1.716843
391.50000, 
392.00000,1.613037
392.50000, 
393.00000,1.520187
393.50000, 
394.00000,1.431854
394.50000, 
395.00000,1.356262
395.50000, 
396.00000,1.288086
396.50000, 
397.00000,1.227982
397.50000, 
398.00000,1.176941
398.50000, 
399.00000,1.132172
399.50000, 
400.00000,1.095383
400.50000, 
401.00000,1.065323
401.50000, 
402.00000,1.040497
402.50000, 
403.00000,1.020355
403.50000, 
404.00000,1.003387
404.50000, 
405.00000,0.990524
405.50000, 
406.00000,0.980789
406.50000, 
407.00000,0.973572
407.50000, 
408.00000,0.968155
408.50000, 
409.00000,0.964874
409.50000, 
410.00000,0.962448
410.50000, 
411.00000,0.961288
411.50000, 
412.00000,0.961243
412.50000, 
413.00000,0.961578
413.50000, 
414.00000,0.962646
414.50000, 
415.00000,0.964096
415.50000, 
416.00000,0.965729
416.50000, 
417.00000,0.967621
417.50000, 
418.00000,0.970566
418.50000, 
419.00000,0.973236
419.50000, 
420.00000,0.976257
420.50000, 
421.00000,0.979904
421.50000, 
422.00000,0.983383
422.50000, 
423.00000,0.986938
423.50000, 
424.00000,0.990692
424.50000, 
425.00000,0.994720
425.50000, 
426.00000,0.999084
426.50000, 
427.00000,1.003342
427.50000, 
428.00000,1.008072
428.50000, 
429.00000,1.012817
429.50000, 
430.00000,1.017334
430.50000, 
431.00000,1.022324
431.50000, 
432.00000,1.027435
432.50000, 
433.00000,1.032303
433.50000, 
434.00000,1.037949
434.50000, 
