"20% V - RawData"
"Wavelength nm.","Abs."
300.00000,4.000000
300.50000, 
301.00000,3.999512
301.50000, 
302.00000,3.999359
302.50000, 
303.00000,3.978012
303.50000, 
304.00000,3.991241
304.50000, 
305.00000,4.000000
305.50000, 
306.00000,3.978745
306.50000, 
307.00000,3.996780
307.50000, 
308.00000,3.914017
308.50000, 
309.00000,4.000000
309.50000, 
310.00000,4.000000
310.50000, 
311.00000,3.984985
311.50000, 
312.00000,3.933090
312.50000, 
313.00000,4.000000
313.50000, 
314.00000,4.000000
314.50000, 
315.00000,4.000000
315.50000, 
316.00000,3.991165
316.50000, 
317.00000,3.934769
317.50000, 
318.00000,3.908401
318.50000, 
319.00000,3.897385
319.50000, 
320.00000,4.000000
320.50000, 
321.00000,3.984070
321.50000, 
322.00000,3.985580
322.50000, 
323.00000,3.949432
323.50000, 
324.00000,3.972977
324.50000, 
325.00000,3.968033
325.50000, 
326.00000,3.912033
326.50000, 
327.00000,4.000000
327.50000, 
328.00000,3.943680
328.50000, 
329.00000,3.925781
329.50000, 
330.00000,4.000000
330.50000, 
331.00000,3.960449
331.50000, 
332.00000,3.899323
332.50000, 
333.00000,3.912964
333.50000, 
334.00000,3.956146
334.50000, 
335.00000,3.915268
335.50000, 
336.00000,3.959381
336.50000, 
337.00000,3.955872
337.50000, 
338.00000,4.000000
338.50000, 
339.00000,3.892136
339.50000, 
340.00000,4.000000
340.50000, 
341.00000,3.970169
341.50000, 
342.00000,3.864563
342.50000, 
343.00000,3.872726
343.50000, 
344.00000,3.915070
344.50000, 
345.00000,3.959396
345.50000, 
346.00000,3.951706
346.50000, 
347.00000,3.989090
347.50000, 
348.00000,3.984344
348.50000, 
349.00000,3.927246
349.50000, 
350.00000,3.941986
350.50000, 
351.00000,4.000000
351.50000, 
352.00000,4.000000
352.50000, 
353.00000,3.977005
353.50000, 
354.00000,3.953278
354.50000, 
355.00000,3.955841
355.50000, 
356.00000,3.943817
356.50000, 
357.00000,3.984390
357.50000, 
358.00000,3.868042
358.50000, 
359.00000,3.939682
359.50000, 
360.00000,3.936554
360.50000, 
361.00000,3.866760
361.50000, 
362.00000,3.728561
362.50000, 
363.00000,3.882111
363.50000, 
364.00000,3.847107
364.50000, 
365.00000,3.896057
365.50000, 
366.00000,3.799316
366.50000, 
367.00000,3.676392
367.50000, 
368.00000,3.958817
368.50000, 
369.00000,3.970520
369.50000, 
370.00000,3.819504
370.50000, 
371.00000,3.956619
371.50000, 
372.00000,3.994095
372.50000, 
373.00000,3.983643
373.50000, 
374.00000,3.780258
374.50000, 
375.00000,3.935562
375.50000, 
376.00000,3.653885
376.50000, 
377.00000,3.557007
377.50000, 
378.00000,3.155594
378.50000, 
379.00000,2.924301
379.50000, 
380.00000,2.719330
380.50000, 
381.00000,2.512421
381.50000, 
382.00000,2.314819
382.50000, 
383.00000,2.144531
383.50000, 
384.00000,2.006668
384.50000, 
385.00000,1.880035
385.50000, 
386.00000,1.773285
386.50000, 
387.00000,1.681717
387.50000, 
388.00000,1.597870
388.50000, 
389.00000,1.524399
389.50000, 
390.00000,1.466751
390.50000, 
391.00000,1.415176
391.50000, 
392.00000,1.374542
392.50000, 
393.00000,1.341583
393.50000, 
394.00000,1.313232
394.50000, 
395.00000,1.289871
395.50000, 
396.00000,1.267914
396.50000, 
397.00000,1.247345
397.50000, 
398.00000,1.230042
398.50000, 
399.00000,1.213547
399.50000, 
400.00000,1.198624
400.50000, 
401.00000,1.185959
401.50000, 
402.00000,1.174881
402.50000, 
403.00000,1.165527
403.50000, 
404.00000,1.157379
404.50000, 
405.00000,1.150345
405.50000, 
406.00000,1.145126
406.50000, 
407.00000,1.140518
407.50000, 
408.00000,1.137115
408.50000, 
409.00000,1.134109
409.50000, 
410.00000,1.131439
410.50000, 
411.00000,1.129990
411.50000, 
412.00000,1.129532
412.50000, 
413.00000,1.128891
413.50000, 
414.00000,1.128952
414.50000, 
415.00000,1.129074
415.50000, 
416.00000,1.129486
416.50000, 
417.00000,1.131561
417.50000, 
418.00000,1.132736
418.50000, 
419.00000,1.134048
419.50000, 
420.00000,1.135635
420.50000, 
421.00000,1.137787
421.50000, 
422.00000,1.139786
422.50000, 
423.00000,1.142136
423.50000, 
424.00000,1.144699
424.50000, 
425.00000,1.147415
425.50000, 
426.00000,1.150681
426.50000, 
427.00000,1.153473
427.50000, 
428.00000,1.156189
428.50000, 
429.00000,1.159668
429.50000, 
430.00000,1.162964
430.50000, 
431.00000,1.166504
431.50000, 
432.00000,1.170288
432.50000, 
433.00000,1.173965
433.50000, 
434.00000,1.177673
434.50000, 
