"30% Tension - RawData"
"Wavelength nm.","Abs."
300.00000,0.361572
300.50000, 
301.00000,0.360428
301.50000, 
302.00000,0.358948
302.50000, 
303.00000,0.357254
303.50000, 
304.00000,0.356201
304.50000, 
305.00000,0.355331
305.50000, 
306.00000,0.354904
306.50000, 
307.00000,0.353973
307.50000, 
308.00000,0.353333
308.50000, 
309.00000,0.352905
309.50000, 
310.00000,0.352386
310.50000, 
311.00000,0.351883
311.50000, 
312.00000,0.351456
312.50000, 
313.00000,0.351334
313.50000, 
314.00000,0.350967
314.50000, 
315.00000,0.350601
315.50000, 
316.00000,0.350601
316.50000, 
317.00000,0.351059
317.50000, 
318.00000,0.351089
318.50000, 
319.00000,0.351273
319.50000, 
320.00000,0.351669
320.50000, 
321.00000,0.352036
321.50000, 
322.00000,0.352783
322.50000, 
323.00000,0.353394
323.50000, 
324.00000,0.353943
324.50000, 
325.00000,0.354828
325.50000, 
326.00000,0.355560
326.50000, 
327.00000,0.356262
327.50000, 
328.00000,0.357346
328.50000, 
329.00000,0.358444
329.50000, 
330.00000,0.359589
330.50000, 
331.00000,0.360504
331.50000, 
332.00000,0.361832
332.50000, 
333.00000,0.363098
333.50000, 
334.00000,0.364563
334.50000, 
335.00000,0.365555
335.50000, 
336.00000,0.366852
336.50000, 
337.00000,0.368240
337.50000, 
338.00000,0.369385
338.50000, 
339.00000,0.370743
339.50000, 
340.00000,0.371292
340.50000, 
341.00000,0.370560
341.50000, 
342.00000,0.371704
342.50000, 
343.00000,0.373505
343.50000, 
344.00000,0.374680
344.50000, 
345.00000,0.376312
345.50000, 
346.00000,0.378189
346.50000, 
347.00000,0.379715
347.50000, 
348.00000,0.381485
348.50000, 
349.00000,0.383026
349.50000, 
350.00000,0.385025
350.50000, 
351.00000,0.386490
351.50000, 
352.00000,0.388855
352.50000, 
353.00000,0.391006
353.50000, 
354.00000,0.392670
354.50000, 
355.00000,0.394897
355.50000, 
356.00000,0.397186
356.50000, 
357.00000,0.398483
357.50000, 
358.00000,0.400681
358.50000, 
359.00000,0.402710
359.50000, 
360.00000,0.405319
360.50000, 
361.00000,0.407410
361.50000, 
362.00000,0.409500
362.50000, 
363.00000,0.411484
363.50000, 
364.00000,0.413956
364.50000, 
365.00000,0.415756
365.50000, 
366.00000,0.418243
366.50000, 
367.00000,0.420181
367.50000, 
368.00000,0.422562
368.50000, 
369.00000,0.425034
369.50000, 
370.00000,0.427551
370.50000, 
371.00000,0.429916
371.50000, 
372.00000,0.432831
372.50000, 
373.00000,0.435333
373.50000, 
374.00000,0.438354
374.50000, 
375.00000,0.441177
375.50000, 
376.00000,0.444153
376.50000, 
377.00000,0.446823
377.50000, 
378.00000,0.449356
378.50000, 
379.00000,0.452194
379.50000, 
380.00000,0.455032
380.50000, 
381.00000,0.458084
381.50000, 
382.00000,0.461517
382.50000, 
383.00000,0.464874
383.50000, 
384.00000,0.468094
384.50000, 
385.00000,0.471527
385.50000, 
386.00000,0.475082
386.50000, 
387.00000,0.478409
387.50000, 
388.00000,0.482300
388.50000, 
389.00000,0.486710
389.50000, 
390.00000,0.490860
390.50000, 
391.00000,0.495468
391.50000, 
392.00000,0.500031
392.50000, 
393.00000,0.504440
393.50000, 
394.00000,0.509003
394.50000, 
395.00000,0.513214
395.50000, 
396.00000,0.517624
396.50000, 
397.00000,0.521820
397.50000, 
398.00000,0.525925
398.50000, 
399.00000,0.530075
399.50000, 
400.00000,0.533920
400.50000, 
401.00000,0.538132
401.50000, 
402.00000,0.542099
402.50000, 
403.00000,0.545959
403.50000, 
404.00000,0.549820
404.50000, 
405.00000,0.553909
405.50000, 
406.00000,0.557831
406.50000, 
407.00000,0.561951
407.50000, 
408.00000,0.565964
408.50000, 
409.00000,0.570343
409.50000, 
410.00000,0.574661
410.50000, 
411.00000,0.578857
411.50000, 
412.00000,0.583191
412.50000, 
413.00000,0.587524
413.50000, 
414.00000,0.591888
414.50000, 
415.00000,0.596436
415.50000, 
416.00000,0.600891
416.50000, 
417.00000,0.606567
417.50000, 
418.00000,0.611404
418.50000, 
419.00000,0.615967
419.50000, 
420.00000,0.620728
420.50000, 
421.00000,0.625656
421.50000, 
422.00000,0.630951
422.50000, 
423.00000,0.636154
423.50000, 
424.00000,0.641342
424.50000, 
425.00000,0.646805
425.50000, 
426.00000,0.652405
426.50000, 
427.00000,0.657715
427.50000, 
428.00000,0.663025
428.50000, 
429.00000,0.668579
429.50000, 
430.00000,0.674225
430.50000, 
431.00000,0.679840
431.50000, 
432.00000,0.685684
432.50000, 
433.00000,0.691422
433.50000, 
434.00000,0.697083
434.50000, 
435.00000,0.702637
435.50000, 
436.00000,0.708191
436.50000, 
437.00000,0.713760
437.50000, 
438.00000,0.719589
438.50000, 
439.00000,0.725510
439.50000, 
440.00000,0.731216
440.50000, 
441.00000,0.737137
441.50000, 
442.00000,0.742996
442.50000, 
443.00000,0.748596
443.50000, 
444.00000,0.754440
444.50000, 
445.00000,0.760284
445.50000, 
446.00000,0.766144
446.50000, 
447.00000,0.772171
447.50000, 
448.00000,0.778320
448.50000, 
449.00000,0.784424
449.50000, 
450.00000,0.790268
450.50000, 
451.00000,0.796402
451.50000, 
452.00000,0.802658
452.50000, 
453.00000,0.808502
453.50000, 
454.00000,0.814697
454.50000, 
455.00000,0.820877
455.50000, 
456.00000,0.826782
456.50000, 
457.00000,0.832748
457.50000, 
458.00000,0.838867
458.50000, 
459.00000,0.844742
459.50000, 
460.00000,0.850479
460.50000, 
461.00000,0.856476
461.50000, 
462.00000,0.862213
462.50000, 
463.00000,0.867752
463.50000, 
464.00000,0.873413
464.50000, 
465.00000,0.878616
465.50000, 
466.00000,0.884064
466.50000, 
467.00000,0.888824
467.50000, 
468.00000,0.892990
468.50000, 
469.00000,0.898071
469.50000, 
470.00000,0.904251
470.50000, 
471.00000,0.910461
471.50000, 
472.00000,0.917221
472.50000, 
473.00000,0.923981
473.50000, 
474.00000,0.930679
474.50000, 
475.00000,0.937653
475.50000, 
476.00000,0.945206
476.50000, 
477.00000,0.952530
477.50000, 
478.00000,0.960052
478.50000, 
479.00000,0.968307
479.50000, 
480.00000,0.976334
480.50000, 
481.00000,0.984299
481.50000, 
482.00000,0.992722
482.50000, 
483.00000,1.000793
483.50000, 
484.00000,1.008347
484.50000, 
485.00000,1.015182
485.50000, 
486.00000,1.021484
486.50000, 
487.00000,1.027039
487.50000, 
488.00000,1.031967
488.50000, 
489.00000,1.036346
489.50000, 
490.00000,1.040085
490.50000, 
491.00000,1.043030
491.50000, 
492.00000,1.045990
492.50000, 
493.00000,1.048569
493.50000, 
494.00000,1.050827
494.50000, 
495.00000,1.052963
495.50000, 
496.00000,1.055099
496.50000, 
497.00000,1.056946
497.50000, 
498.00000,1.058762
498.50000, 
499.00000,1.060516
499.50000, 
500.00000,1.062256
500.50000, 
501.00000,1.063889
501.50000, 
502.00000,1.065460
502.50000, 
503.00000,1.066849
503.50000, 
504.00000,1.068176
504.50000, 
505.00000,1.069229
505.50000, 
506.00000,1.070038
506.50000, 
507.00000,1.070847
507.50000, 
508.00000,1.071579
508.50000, 
509.00000,1.071915
509.50000, 
510.00000,1.072174
510.50000, 
511.00000,1.072174
511.50000, 
512.00000,1.072052
512.50000, 
513.00000,1.071701
513.50000, 
514.00000,1.071182
514.50000, 
515.00000,1.070480
515.50000, 
