"40% Compression V - RawData"
"Wavelength nm.","Abs."
300.00000,3.992218
300.50000, 
301.00000,3.962646
301.50000, 
302.00000,3.992325
302.50000, 
303.00000,4.000000
303.50000, 
304.00000,4.000000
304.50000, 
305.00000,4.000000
305.50000, 
306.00000,3.896271
306.50000, 
307.00000,3.942291
307.50000, 
308.00000,3.972336
308.50000, 
309.00000,4.000000
309.50000, 
310.00000,3.952530
310.50000, 
311.00000,3.988068
311.50000, 
312.00000,4.000000
312.50000, 
313.00000,3.941437
313.50000, 
314.00000,4.000000
314.50000, 
315.00000,3.960632
315.50000, 
316.00000,3.978943
316.50000, 
317.00000,3.946091
317.50000, 
318.00000,3.942368
318.50000, 
319.00000,3.911011
319.50000, 
320.00000,3.994446
320.50000, 
321.00000,3.982758
321.50000, 
322.00000,3.944702
322.50000, 
323.00000,3.988892
323.50000, 
324.00000,3.940430
324.50000, 
325.00000,3.946777
325.50000, 
326.00000,4.000000
326.50000, 
327.00000,3.961060
327.50000, 
328.00000,3.981674
328.50000, 
329.00000,4.000000
329.50000, 
330.00000,3.976578
330.50000, 
331.00000,4.000000
331.50000, 
332.00000,4.000000
332.50000, 
333.00000,3.921326
333.50000, 
334.00000,3.953064
334.50000, 
335.00000,3.964432
335.50000, 
336.00000,3.930695
336.50000, 
337.00000,3.969666
337.50000, 
338.00000,3.869766
338.50000, 
339.00000,3.940109
339.50000, 
340.00000,3.955719
340.50000, 
341.00000,3.926361
341.50000, 
342.00000,4.000000
342.50000, 
343.00000,3.983185
343.50000, 
344.00000,3.977646
344.50000, 
345.00000,3.983704
345.50000, 
346.00000,4.000000
346.50000, 
347.00000,4.000000
347.50000, 
348.00000,3.937622
348.50000, 
349.00000,3.956100
349.50000, 
350.00000,3.975830
350.50000, 
351.00000,4.000000
351.50000, 
352.00000,3.932983
352.50000, 
353.00000,3.980713
353.50000, 
354.00000,3.902817
354.50000, 
355.00000,3.951309
355.50000, 
356.00000,3.980286
356.50000, 
357.00000,3.937317
357.50000, 
358.00000,3.977371
358.50000, 
359.00000,3.906326
359.50000, 
360.00000,3.947128
360.50000, 
361.00000,3.972046
361.50000, 
362.00000,3.884949
362.50000, 
363.00000,3.992340
363.50000, 
364.00000,4.000000
364.50000, 
365.00000,3.977142
365.50000, 
366.00000,3.933929
366.50000, 
367.00000,3.940659
367.50000, 
368.00000,3.891327
368.50000, 
369.00000,3.840073
369.50000, 
370.00000,3.958633
370.50000, 
371.00000,3.954376
371.50000, 
372.00000,3.950684
372.50000, 
373.00000,3.895828
373.50000, 
374.00000,3.855774
374.50000, 
375.00000,3.783279
375.50000, 
376.00000,3.778534
376.50000, 
377.00000,3.449051
377.50000, 
378.00000,3.185623
378.50000, 
379.00000,2.952393
379.50000, 
380.00000,2.704437
380.50000, 
381.00000,2.522797
381.50000, 
382.00000,2.336594
382.50000, 
383.00000,2.159454
383.50000, 
384.00000,2.017807
384.50000, 
385.00000,1.892914
385.50000, 
386.00000,1.785919
386.50000, 
387.00000,1.690491
387.50000, 
388.00000,1.609619
388.50000, 
389.00000,1.539856
389.50000, 
390.00000,1.481461
390.50000, 
391.00000,1.432205
391.50000, 
392.00000,1.391815
392.50000, 
393.00000,1.360565
393.50000, 
394.00000,1.332413
394.50000, 
395.00000,1.309464
395.50000, 
396.00000,1.288330
396.50000, 
397.00000,1.268433
397.50000, 
398.00000,1.250107
398.50000, 
399.00000,1.234024
399.50000, 
400.00000,1.219269
400.50000, 
401.00000,1.205658
401.50000, 
402.00000,1.193390
402.50000, 
403.00000,1.184006
403.50000, 
404.00000,1.175201
404.50000, 
405.00000,1.168320
405.50000, 
406.00000,1.162369
406.50000, 
407.00000,1.157303
407.50000, 
408.00000,1.152893
408.50000, 
409.00000,1.149658
409.50000, 
410.00000,1.147034
410.50000, 
411.00000,1.145020
411.50000, 
412.00000,1.143936
412.50000, 
413.00000,1.142792
413.50000, 
414.00000,1.142776
414.50000, 
415.00000,1.142120
415.50000, 
416.00000,1.142670
416.50000, 
417.00000,1.144104
417.50000, 
418.00000,1.145157
418.50000, 
419.00000,1.146164
419.50000, 
420.00000,1.147507
420.50000, 
421.00000,1.149338
421.50000, 
422.00000,1.151016
422.50000, 
423.00000,1.153122
423.50000, 
424.00000,1.155151
424.50000, 
425.00000,1.157761
425.50000, 
426.00000,1.160278
426.50000, 
427.00000,1.163132
427.50000, 
428.00000,1.165726
428.50000, 
429.00000,1.168671
429.50000, 
430.00000,1.171707
430.50000, 
431.00000,1.174881
431.50000, 
432.00000,1.178619
432.50000, 
433.00000,1.181595
433.50000, 
434.00000,1.185150
434.50000, 
435.00000,1.188782
435.50000, 
436.00000,1.192291
436.50000, 
437.00000,1.196136
437.50000, 
438.00000,1.199799
438.50000, 
439.00000,1.203308
439.50000, 
440.00000,1.207321
440.50000, 
441.00000,1.210999
441.50000, 
442.00000,1.215012
442.50000, 
443.00000,1.218826
443.50000, 
444.00000,1.223022
444.50000, 
445.00000,1.227112
445.50000, 
446.00000,1.231033
446.50000, 
447.00000,1.235428
447.50000, 
448.00000,1.239731
448.50000, 
449.00000,1.244247
449.50000, 
450.00000,1.248428
450.50000, 
451.00000,1.252762
451.50000, 
452.00000,1.257263
452.50000, 
453.00000,1.261719
453.50000, 
454.00000,1.266190
454.50000, 
455.00000,1.270493
455.50000, 
456.00000,1.275070
456.50000, 
457.00000,1.279404
457.50000, 
458.00000,1.283554
458.50000, 
459.00000,1.288193
459.50000, 
460.00000,1.292618
460.50000, 
461.00000,1.296692
461.50000, 
462.00000,1.300751
462.50000, 
463.00000,1.304520
463.50000, 
464.00000,1.308182
464.50000, 
465.00000,1.311035
465.50000, 
466.00000,1.313492
466.50000, 
467.00000,1.314514
467.50000, 
468.00000,1.313522
468.50000, 
469.00000,1.316650
469.50000, 
470.00000,1.323761
470.50000, 
471.00000,1.331039
471.50000, 
472.00000,1.339844
472.50000, 
473.00000,1.349518
473.50000, 
474.00000,1.359726
474.50000, 
475.00000,1.371536
475.50000, 
476.00000,1.385071
476.50000, 
477.00000,1.399185
477.50000, 
478.00000,1.415085
478.50000, 
479.00000,1.434021
479.50000, 
480.00000,1.453201
480.50000, 
481.00000,1.473724
481.50000, 
482.00000,1.495193
482.50000, 
483.00000,1.517014
483.50000, 
484.00000,1.537216
484.50000, 
485.00000,1.555588
485.50000, 
486.00000,1.570770
486.50000, 
487.00000,1.582809
487.50000, 
488.00000,1.592209
488.50000, 
489.00000,1.598053
489.50000, 
490.00000,1.601227
490.50000, 
491.00000,1.602203
491.50000, 
492.00000,1.601227
492.50000, 
493.00000,1.599075
493.50000, 
494.00000,1.596542
494.50000, 
495.00000,1.593414
495.50000, 
496.00000,1.589920
496.50000, 
497.00000,1.586197
497.50000, 
498.00000,1.583252
498.50000, 
499.00000,1.579529
499.50000, 
500.00000,1.576355
500.50000, 
501.00000,1.573303
501.50000, 
502.00000,1.570633
502.50000, 
503.00000,1.567917
503.50000, 
504.00000,1.565903
504.50000, 
505.00000,1.563980
505.50000, 
506.00000,1.562057
506.50000, 
507.00000,1.560394
507.50000, 
508.00000,1.558289
508.50000, 
509.00000,1.556595
509.50000, 
510.00000,1.554916
510.50000, 
511.00000,1.553040
511.50000, 
512.00000,1.550949
512.50000, 
513.00000,1.548813
513.50000, 
514.00000,1.547241
514.50000, 
515.00000,1.545197
515.50000, 
516.00000,1.543045
516.50000, 
517.00000,1.541229
517.50000, 
518.00000,1.538956
518.50000, 
519.00000,1.536926
519.50000, 
520.00000,1.534424
520.50000, 
521.00000,1.532166
521.50000, 
522.00000,1.529617
522.50000, 
523.00000,1.527084
523.50000, 
524.00000,1.524948
524.50000, 
525.00000,1.522430
525.50000, 
526.00000,1.520172
526.50000, 
527.00000,1.518082
527.50000, 
528.00000,1.515839
528.50000, 
529.00000,1.513916
529.50000, 
530.00000,1.512070
530.50000, 
531.00000,1.510300
531.50000, 
532.00000,1.509003
532.50000, 
533.00000,1.507370
533.50000, 
534.00000,1.505859
534.50000, 
535.00000,1.504593
535.50000, 
536.00000,1.501938
536.50000, 
537.00000,1.498489
537.50000, 
538.00000,1.497147
538.50000, 
539.00000,1.495972
539.50000, 
540.00000,1.494980
540.50000, 
541.00000,1.493866
541.50000, 
542.00000,1.492630
542.50000, 
543.00000,1.491592
543.50000, 
544.00000,1.490005
544.50000, 
545.00000,1.488464
545.50000, 
546.00000,1.486404
546.50000, 
547.00000,1.484192
547.50000, 
548.00000,1.481934
548.50000, 
549.00000,1.479187
549.50000, 
550.00000,1.476166
550.50000, 
551.00000,1.472717
551.50000, 
552.00000,1.468781
552.50000, 
553.00000,1.464508
553.50000, 
554.00000,1.460129
554.50000, 
555.00000,1.455307
555.50000, 
556.00000,1.449890
556.50000, 
557.00000,1.444626
557.50000, 
558.00000,1.438766
558.50000, 
559.00000,1.432449
559.50000, 
560.00000,1.425964
560.50000, 
561.00000,1.419357
561.50000, 
562.00000,1.412674
562.50000, 
563.00000,1.405380
563.50000, 
564.00000,1.398224
564.50000, 
565.00000,1.390839
565.50000, 
566.00000,1.383347
566.50000, 
567.00000,1.375916
567.50000, 
568.00000,1.368668
568.50000, 
569.00000,1.361160
569.50000, 
570.00000,1.353378
570.50000, 
571.00000,1.345596
571.50000, 
572.00000,1.338303
572.50000, 
573.00000,1.331009
573.50000, 
574.00000,1.324142
574.50000, 
575.00000,1.317657
575.50000, 
576.00000,1.311401
576.50000, 
577.00000,1.305557
577.50000, 
578.00000,1.300095
578.50000, 
579.00000,1.294785
579.50000, 
580.00000,1.290039
580.50000, 
581.00000,1.285721
581.50000, 
582.00000,1.281677
582.50000, 
583.00000,1.278152
583.50000, 
584.00000,1.274918
584.50000, 
585.00000,1.271835
585.50000, 
586.00000,1.269028
586.50000, 
587.00000,1.266479
587.50000, 
588.00000,1.264206
588.50000, 
589.00000,1.262024
589.50000, 
590.00000,1.259857
590.50000, 
591.00000,1.257599
591.50000, 
592.00000,1.255646
592.50000, 
593.00000,1.253128
593.50000, 
594.00000,1.250839
594.50000, 
595.00000,1.247925
595.50000, 
596.00000,1.244980
596.50000, 
597.00000,1.241669
597.50000, 
598.00000,1.237946
598.50000, 
599.00000,1.233673
599.50000, 
600.00000,1.228867
600.50000, 
601.00000,1.223419
601.50000, 
602.00000,1.217667
602.50000, 
603.00000,1.211609
603.50000, 
604.00000,1.204849
604.50000, 
605.00000,1.197845
605.50000, 
606.00000,1.190323
606.50000, 
607.00000,1.181931
607.50000, 
608.00000,1.173203
608.50000, 
609.00000,1.163879
609.50000, 
610.00000,1.154160
610.50000, 
611.00000,1.144333
611.50000, 
612.00000,1.134430
612.50000, 
613.00000,1.124069
613.50000, 
614.00000,1.113251
614.50000, 
615.00000,1.102478
615.50000, 
616.00000,1.091080
616.50000, 
617.00000,1.079315
617.50000, 
618.00000,1.067444
618.50000, 
619.00000,1.055008
619.50000, 
620.00000,1.042847
620.50000, 
621.00000,1.030975
621.50000, 
622.00000,1.018661
622.50000, 
623.00000,1.006607
623.50000, 
624.00000,0.994553
624.50000, 
625.00000,0.982315
625.50000, 
626.00000,0.969772
626.50000, 
627.00000,0.956604
627.50000, 
628.00000,0.941452
628.50000, 
629.00000,0.922760
629.50000, 
630.00000,0.916656
630.50000, 
631.00000,0.923843
631.50000, 
632.00000,0.935364
632.50000, 
633.00000,0.951813
633.50000, 
634.00000,0.973145
634.50000, 
635.00000,0.999527
635.50000, 
636.00000,1.028030
636.50000, 
637.00000,1.059204
637.50000, 
638.00000,1.088150
638.50000, 
639.00000,1.112640
639.50000, 
640.00000,1.129303
640.50000, 
641.00000,1.138351
641.50000, 
642.00000,1.138901
642.50000, 
643.00000,1.132034
643.50000, 
644.00000,1.119690
644.50000, 
645.00000,1.103653
645.50000, 
646.00000,1.086426
646.50000, 
647.00000,1.068314
647.50000, 
648.00000,1.050995
648.50000, 
649.00000,1.033981
649.50000, 
650.00000,1.018539
650.50000, 
651.00000,1.004303
651.50000, 
652.00000,0.991333
652.50000, 
653.00000,0.979538
653.50000, 
654.00000,0.968567
654.50000, 
655.00000,0.958206
655.50000, 
656.00000,0.948837
656.50000, 
657.00000,0.940384
657.50000, 
658.00000,0.932510
658.50000, 
659.00000,0.925278
659.50000, 
660.00000,0.918564
660.50000, 
661.00000,0.912506
661.50000, 
662.00000,0.906860
662.50000, 
663.00000,0.901489
663.50000, 
664.00000,0.896332
664.50000, 
665.00000,0.891678
665.50000, 
666.00000,0.887039
666.50000, 
667.00000,0.882721
667.50000, 
668.00000,0.878479
668.50000, 
669.00000,0.874847
669.50000, 
670.00000,0.871063
670.50000, 
671.00000,0.867935
671.50000, 
672.00000,0.864624
672.50000, 
673.00000,0.861771
673.50000, 
674.00000,0.858688
674.50000, 
675.00000,0.856125
675.50000, 
676.00000,0.853500
676.50000, 
677.00000,0.851196
677.50000, 
678.00000,0.848724
678.50000, 
679.00000,0.846741
679.50000, 
680.00000,0.844467
680.50000, 
681.00000,0.842636
681.50000, 
682.00000,0.840485
682.50000, 
683.00000,0.838730
683.50000, 
684.00000,0.836807
684.50000, 
685.00000,0.835312
685.50000, 
686.00000,0.833466
686.50000, 
687.00000,0.832047
687.50000, 
688.00000,0.830307
688.50000, 
689.00000,0.828873
689.50000, 
690.00000,0.827362
690.50000, 
691.00000,0.825928
691.50000, 
692.00000,0.824585
692.50000, 
693.00000,0.823135
693.50000, 
694.00000,0.821823
694.50000, 
695.00000,0.820404
695.50000, 
696.00000,0.819199
696.50000, 
697.00000,0.817886
697.50000, 
698.00000,0.816803
698.50000, 
699.00000,0.815521
699.50000, 
700.00000,0.814621
700.50000, 
701.00000,0.813309
701.50000, 
702.00000,0.812424
702.50000, 
703.00000,0.811172
703.50000, 
704.00000,0.810181
704.50000, 
705.00000,0.809174
705.50000, 
706.00000,0.808060
706.50000, 
707.00000,0.807266
707.50000, 
708.00000,0.806198
708.50000, 
709.00000,0.805481
709.50000, 
710.00000,0.804443
710.50000, 
711.00000,0.803619
711.50000, 
712.00000,0.802536
712.50000, 
713.00000,0.801758
713.50000, 
714.00000,0.800766
714.50000, 
715.00000,0.799942
715.50000, 
716.00000,0.799164
716.50000, 
717.00000,0.798279
717.50000, 
718.00000,0.797714
718.50000, 
719.00000,0.796646
719.50000, 
720.00000,0.795975
720.50000, 
721.00000,0.795105
721.50000, 
722.00000,0.794388
722.50000, 
723.00000,0.793701
723.50000, 
724.00000,0.793015
724.50000, 
725.00000,0.792236
725.50000, 
726.00000,0.791565
726.50000, 
727.00000,0.790985
727.50000, 
728.00000,0.790161
728.50000, 
729.00000,0.789703
729.50000, 
730.00000,0.788986
730.50000, 
731.00000,0.788467
731.50000, 
732.00000,0.787903
732.50000, 
733.00000,0.787170
733.50000, 
734.00000,0.786758
734.50000, 
735.00000,0.786041
735.50000, 
736.00000,0.785645
736.50000, 
737.00000,0.785110
737.50000, 
738.00000,0.784393
738.50000, 
739.00000,0.783997
739.50000, 
740.00000,0.783417
740.50000, 
741.00000,0.782959
741.50000, 
742.00000,0.782333
742.50000, 
743.00000,0.781677
743.50000, 
744.00000,0.781204
744.50000, 
745.00000,0.780609
745.50000, 
746.00000,0.780212
746.50000, 
747.00000,0.779831
747.50000, 
748.00000,0.779327
748.50000, 
749.00000,0.778915
749.50000, 
750.00000,0.778397
750.50000, 
751.00000,0.777924
751.50000, 
752.00000,0.777710
752.50000, 
753.00000,0.777039
753.50000, 
754.00000,0.776962
754.50000, 
755.00000,0.776352
755.50000, 
756.00000,0.776001
756.50000, 
757.00000,0.775772
757.50000, 
758.00000,0.775177
758.50000, 
759.00000,0.775085
759.50000, 
760.00000,0.774597
760.50000, 
761.00000,0.774292
761.50000, 
762.00000,0.773926
762.50000, 
763.00000,0.773346
763.50000, 
764.00000,0.773193
764.50000, 
765.00000,0.772797
765.50000, 
766.00000,0.772491
766.50000, 
767.00000,0.772202
767.50000, 
768.00000,0.771713
768.50000, 
769.00000,0.771347
769.50000, 
770.00000,0.771164
770.50000, 
771.00000,0.770569
771.50000, 
772.00000,0.770569
772.50000, 
773.00000,0.769928
773.50000, 
774.00000,0.769638
774.50000, 
775.00000,0.769363
775.50000, 
776.00000,0.768768
776.50000, 
777.00000,0.768600
777.50000, 
778.00000,0.768219
778.50000, 
779.00000,0.767700
779.50000, 
780.00000,0.767471
780.50000, 
781.00000,0.766891
781.50000, 
782.00000,0.766159
782.50000, 
783.00000,0.766006
783.50000, 
784.00000,0.765030
784.50000, 
785.00000,0.764771
785.50000, 
786.00000,0.764038
786.50000, 
787.00000,0.763184
787.50000, 
788.00000,0.762512
788.50000, 
789.00000,0.761795
789.50000, 
790.00000,0.760635
790.50000, 
791.00000,0.760300
791.50000, 
792.00000,0.758865
792.50000, 
793.00000,0.758011
793.50000, 
794.00000,0.756836
794.50000, 
795.00000,0.755508
795.50000, 
796.00000,0.754257
796.50000, 
797.00000,0.753479
797.50000, 
798.00000,0.751526
798.50000, 
799.00000,0.750427
799.50000, 
800.00000,0.748749
800.50000, 
801.00000,0.746964
801.50000, 
802.00000,0.745026
802.50000, 
803.00000,0.743301
803.50000, 
804.00000,0.740585
804.50000, 
805.00000,0.738861
805.50000, 
806.00000,0.736420
806.50000, 
807.00000,0.733994
807.50000, 
808.00000,0.731415
808.50000, 
809.00000,0.728668
809.50000, 
810.00000,0.725266
810.50000, 
811.00000,0.722778
811.50000, 
812.00000,0.719070
812.50000, 
813.00000,0.715866
813.50000, 
814.00000,0.712601
814.50000, 
815.00000,0.708954
815.50000, 
816.00000,0.704956
816.50000, 
817.00000,0.701645
817.50000, 
818.00000,0.697357
818.50000, 
819.00000,0.693466
819.50000, 
820.00000,0.689728
820.50000, 
821.00000,0.685135
821.50000, 
822.00000,0.680923
822.50000, 
823.00000,0.676620
823.50000, 
824.00000,0.671997
824.50000, 
825.00000,0.667084
825.50000, 
826.00000,0.663040
826.50000, 
827.00000,0.657562
827.50000, 
828.00000,0.652649
828.50000, 
829.00000,0.648026
829.50000, 
830.00000,0.642654
830.50000, 
831.00000,0.636856
831.50000, 
832.00000,0.632065
832.50000, 
833.00000,0.626480
833.50000, 
834.00000,0.620468
834.50000, 
835.00000,0.615677
835.50000, 
836.00000,0.609879
836.50000, 
837.00000,0.604004
837.50000, 
838.00000,0.598892
838.50000, 
839.00000,0.593262
839.50000, 
840.00000,0.586731
840.50000, 
841.00000,0.581955
841.50000, 
842.00000,0.576614
842.50000, 
843.00000,0.570251
843.50000, 
844.00000,0.565109
844.50000, 
845.00000,0.559952
845.50000, 
846.00000,0.553909
846.50000, 
847.00000,0.548019
847.50000, 
848.00000,0.543198
848.50000, 
849.00000,0.536682
849.50000, 
850.00000,0.530624
850.50000, 
851.00000,0.525650
851.50000, 
852.00000,0.519287
852.50000, 
853.00000,0.513107
853.50000, 
854.00000,0.508133
854.50000, 
855.00000,0.502487
855.50000, 
856.00000,0.496094
856.50000, 
857.00000,0.491516
857.50000, 
858.00000,0.485809
858.50000, 
859.00000,0.479736
859.50000, 
860.00000,0.474838
860.50000, 
861.00000,0.469910
861.50000, 
862.00000,0.464157
862.50000, 
863.00000,0.459396
863.50000, 
864.00000,0.455307
864.50000, 
865.00000,0.449661
865.50000, 
866.00000,0.444763
866.50000, 
867.00000,0.440887
867.50000, 
868.00000,0.435806
868.50000, 
869.00000,0.430649
869.50000, 
870.00000,0.426666
870.50000, 
871.00000,0.422653
871.50000, 
872.00000,0.417404
872.50000, 
873.00000,0.413132
873.50000, 
874.00000,0.409683
874.50000, 
875.00000,0.404572
875.50000, 
876.00000,0.399872
876.50000, 
877.00000,0.396545
877.50000, 
878.00000,0.392197
878.50000, 
879.00000,0.387482
879.50000, 
880.00000,0.384308
880.50000, 
881.00000,0.381149
881.50000, 
882.00000,0.376709
882.50000, 
883.00000,0.372864
883.50000, 
884.00000,0.370163
884.50000, 
885.00000,0.366394
885.50000, 
886.00000,0.362381
886.50000, 
887.00000,0.359772
887.50000, 
888.00000,0.357193
888.50000, 
889.00000,0.353302
889.50000, 
890.00000,0.349701
890.50000, 
891.00000,0.347626
891.50000, 
892.00000,0.344604
892.50000, 
893.00000,0.340607
893.50000, 
894.00000,0.338318
894.50000, 
895.00000,0.336212
895.50000, 
896.00000,0.332672
896.50000, 
897.00000,0.329666
897.50000, 
898.00000,0.328003
898.50000, 
899.00000,0.325485
899.50000, 
900.00000,0.322372
900.50000, 
901.00000, 
901.50000, 
902.00000, 
902.50000, 
903.00000, 
903.50000, 
904.00000, 
904.50000, 
905.00000, 
905.50000, 
906.00000, 
906.50000, 
907.00000, 
907.50000, 
908.00000, 
908.50000, 
909.00000, 
909.50000, 
910.00000, 
910.50000, 
911.00000, 
911.50000, 
912.00000, 
912.50000, 
913.00000, 
913.50000, 
914.00000, 
914.50000, 
915.00000, 
915.50000, 
916.00000, 
916.50000, 
917.00000, 
917.50000, 
918.00000, 
918.50000, 
919.00000, 
919.50000, 
920.00000, 
920.50000, 
921.00000, 
921.50000, 
922.00000, 
922.50000, 
923.00000, 
923.50000, 
924.00000, 
924.50000, 
925.00000, 
925.50000, 
926.00000, 
926.50000, 
927.00000, 
927.50000, 
928.00000, 
928.50000, 
929.00000, 
929.50000, 
930.00000, 
930.50000, 
931.00000, 
931.50000, 
932.00000, 
932.50000, 
933.00000, 
933.50000, 
934.00000, 
934.50000, 
935.00000, 
935.50000, 
936.00000, 
936.50000, 
937.00000, 
937.50000, 
938.00000, 
938.50000, 
939.00000, 
939.50000, 
940.00000, 
940.50000, 
941.00000, 
941.50000, 
942.00000, 
942.50000, 
943.00000, 
943.50000, 
944.00000, 
944.50000, 
945.00000, 
945.50000, 
946.00000, 
946.50000, 
947.00000, 
947.50000, 
948.00000, 
948.50000, 
949.00000, 
949.50000, 
950.00000, 
950.50000, 
951.00000, 
951.50000, 
952.00000, 
952.50000, 
953.00000, 
953.50000, 
954.00000, 
954.50000, 
955.00000, 
955.50000, 
956.00000, 
956.50000, 
957.00000, 
957.50000, 
958.00000, 
958.50000, 
959.00000, 
959.50000, 
960.00000, 
960.50000, 
961.00000, 
961.50000, 
962.00000, 
962.50000, 
963.00000, 
963.50000, 
964.00000, 
964.50000, 
965.00000, 
965.50000, 
966.00000, 
966.50000, 
967.00000, 
967.50000, 
968.00000, 
968.50000, 
969.00000, 
969.50000, 
970.00000, 
970.50000, 
971.00000, 
971.50000, 
972.00000, 
972.50000, 
973.00000, 
973.50000, 
974.00000, 
974.50000, 
975.00000, 
975.50000, 
976.00000, 
976.50000, 
977.00000, 
977.50000, 
978.00000, 
978.50000, 
979.00000, 
979.50000, 
980.00000, 
980.50000, 
981.00000, 
981.50000, 
982.00000, 
982.50000, 
983.00000, 
983.50000, 
984.00000, 
984.50000, 
985.00000, 
985.50000, 
986.00000, 
986.50000, 
987.00000, 
987.50000, 
988.00000, 
988.50000, 
989.00000, 
989.50000, 
990.00000, 
990.50000, 
991.00000, 
991.50000, 
992.00000, 
992.50000, 
993.00000, 
993.50000, 
994.00000, 
994.50000, 
995.00000, 
995.50000, 
996.00000, 
996.50000, 
997.00000, 
997.50000, 
998.00000, 
998.50000, 
999.00000, 
999.50000, 
1000.00000, 
1000.50000, 
1001.00000, 
1001.50000, 
1002.00000, 
1002.50000, 
1003.00000, 
1003.50000, 
1004.00000, 
1004.50000, 
1005.00000, 
1005.50000, 
1006.00000, 
1006.50000, 
1007.00000, 
1007.50000, 
1008.00000, 
1008.50000, 
1009.00000, 
1009.50000, 
1010.00000, 
1010.50000, 
1011.00000, 
1011.50000, 
1012.00000, 
1012.50000, 
1013.00000, 
1013.50000, 
1014.00000, 
1014.50000, 
1015.00000, 
1015.50000, 
1016.00000, 
1016.50000, 
1017.00000, 
1017.50000, 
1018.00000, 
1018.50000, 
1019.00000, 
1019.50000, 
1020.00000, 
1020.50000, 
1021.00000, 
1021.50000, 
1022.00000, 
1022.50000, 
1023.00000, 
1023.50000, 
1024.00000, 
1024.50000, 
1025.00000, 
1025.50000, 
1026.00000, 
1026.50000, 
1027.00000, 
1027.50000, 
1028.00000, 
1028.50000, 
1029.00000, 
1029.50000, 
1030.00000, 
1030.50000, 
1031.00000, 
1031.50000, 
1032.00000, 
1032.50000, 
1033.00000, 
1033.50000, 
1034.00000, 
1034.50000, 
1035.00000, 
1035.50000, 
1036.00000, 
1036.50000, 
1037.00000, 
1037.50000, 
1038.00000, 
1038.50000, 
1039.00000, 
1039.50000, 
1040.00000, 
1040.50000, 
1041.00000, 
1041.50000, 
1042.00000, 
1042.50000, 
1043.00000, 
1043.50000, 
1044.00000, 
1044.50000, 
1045.00000, 
1045.50000, 
1046.00000, 
1046.50000, 
1047.00000, 
1047.50000, 
1048.00000, 
1048.50000, 
1049.00000, 
1049.50000, 
1050.00000, 
1050.50000, 
1051.00000, 
1051.50000, 
1052.00000, 
1052.50000, 
1053.00000, 
1053.50000, 
1054.00000, 
1054.50000, 
1055.00000, 
1055.50000, 
1056.00000, 
1056.50000, 
1057.00000, 
1057.50000, 
1058.00000, 
1058.50000, 
1059.00000, 
1059.50000, 
1060.00000, 
1060.50000, 
1061.00000, 
1061.50000, 
1062.00000, 
1062.50000, 
1063.00000, 
1063.50000, 
1064.00000, 
1064.50000, 
1065.00000, 
1065.50000, 
1066.00000, 
1066.50000, 
1067.00000, 
1067.50000, 
1068.00000, 
1068.50000, 
1069.00000, 
1069.50000, 
1070.00000, 
1070.50000, 
1071.00000, 
1071.50000, 
1072.00000, 
1072.50000, 
1073.00000, 
1073.50000, 
1074.00000, 
1074.50000, 
1075.00000, 
1075.50000, 
1076.00000, 
1076.50000, 
1077.00000, 
1077.50000, 
1078.00000, 
1078.50000, 
1079.00000, 
1079.50000, 
1080.00000, 
1080.50000, 
1081.00000, 
1081.50000, 
1082.00000, 
1082.50000, 
1083.00000, 
1083.50000, 
1084.00000, 
1084.50000, 
1085.00000, 
1085.50000, 
1086.00000, 
1086.50000, 
1087.00000, 
1087.50000, 
1088.00000, 
1088.50000, 
1089.00000, 
1089.50000, 
1090.00000, 
1090.50000, 
1091.00000, 
1091.50000, 
1092.00000, 
1092.50000, 
1093.00000, 
1093.50000, 
1094.00000, 
1094.50000, 
1095.00000, 
1095.50000, 
1096.00000, 
1096.50000, 
1097.00000, 
1097.50000, 
1098.00000, 
1098.50000, 
1099.00000, 
1099.50000, 
1100.00000, 
