"40% H - RawData"
"Wavelength nm.","Abs."
300.00000,4.000000
300.50000, 
301.00000,4.000000
301.50000, 
302.00000,4.000000
302.50000, 
303.00000,3.967834
303.50000, 
304.00000,3.980057
304.50000, 
305.00000,3.950043
305.50000, 
306.00000,3.976517
306.50000, 
307.00000,4.000000
307.50000, 
308.00000,4.000000
308.50000, 
309.00000,3.946487
309.50000, 
310.00000,3.979858
310.50000, 
311.00000,3.928055
311.50000, 
312.00000,3.972015
312.50000, 
313.00000,3.961899
313.50000, 
314.00000,4.000000
314.50000, 
315.00000,3.943390
315.50000, 
316.00000,3.934158
316.50000, 
317.00000,3.990662
317.50000, 
318.00000,4.000000
318.50000, 
319.00000,4.000000
319.50000, 
320.00000,3.946869
320.50000, 
321.00000,3.804749
321.50000, 
322.00000,4.000000
322.50000, 
323.00000,3.993057
323.50000, 
324.00000,3.855255
324.50000, 
325.00000,3.981033
325.50000, 
326.00000,4.000000
326.50000, 
327.00000,3.963623
327.50000, 
328.00000,3.964905
328.50000, 
329.00000,3.980072
329.50000, 
330.00000,3.946213
330.50000, 
331.00000,3.963318
331.50000, 
332.00000,3.924500
332.50000, 
333.00000,3.971054
333.50000, 
334.00000,3.973755
334.50000, 
335.00000,3.939987
335.50000, 
336.00000,3.881485
336.50000, 
337.00000,3.963242
337.50000, 
338.00000,3.888763
338.50000, 
339.00000,3.968689
339.50000, 
340.00000,3.992722
340.50000, 
341.00000,3.978592
341.50000, 
342.00000,4.000000
342.50000, 
343.00000,3.993591
343.50000, 
344.00000,4.000000
344.50000, 
345.00000,3.969589
345.50000, 
346.00000,4.000000
346.50000, 
347.00000,3.980560
347.50000, 
348.00000,4.000000
348.50000, 
349.00000,4.000000
349.50000, 
350.00000,3.979080
350.50000, 
351.00000,3.989639
351.50000, 
352.00000,4.000000
352.50000, 
353.00000,3.928650
353.50000, 
354.00000,3.906937
354.50000, 
355.00000,3.985107
355.50000, 
356.00000,3.976379
356.50000, 
357.00000,3.950912
357.50000, 
358.00000,3.926971
358.50000, 
359.00000,3.980225
359.50000, 
360.00000,3.993759
360.50000, 
361.00000,3.964294
361.50000, 
362.00000,3.824173
362.50000, 
363.00000,3.826508
363.50000, 
364.00000,3.954544
364.50000, 
365.00000,3.953568
365.50000, 
366.00000,3.967743
366.50000, 
367.00000,3.977173
367.50000, 
368.00000,3.903427
368.50000, 
369.00000,3.942612
369.50000, 
370.00000,3.941254
370.50000, 
371.00000,3.987885
371.50000, 
372.00000,3.963638
372.50000, 
373.00000,3.965317
373.50000, 
374.00000,3.897079
374.50000, 
375.00000,3.857834
375.50000, 
376.00000,3.592957
376.50000, 
377.00000,3.572296
377.50000, 
378.00000,3.197067
378.50000, 
379.00000,2.960220
379.50000, 
380.00000,2.695190
380.50000, 
381.00000,2.497787
381.50000, 
382.00000,2.310608
382.50000, 
383.00000,2.149963
383.50000, 
384.00000,1.999619
384.50000, 
385.00000,1.866196
385.50000, 
386.00000,1.756577
386.50000, 
387.00000,1.658432
387.50000, 
388.00000,1.566620
388.50000, 
389.00000,1.484314
389.50000, 
390.00000,1.412903
390.50000, 
391.00000,1.347351
391.50000, 
392.00000,1.292969
392.50000, 
393.00000,1.244965
393.50000, 
394.00000,1.204544
394.50000, 
395.00000,1.172668
395.50000, 
396.00000,1.144058
396.50000, 
397.00000,1.120850
397.50000, 
398.00000,1.102310
398.50000, 
399.00000,1.088074
399.50000, 
400.00000,1.077286
400.50000, 
401.00000,1.068588
401.50000, 
402.00000,1.061966
402.50000, 
403.00000,1.058640
403.50000, 
404.00000,1.055557
404.50000, 
405.00000,1.054306
405.50000, 
406.00000,1.053879
406.50000, 
407.00000,1.053650
407.50000, 
408.00000,1.054703
408.50000, 
409.00000,1.055893
409.50000, 
410.00000,1.057953
410.50000, 
411.00000,1.059921
411.50000, 
412.00000,1.063095
412.50000, 
413.00000,1.065811
413.50000, 
414.00000,1.068893
414.50000, 
415.00000,1.072189
415.50000, 
416.00000,1.075760
416.50000, 
417.00000,1.080460
417.50000, 
418.00000,1.084595
418.50000, 
419.00000,1.088608
419.50000, 
420.00000,1.092880
420.50000, 
421.00000,1.097214
421.50000, 
422.00000,1.101944
422.50000, 
423.00000,1.106705
423.50000, 
424.00000,1.111557
424.50000, 
425.00000,1.117004
425.50000, 
426.00000,1.121933
426.50000, 
427.00000,1.126953
427.50000, 
428.00000,1.132385
428.50000, 
429.00000,1.137634
429.50000, 
430.00000,1.143005
430.50000, 
431.00000,1.148819
431.50000, 
432.00000,1.154602
432.50000, 
433.00000,1.159912
433.50000, 
434.00000,1.165588
434.50000, 
