"10%2 - RawData"
"Wavelength nm.","Abs."
300.00000,0.836212
300.50000, 
301.00000,0.832535
301.50000, 
302.00000,0.826904
302.50000, 
303.00000,0.821152
303.50000, 
304.00000,0.816223
304.50000, 
305.00000,0.811478
305.50000, 
306.00000,0.807663
306.50000, 
307.00000,0.803268
307.50000, 
308.00000,0.799057
308.50000, 
309.00000,0.794373
309.50000, 
310.00000,0.790253
310.50000, 
311.00000,0.786179
311.50000, 
312.00000,0.782761
312.50000, 
313.00000,0.779221
313.50000, 
314.00000,0.776459
314.50000, 
315.00000,0.772705
315.50000, 
316.00000,0.769958
316.50000, 
317.00000,0.767990
317.50000, 
318.00000,0.766129
318.50000, 
319.00000,0.763992
319.50000, 
320.00000,0.762695
320.50000, 
321.00000,0.761826
321.50000, 
322.00000,0.761047
322.50000, 
323.00000,0.760513
323.50000, 
324.00000,0.760605
324.50000, 
325.00000,0.760681
325.50000, 
326.00000,0.759827
326.50000, 
327.00000,0.759903
327.50000, 
328.00000,0.760651
328.50000, 
329.00000,0.760681
329.50000, 
330.00000,0.760544
330.50000, 
331.00000,0.761414
331.50000, 
332.00000,0.760880
332.50000, 
333.00000,0.760162
333.50000, 
334.00000,0.759476
334.50000, 
335.00000,0.758606
335.50000, 
336.00000,0.757462
336.50000, 
337.00000,0.754822
337.50000, 
338.00000,0.752655
338.50000, 
339.00000,0.750137
339.50000, 
340.00000,0.747650
340.50000, 
341.00000,0.745972
341.50000, 
342.00000,0.741562
342.50000, 
343.00000,0.738205
343.50000, 
344.00000,0.733185
344.50000, 
345.00000,0.728394
345.50000, 
346.00000,0.723389
346.50000, 
347.00000,0.719116
347.50000, 
348.00000,0.714828
348.50000, 
349.00000,0.710175
349.50000, 
350.00000,0.705688
350.50000, 
351.00000,0.700439
351.50000, 
352.00000,0.695465
352.50000, 
353.00000,0.690704
353.50000, 
354.00000,0.685516
354.50000, 
355.00000,0.680801
355.50000, 
356.00000,0.675400
356.50000, 
357.00000,0.671127
357.50000, 
358.00000,0.666656
358.50000, 
359.00000,0.662354
359.50000, 
360.00000,0.657928
360.50000, 
361.00000,0.653625
361.50000, 
362.00000,0.649902
362.50000, 
363.00000,0.645752
363.50000, 
364.00000,0.642899
364.50000, 
365.00000,0.638870
365.50000, 
366.00000,0.635773
366.50000, 
367.00000,0.632111
367.50000, 
368.00000,0.628769
368.50000, 
369.00000,0.625351
369.50000, 
370.00000,0.622101
370.50000, 
371.00000,0.618759
371.50000, 
372.00000,0.616028
372.50000, 
373.00000,0.612640
373.50000, 
374.00000,0.609329
374.50000, 
375.00000,0.606262
375.50000, 
376.00000,0.602936
376.50000, 
377.00000,0.600281
377.50000, 
378.00000,0.597565
378.50000, 
379.00000,0.594910
379.50000, 
380.00000,0.592163
380.50000, 
381.00000,0.589813
381.50000, 
382.00000,0.587326
382.50000, 
383.00000,0.584961
383.50000, 
384.00000,0.582520
384.50000, 
385.00000,0.580597
385.50000, 
386.00000,0.578201
386.50000, 
387.00000,0.576294
387.50000, 
388.00000,0.574356
388.50000, 
389.00000,0.572250
389.50000, 
390.00000,0.570496
390.50000, 
391.00000,0.568970
391.50000, 
392.00000,0.567230
392.50000, 
393.00000,0.565643
393.50000, 
394.00000,0.564362
394.50000, 
395.00000,0.562973
395.50000, 
396.00000,0.561569
396.50000, 
397.00000,0.560135
397.50000, 
398.00000,0.559097
398.50000, 
399.00000,0.557922
399.50000, 
400.00000,0.556885
400.50000, 
