"10%H2 - RawData"
"Wavelength nm.","Abs."
300.00000,3.924347
300.50000, 
301.00000,3.952805
301.50000, 
302.00000,3.986526
302.50000, 
303.00000,3.996399
303.50000, 
304.00000,3.985565
304.50000, 
305.00000,3.991928
305.50000, 
306.00000,4.000000
306.50000, 
307.00000,4.000000
307.50000, 
308.00000,3.942596
308.50000, 
309.00000,4.000000
309.50000, 
310.00000,3.949142
310.50000, 
311.00000,3.976974
311.50000, 
312.00000,3.930542
312.50000, 
313.00000,3.956284
313.50000, 
314.00000,3.922119
314.50000, 
315.00000,3.901291
315.50000, 
316.00000,3.954254
316.50000, 
317.00000,3.996323
317.50000, 
318.00000,3.965973
318.50000, 
319.00000,3.956512
319.50000, 
320.00000,3.966995
320.50000, 
321.00000,3.995560
321.50000, 
322.00000,3.909500
322.50000, 
323.00000,3.973679
323.50000, 
324.00000,3.907043
324.50000, 
325.00000,3.955978
325.50000, 
326.00000,4.000000
326.50000, 
327.00000,3.927567
327.50000, 
328.00000,3.944183
328.50000, 
329.00000,3.998337
329.50000, 
330.00000,4.000000
330.50000, 
331.00000,3.992523
331.50000, 
332.00000,3.992371
332.50000, 
333.00000,3.995880
333.50000, 
334.00000,3.997498
334.50000, 
335.00000,3.988235
335.50000, 
336.00000,4.000000
336.50000, 
337.00000,3.959259
337.50000, 
338.00000,4.000000
338.50000, 
339.00000,4.000000
339.50000, 
340.00000,3.953583
340.50000, 
341.00000,3.839874
341.50000, 
342.00000,3.872437
342.50000, 
343.00000,3.964493
343.50000, 
344.00000,3.986084
344.50000, 
345.00000,4.000000
345.50000, 
346.00000,3.992752
346.50000, 
347.00000,3.945557
347.50000, 
348.00000,3.910156
348.50000, 
349.00000,4.000000
349.50000, 
350.00000,3.994278
350.50000, 
351.00000,4.000000
351.50000, 
352.00000,3.983582
352.50000, 
353.00000,4.000000
353.50000, 
354.00000,4.000000
354.50000, 
355.00000,3.956848
355.50000, 
356.00000,3.970673
356.50000, 
357.00000,3.981186
357.50000, 
358.00000,3.941223
358.50000, 
359.00000,4.000000
359.50000, 
360.00000,3.951874
360.50000, 
361.00000,3.984741
361.50000, 
362.00000,3.989273
362.50000, 
363.00000,3.951126
363.50000, 
364.00000,4.000000
364.50000, 
365.00000,4.000000
365.50000, 
366.00000,4.000000
366.50000, 
367.00000,3.861740
367.50000, 
368.00000,3.958893
368.50000, 
369.00000,3.950531
369.50000, 
370.00000,3.989914
370.50000, 
371.00000,3.983566
371.50000, 
372.00000,3.756165
372.50000, 
373.00000,3.934982
373.50000, 
374.00000,3.879517
374.50000, 
375.00000,3.987137
375.50000, 
376.00000,4.000000
376.50000, 
377.00000,3.985489
377.50000, 
378.00000,3.990799
378.50000, 
379.00000,3.974152
379.50000, 
380.00000,3.967697
380.50000, 
381.00000,3.779007
381.50000, 
382.00000,3.518433
382.50000, 
383.00000,3.294403
383.50000, 
384.00000,3.069534
384.50000, 
385.00000,2.806641
385.50000, 
386.00000,2.599640
386.50000, 
387.00000,2.417114
387.50000, 
388.00000,2.250336
388.50000, 
389.00000,2.094330
389.50000, 
390.00000,1.956665
390.50000, 
391.00000,1.833435
391.50000, 
392.00000,1.722260
392.50000, 
393.00000,1.620651
393.50000, 
394.00000,1.528107
394.50000, 
395.00000,1.445724
395.50000, 
396.00000,1.371933
396.50000, 
397.00000,1.308075
397.50000, 
398.00000,1.252396
398.50000, 
399.00000,1.203018
399.50000, 
400.00000,1.161102
400.50000, 
401.00000,1.124451
401.50000, 
402.00000,1.093384
402.50000, 
403.00000,1.068207
403.50000, 
404.00000,1.046021
404.50000, 
405.00000,1.028275
405.50000, 
406.00000,1.013641
406.50000, 
407.00000,1.001175
407.50000, 
408.00000,0.990707
408.50000, 
