"30%V2 - RawData"
"Wavelength nm.","Abs."
300.00000,3.984283
300.50000, 
301.00000,3.948593
301.50000, 
302.00000,4.000000
302.50000, 
303.00000,3.964249
303.50000, 
304.00000,3.982483
304.50000, 
305.00000,3.948120
305.50000, 
306.00000,3.916962
306.50000, 
307.00000,3.941406
307.50000, 
308.00000,3.945084
308.50000, 
309.00000,4.000000
309.50000, 
310.00000,3.961578
310.50000, 
311.00000,3.990005
311.50000, 
312.00000,3.938965
312.50000, 
313.00000,3.949966
313.50000, 
314.00000,3.988281
314.50000, 
315.00000,3.936920
315.50000, 
316.00000,3.898483
316.50000, 
317.00000,3.963242
317.50000, 
318.00000,3.957291
318.50000, 
319.00000,3.987610
319.50000, 
320.00000,3.987442
320.50000, 
321.00000,3.995560
321.50000, 
322.00000,3.955490
322.50000, 
323.00000,3.928284
323.50000, 
324.00000,3.976791
324.50000, 
325.00000,3.877594
325.50000, 
326.00000,3.985931
326.50000, 
327.00000,3.958649
327.50000, 
328.00000,4.000000
328.50000, 
329.00000,3.985001
329.50000, 
330.00000,3.999100
330.50000, 
331.00000,3.943985
331.50000, 
332.00000,3.856461
332.50000, 
333.00000,3.997879
333.50000, 
334.00000,3.795639
334.50000, 
335.00000,3.919968
335.50000, 
336.00000,3.878143
336.50000, 
337.00000,3.865494
337.50000, 
338.00000,3.963867
338.50000, 
339.00000,3.925613
339.50000, 
340.00000,3.980698
340.50000, 
341.00000,3.881897
341.50000, 
342.00000,3.772369
342.50000, 
343.00000,3.931747
343.50000, 
344.00000,3.936996
344.50000, 
345.00000,3.971985
345.50000, 
346.00000,3.795639
346.50000, 
347.00000,3.972900
347.50000, 
348.00000,3.888977
348.50000, 
349.00000,3.767212
349.50000, 
350.00000,3.950394
350.50000, 
351.00000,3.958221
351.50000, 
352.00000,3.978912
352.50000, 
353.00000,3.984421
353.50000, 
354.00000,3.989197
354.50000, 
355.00000,3.981049
355.50000, 
356.00000,4.000000
356.50000, 
357.00000,4.000000
357.50000, 
358.00000,4.000000
358.50000, 
359.00000,3.935410
359.50000, 
360.00000,3.750397
360.50000, 
361.00000,3.873077
361.50000, 
362.00000,3.948654
362.50000, 
363.00000,4.000000
363.50000, 
364.00000,3.988815
364.50000, 
365.00000,3.914230
365.50000, 
366.00000,3.831741
366.50000, 
367.00000,3.992645
367.50000, 
368.00000,3.977875
368.50000, 
369.00000,3.926331
369.50000, 
370.00000,3.914474
370.50000, 
371.00000,3.867294
371.50000, 
372.00000,3.934662
372.50000, 
373.00000,3.884293
373.50000, 
374.00000,3.833420
374.50000, 
375.00000,3.897110
375.50000, 
376.00000,3.751831
376.50000, 
377.00000,3.969788
377.50000, 
378.00000,3.939621
378.50000, 
379.00000,3.826172
379.50000, 
380.00000,3.900925
380.50000, 
381.00000,3.641708
381.50000, 
382.00000,3.480515
382.50000, 
383.00000,3.286057
383.50000, 
384.00000,3.128891
384.50000, 
385.00000,2.858398
385.50000, 
386.00000,2.626984
386.50000, 
387.00000,2.447266
387.50000, 
388.00000,2.281387
388.50000, 
389.00000,2.130630
389.50000, 
390.00000,1.995087
390.50000, 
391.00000,1.873505
391.50000, 
392.00000,1.767578
392.50000, 
393.00000,1.676437
393.50000, 
394.00000,1.596939
394.50000, 
395.00000,1.531540
395.50000, 
396.00000,1.473343
396.50000, 
397.00000,1.425644
397.50000, 
398.00000,1.385803
398.50000, 
399.00000,1.351456
399.50000, 
400.00000,1.321838
400.50000, 
401.00000,1.295349
401.50000, 
402.00000,1.271210
402.50000, 
403.00000,1.249039
403.50000, 
404.00000,1.226685
404.50000, 
405.00000,1.207993
405.50000, 
406.00000,1.190262
406.50000, 
407.00000,1.173416
407.50000, 
408.00000,1.157974
408.50000, 
409.00000,1.145401
409.50000, 
410.00000,1.132889
410.50000, 
411.00000,1.122849
411.50000, 
412.00000,1.114212
412.50000, 
413.00000,1.106064
413.50000, 
414.00000,1.098160
414.50000, 
415.00000,1.091507
415.50000, 
416.00000,1.085526
416.50000, 
417.00000,1.079849
417.50000, 
418.00000,1.074585
418.50000, 
419.00000,1.070175
419.50000, 
420.00000,1.066452
420.50000, 
421.00000,1.062302
421.50000, 
422.00000,1.058792
422.50000, 
423.00000,1.055847
423.50000, 
424.00000,1.052460
424.50000, 
425.00000,1.049500
425.50000, 
426.00000,1.047134
426.50000, 
427.00000,1.044418
427.50000, 
428.00000,1.042450
428.50000, 
429.00000,1.040558
429.50000, 
430.00000,1.038498
430.50000, 
431.00000,1.037033
431.50000, 
432.00000,1.035294
432.50000, 
433.00000,1.034195
433.50000, 
434.00000,1.032684
434.50000, 
435.00000,1.031525
435.50000, 
436.00000,1.030396
436.50000, 
437.00000,1.028885
437.50000, 
438.00000,1.027405
438.50000, 
439.00000,1.026291
439.50000, 
440.00000,1.025177
440.50000, 
441.00000,1.023926
441.50000, 
442.00000,1.022598
442.50000, 
443.00000,1.021500
443.50000, 
444.00000,1.020645
444.50000, 
445.00000,1.019684
445.50000, 
446.00000,1.018524
446.50000, 
447.00000,1.017761
447.50000, 
448.00000,1.016800
448.50000, 
449.00000,1.015778
449.50000, 
450.00000,1.014984
450.50000, 
451.00000,1.014542
451.50000, 
452.00000,1.013611
452.50000, 
453.00000,1.012863
453.50000, 
454.00000,1.012070
454.50000, 
455.00000,1.011398
455.50000, 
456.00000,1.010620
456.50000, 
457.00000,1.010086
457.50000, 
458.00000,1.009460
458.50000, 
459.00000,1.008713
459.50000, 
460.00000,1.007950
460.50000, 
461.00000,1.007050
461.50000, 
462.00000,1.006592
462.50000, 
463.00000,1.005798
463.50000, 
464.00000,1.004791
464.50000, 
465.00000,1.003830
465.50000, 
466.00000,1.002762
466.50000, 
467.00000,1.001770
467.50000, 
468.00000,1.000504
468.50000, 
469.00000,0.998947
469.50000, 
470.00000,0.996872
470.50000, 
471.00000,0.994370
471.50000, 
472.00000,0.990524
472.50000, 
473.00000,0.984863
473.50000, 
474.00000,0.981827
474.50000, 
475.00000,0.983109
475.50000, 
476.00000,0.985504
476.50000, 
477.00000,0.988739
477.50000, 
478.00000,0.992859
478.50000, 
479.00000,0.997986
479.50000, 
480.00000,1.004501
480.50000, 
481.00000,1.012314
481.50000, 
482.00000,1.021362
482.50000, 
483.00000,1.032471
483.50000, 
484.00000,1.045792
484.50000, 
485.00000,1.060532
485.50000, 
486.00000,1.076599
486.50000, 
487.00000,1.094147
487.50000, 
488.00000,1.111450
488.50000, 
489.00000,1.128006
489.50000, 
490.00000,1.143158
490.50000, 
491.00000,1.155853
491.50000, 
492.00000,1.165619
492.50000, 
493.00000,1.172333
493.50000, 
494.00000,1.175613
494.50000, 
495.00000,1.176010
495.50000, 
496.00000,1.174072
496.50000, 
497.00000,1.170303
497.50000, 
498.00000,1.165009
498.50000, 
499.00000,1.158966
499.50000, 
500.00000,1.152390
500.50000, 
501.00000,1.145065
501.50000, 
502.00000,1.137787
502.50000, 
503.00000,1.130692
503.50000, 
504.00000,1.124054
504.50000, 
505.00000,1.117554
505.50000, 
506.00000,1.111053
506.50000, 
507.00000,1.105286
507.50000, 
508.00000,1.099503
508.50000, 
509.00000,1.094254
509.50000, 
510.00000,1.089264
510.50000, 
511.00000,1.084839
511.50000, 
512.00000,1.080490
512.50000, 
513.00000,1.076447
513.50000, 
514.00000,1.072891
514.50000, 
515.00000,1.069290
515.50000, 
516.00000,1.065903
516.50000, 
517.00000,1.062744
517.50000, 
518.00000,1.059723
518.50000, 
519.00000,1.056870
519.50000, 
520.00000,1.054153
520.50000, 
521.00000,1.051682
521.50000, 
522.00000,1.049255
522.50000, 
523.00000,1.046921
523.50000, 
524.00000,1.044617
524.50000, 
525.00000,1.042618
525.50000, 
526.00000,1.040314
526.50000, 
527.00000,1.038284
527.50000, 
528.00000,1.036285
528.50000, 
529.00000,1.034454
529.50000, 
530.00000,1.032684
530.50000, 
531.00000,1.031021
531.50000, 
532.00000,1.029434
532.50000, 
533.00000,1.027939
533.50000, 
534.00000,1.026352
534.50000, 
535.00000,1.025024
535.50000, 
536.00000,1.023544
536.50000, 
537.00000,1.021591
537.50000, 
538.00000,1.020340
538.50000, 
539.00000,1.019394
539.50000, 
540.00000,1.018250
540.50000, 
541.00000,1.017151
541.50000, 
542.00000,1.016113
542.50000, 
543.00000,1.015106
543.50000, 
544.00000,1.014053
544.50000, 
545.00000,1.013184
545.50000, 
546.00000,1.012146
546.50000, 
547.00000,1.011200
547.50000, 
548.00000,1.010178
548.50000, 
549.00000,1.009125
549.50000, 
550.00000,1.008026
550.50000, 
551.00000,1.006989
551.50000, 
552.00000,1.005814
552.50000, 
553.00000,1.004654
553.50000, 
554.00000,1.003464
554.50000, 
555.00000,1.002182
555.50000, 
556.00000,1.000946
556.50000, 
557.00000,0.999573
557.50000, 
558.00000,0.998169
558.50000, 
559.00000,0.996796
559.50000, 
560.00000,0.995483
560.50000, 
561.00000,0.993958
561.50000, 
562.00000,0.992447
562.50000, 
563.00000,0.991013
563.50000, 
564.00000,0.989380
564.50000, 
565.00000,0.987717
565.50000, 
566.00000,0.986160
566.50000, 
567.00000,0.984543
567.50000, 
568.00000,0.982910
568.50000, 
569.00000,0.981277
569.50000, 
570.00000,0.979630
570.50000, 
571.00000,0.977921
571.50000, 
572.00000,0.976379
572.50000, 
573.00000,0.974777
573.50000, 
574.00000,0.973328
574.50000, 
575.00000,0.971756
575.50000, 
576.00000,0.970154
576.50000, 
577.00000,0.968552
577.50000, 
578.00000,0.967102
578.50000, 
579.00000,0.965775
579.50000, 
580.00000,0.964493
580.50000, 
581.00000,0.963242
581.50000, 
582.00000,0.962143
582.50000, 
583.00000,0.960999
583.50000, 
584.00000,0.959915
584.50000, 
585.00000,0.958984
585.50000, 
586.00000,0.958237
586.50000, 
587.00000,0.957352
587.50000, 
588.00000,0.956543
588.50000, 
589.00000,0.955765
589.50000, 
590.00000,0.955139
590.50000, 
591.00000,0.954559
591.50000, 
592.00000,0.953949
592.50000, 
593.00000,0.953278
593.50000, 
594.00000,0.952698
594.50000, 
595.00000,0.951950
595.50000, 
596.00000,0.951309
596.50000, 
597.00000,0.950531
597.50000, 
598.00000,0.949921
598.50000, 
599.00000,0.949051
599.50000, 
600.00000,0.948151
600.50000, 
601.00000,0.947159
601.50000, 
602.00000,0.946014
602.50000, 
603.00000,0.944748
603.50000, 
604.00000,0.943420
604.50000, 
605.00000,0.942093
605.50000, 
606.00000,0.940552
606.50000, 
607.00000,0.938980
607.50000, 
608.00000,0.937164
608.50000, 
609.00000,0.935272
609.50000, 
610.00000,0.933334
610.50000, 
611.00000,0.931335
611.50000, 
612.00000,0.929214
612.50000, 
613.00000,0.927032
613.50000, 
614.00000,0.924789
614.50000, 
615.00000,0.922379
615.50000, 
616.00000,0.919861
616.50000, 
617.00000,0.917328
617.50000, 
618.00000,0.914703
618.50000, 
619.00000,0.912064
619.50000, 
620.00000,0.909454
620.50000, 
621.00000,0.906570
621.50000, 
622.00000,0.903625
622.50000, 
623.00000,0.900635
623.50000, 
624.00000,0.897507
624.50000, 
625.00000,0.894302
625.50000, 
626.00000,0.891052
626.50000, 
627.00000,0.887695
627.50000, 
628.00000,0.884140
628.50000, 
629.00000,0.880417
629.50000, 
630.00000,0.876297
630.50000, 
631.00000,0.871765
631.50000, 
632.00000,0.866180
632.50000, 
633.00000,0.858353
633.50000, 
634.00000,0.846542
634.50000, 
635.00000,0.843399
635.50000, 
636.00000,0.855286
636.50000, 
637.00000,0.872116
637.50000, 
638.00000,0.892838
638.50000, 
639.00000,0.918991
639.50000, 
640.00000,0.948914
640.50000, 
641.00000,0.982224
641.50000, 
642.00000,1.017670
642.50000, 
643.00000,1.051346
643.50000, 
644.00000,1.080841
644.50000, 
645.00000,1.103394
645.50000, 
646.00000,1.117371
646.50000, 
647.00000,1.122086
647.50000, 
648.00000,1.118484
648.50000, 
649.00000,1.108551
649.50000, 
650.00000,1.094620
650.50000, 
651.00000,1.078674
651.50000, 
652.00000,1.062103
652.50000, 
653.00000,1.045776
653.50000, 
654.00000,1.029861
654.50000, 
655.00000,1.015091
655.50000, 
656.00000,1.001617
656.50000, 
657.00000,0.989502
657.50000, 
658.00000,0.978271
658.50000, 
659.00000,0.967850
659.50000, 
660.00000,0.958038
660.50000, 
661.00000,0.949081
661.50000, 
662.00000,0.941055
662.50000, 
663.00000,0.933609
663.50000, 
664.00000,0.926819
664.50000, 
665.00000,0.920624
665.50000, 
666.00000,0.914902
666.50000, 
667.00000,0.909637
667.50000, 
668.00000,0.904602
668.50000, 
669.00000,0.899918
669.50000, 
670.00000,0.895401
670.50000, 
671.00000,0.891266
671.50000, 
672.00000,0.887222
672.50000, 
673.00000,0.883621
673.50000, 
674.00000,0.880051
674.50000, 
675.00000,0.876694
675.50000, 
676.00000,0.873489
676.50000, 
677.00000,0.870621
