"40%V - RawData"
"Wavelength nm.","Abs."
300.00000,3.979965
300.50000, 
301.00000,3.963516
301.50000, 
302.00000,3.990723
302.50000, 
303.00000,4.000000
303.50000, 
304.00000,3.993011
304.50000, 
305.00000,3.915939
305.50000, 
306.00000,3.947006
306.50000, 
307.00000,3.723129
307.50000, 
308.00000,3.713837
308.50000, 
309.00000,3.896881
309.50000, 
310.00000,3.965805
310.50000, 
311.00000,3.886414
311.50000, 
312.00000,3.936264
312.50000, 
313.00000,3.932449
313.50000, 
314.00000,3.964874
314.50000, 
315.00000,3.978912
315.50000, 
316.00000,3.926971
316.50000, 
317.00000,3.827347
317.50000, 
318.00000,3.967575
318.50000, 
319.00000,3.951340
319.50000, 
320.00000,3.918472
320.50000, 
321.00000,3.949783
321.50000, 
322.00000,3.972610
322.50000, 
323.00000,3.721512
323.50000, 
324.00000,3.876434
324.50000, 
325.00000,3.839844
325.50000, 
326.00000,3.978531
326.50000, 
327.00000,3.936462
327.50000, 
328.00000,3.902908
328.50000, 
329.00000,3.949387
329.50000, 
330.00000,3.951736
330.50000, 
331.00000,3.896179
331.50000, 
332.00000,3.834549
332.50000, 
333.00000,3.725189
333.50000, 
334.00000,3.899155
334.50000, 
335.00000,3.957031
335.50000, 
336.00000,3.926422
336.50000, 
337.00000,3.963516
337.50000, 
338.00000,3.919601
338.50000, 
339.00000,3.960739
339.50000, 
340.00000,3.811386
340.50000, 
341.00000,3.832367
341.50000, 
342.00000,3.719467
342.50000, 
343.00000,3.768936
343.50000, 
344.00000,3.933868
344.50000, 
345.00000,3.680511
345.50000, 
346.00000,3.882675
346.50000, 
347.00000,3.884613
347.50000, 
348.00000,3.959015
348.50000, 
349.00000,3.887756
349.50000, 
350.00000,3.731903
350.50000, 
351.00000,3.707825
351.50000, 
352.00000,3.783813
352.50000, 
353.00000,3.943832
353.50000, 
354.00000,3.989258
354.50000, 
355.00000,3.972580
355.50000, 
356.00000,3.932388
356.50000, 
357.00000,3.909103
357.50000, 
358.00000,3.811249
358.50000, 
359.00000,3.764832
359.50000, 
360.00000,3.973480
360.50000, 
361.00000,3.881668
361.50000, 
362.00000,3.909576
362.50000, 
363.00000,3.870514
363.50000, 
364.00000,3.853104
364.50000, 
365.00000,3.879181
365.50000, 
366.00000,3.925888
366.50000, 
367.00000,3.712875
367.50000, 
368.00000,3.713623
368.50000, 
369.00000,3.944443
369.50000, 
370.00000,3.959335
370.50000, 
371.00000,3.805115
371.50000, 
372.00000,3.932404
372.50000, 
373.00000,3.931976
373.50000, 
374.00000,3.810104
374.50000, 
375.00000,3.915085
375.50000, 
376.00000,3.827606
376.50000, 
377.00000,3.874451
377.50000, 
378.00000,3.892731
378.50000, 
379.00000,3.818253
379.50000, 
380.00000,3.847229
380.50000, 
381.00000,3.552307
381.50000, 
382.00000,3.502396
382.50000, 
383.00000,3.240143
383.50000, 
384.00000,3.029633
384.50000, 
385.00000,2.771362
385.50000, 
386.00000,2.580750
386.50000, 
387.00000,2.401733
387.50000, 
388.00000,2.231705
388.50000, 
389.00000,2.070862
389.50000, 
390.00000,1.940506
390.50000, 
391.00000,1.820374
391.50000, 
392.00000,1.718857
392.50000, 
393.00000,1.629013
393.50000, 
394.00000,1.548004
394.50000, 
395.00000,1.480530
395.50000, 
396.00000,1.423080
396.50000, 
397.00000,1.374908
397.50000, 
398.00000,1.337250
398.50000, 
399.00000,1.304153
399.50000, 
400.00000,1.274490
400.50000, 
401.00000,1.247665
401.50000, 
402.00000,1.223206
402.50000, 
403.00000,1.201035
403.50000, 
404.00000,1.179352
404.50000, 
405.00000,1.160217
405.50000, 
406.00000,1.142166
406.50000, 
407.00000,1.125641
407.50000, 
408.00000,1.111023
408.50000, 
409.00000,1.098022
409.50000, 
410.00000,1.085770
410.50000, 
411.00000,1.075943
411.50000, 
412.00000,1.066422
412.50000, 
413.00000,1.058502
413.50000, 
414.00000,1.051086
414.50000, 
415.00000,1.044144
415.50000, 
416.00000,1.038818
416.50000, 
417.00000,1.033844
417.50000, 
418.00000,1.028702
418.50000, 
419.00000,1.024063
419.50000, 
420.00000,1.020096
420.50000, 
421.00000,1.016113
421.50000, 
422.00000,1.012604
422.50000, 
423.00000,1.009384
423.50000, 
424.00000,1.006226
424.50000, 
425.00000,1.003281
425.50000, 
426.00000,1.000656
426.50000, 
427.00000,0.998138
427.50000, 
428.00000,0.995834
428.50000, 
429.00000,0.993820
429.50000, 
430.00000,0.992004
430.50000, 
431.00000,0.990128
431.50000, 
432.00000,0.988449
432.50000, 
433.00000,0.987030
433.50000, 
434.00000,0.985504
434.50000, 
435.00000,0.984055
435.50000, 
436.00000,0.982803
436.50000, 
437.00000,0.981049
437.50000, 
438.00000,0.979507
438.50000, 
439.00000,0.978226
439.50000, 
440.00000,0.977020
440.50000, 
441.00000,0.975616
441.50000, 
442.00000,0.974533
442.50000, 
443.00000,0.973450
443.50000, 
444.00000,0.972198
444.50000, 
445.00000,0.971100
445.50000, 
446.00000,0.970139
446.50000, 
447.00000,0.969299
447.50000, 
448.00000,0.968079
448.50000, 
449.00000,0.967194
449.50000, 
450.00000,0.966354
450.50000, 
451.00000,0.965363
451.50000, 
452.00000,0.964462
452.50000, 
453.00000,0.963623
453.50000, 
454.00000,0.962967
454.50000, 
455.00000,0.962173
455.50000, 
456.00000,0.961243
456.50000, 
457.00000,0.960419
457.50000, 
458.00000,0.959610
458.50000, 
459.00000,0.958862
459.50000, 
460.00000,0.957977
460.50000, 
461.00000,0.957260
461.50000, 
462.00000,0.956360
462.50000, 
463.00000,0.955505
463.50000, 
464.00000,0.954483
464.50000, 
465.00000,0.953583
465.50000, 
466.00000,0.952469
466.50000, 
467.00000,0.951065
467.50000, 
468.00000,0.949661
468.50000, 
469.00000,0.948151
469.50000, 
470.00000,0.946136
470.50000, 
471.00000,0.943512
471.50000, 
472.00000,0.939636
472.50000, 
473.00000,0.933838
473.50000, 
474.00000,0.930756
474.50000, 
475.00000,0.932053
475.50000, 
476.00000,0.934357
476.50000, 
477.00000,0.937531
477.50000, 
478.00000,0.941528
478.50000, 
479.00000,0.946686
479.50000, 
480.00000,0.953094
480.50000, 
481.00000,0.961029
481.50000, 
482.00000,0.970398
482.50000, 
483.00000,0.981491
483.50000, 
484.00000,0.994858
484.50000, 
485.00000,1.009277
485.50000, 
486.00000,1.025253
486.50000, 
487.00000,1.042770
487.50000, 
488.00000,1.060272
488.50000, 
489.00000,1.077148
489.50000, 
490.00000,1.092224
490.50000, 
491.00000,1.104858
491.50000, 
492.00000,1.114502
492.50000, 
493.00000,1.121292
493.50000, 
494.00000,1.124817
494.50000, 
495.00000,1.125412
495.50000, 
496.00000,1.123520
496.50000, 
497.00000,1.119720
497.50000, 
498.00000,1.114304
498.50000, 
499.00000,1.108414
499.50000, 
500.00000,1.102112
500.50000, 
501.00000,1.095016
501.50000, 
502.00000,1.087692
502.50000, 
503.00000,1.080795
503.50000, 
504.00000,1.074173
504.50000, 
505.00000,1.067612
505.50000, 
506.00000,1.061111
506.50000, 
507.00000,1.055527
507.50000, 
508.00000,1.049973
508.50000, 
509.00000,1.045029
509.50000, 
510.00000,1.040207
510.50000, 
511.00000,1.035965
511.50000, 
512.00000,1.031876
512.50000, 
513.00000,1.027924
513.50000, 
514.00000,1.024384
514.50000, 
515.00000,1.020966
515.50000, 
516.00000,1.017746
516.50000, 
517.00000,1.014938
517.50000, 
518.00000,1.012131
518.50000, 
519.00000,1.009613
519.50000, 
520.00000,1.007065
520.50000, 
521.00000,1.004745
521.50000, 
522.00000,1.002640
522.50000, 
523.00000,1.000412
523.50000, 
524.00000,0.998367
524.50000, 
525.00000,0.996506
525.50000, 
526.00000,0.994614
526.50000, 
527.00000,0.992798
527.50000, 
528.00000,0.991196
528.50000, 
529.00000,0.989532
529.50000, 
530.00000,0.987991
530.50000, 
531.00000,0.986542
531.50000, 
532.00000,0.985306
532.50000, 
533.00000,0.984024
533.50000, 
534.00000,0.982819
534.50000, 
535.00000,0.981659
535.50000, 
536.00000,0.979980
536.50000, 
537.00000,0.978088
537.50000, 
538.00000,0.977249
538.50000, 
539.00000,0.976456
539.50000, 
540.00000,0.975586
540.50000, 
541.00000,0.974762
541.50000, 
542.00000,0.973999
542.50000, 
543.00000,0.973267
543.50000, 
544.00000,0.972427
544.50000, 
545.00000,0.971710
545.50000, 
546.00000,0.970947
546.50000, 
547.00000,0.970200
547.50000, 
548.00000,0.969437
548.50000, 
549.00000,0.968826
549.50000, 
550.00000,0.967865
550.50000, 
551.00000,0.967163
551.50000, 
552.00000,0.966400
552.50000, 
553.00000,0.965607
553.50000, 
554.00000,0.964722
554.50000, 
555.00000,0.963821
555.50000, 
556.00000,0.962906
556.50000, 
557.00000,0.961914
557.50000, 
558.00000,0.960861
558.50000, 
559.00000,0.959854
559.50000, 
560.00000,0.958817
560.50000, 
561.00000,0.957779
561.50000, 
562.00000,0.956696
562.50000, 
563.00000,0.955490
563.50000, 
564.00000,0.954422
564.50000, 
565.00000,0.953156
565.50000, 
566.00000,0.951965
566.50000, 
567.00000,0.950806
567.50000, 
568.00000,0.949570
568.50000, 
569.00000,0.948303
569.50000, 
570.00000,0.947098
570.50000, 
571.00000,0.945877
571.50000, 
572.00000,0.944702
572.50000, 
573.00000,0.943436
573.50000, 
574.00000,0.942245
574.50000, 
575.00000,0.940979
575.50000, 
576.00000,0.939835
576.50000, 
577.00000,0.938721
577.50000, 
578.00000,0.937607
578.50000, 
579.00000,0.936539
579.50000, 
580.00000,0.935577
580.50000, 
581.00000,0.934570
581.50000, 
582.00000,0.933792
582.50000, 
583.00000,0.932953
