"20%H - RawData"
"Wavelength nm.","Abs."
300.00000,3.982574
300.50000, 
301.00000,3.795853
301.50000, 
302.00000,3.861023
302.50000, 
303.00000,3.942612
303.50000, 
304.00000,3.972046
304.50000, 
305.00000,3.836090
305.50000, 
306.00000,3.833038
306.50000, 
307.00000,3.976440
307.50000, 
308.00000,3.939545
308.50000, 
309.00000,3.988266
309.50000, 
310.00000,3.949493
310.50000, 
311.00000,4.000000
311.50000, 
312.00000,3.948364
312.50000, 
313.00000,3.934982
313.50000, 
314.00000,3.841583
314.50000, 
315.00000,3.898102
315.50000, 
316.00000,3.949265
316.50000, 
317.00000,3.842941
317.50000, 
318.00000,3.781631
318.50000, 
319.00000,3.959045
319.50000, 
320.00000,3.982742
320.50000, 
321.00000,3.909241
321.50000, 
322.00000,3.900543
322.50000, 
323.00000,3.913788
323.50000, 
324.00000,3.942215
324.50000, 
325.00000,3.955460
325.50000, 
326.00000,3.932861
326.50000, 
327.00000,3.904831
327.50000, 
328.00000,3.933334
328.50000, 
329.00000,3.857635
329.50000, 
330.00000,3.970016
330.50000, 
331.00000,3.869965
331.50000, 
332.00000,3.951447
332.50000, 
333.00000,3.793839
333.50000, 
334.00000,3.919281
334.50000, 
335.00000,3.946762
335.50000, 
336.00000,3.920929
336.50000, 
337.00000,3.721710
337.50000, 
338.00000,3.852280
338.50000, 
339.00000,3.870453
339.50000, 
340.00000,3.675308
340.50000, 
341.00000,3.779877
341.50000, 
342.00000,3.772263
342.50000, 
343.00000,3.851730
343.50000, 
344.00000,3.774002
344.50000, 
345.00000,3.813034
345.50000, 
346.00000,3.905792
346.50000, 
347.00000,3.922302
347.50000, 
348.00000,3.722565
348.50000, 
349.00000,3.761978
349.50000, 
350.00000,3.982254
350.50000, 
351.00000,3.893219
351.50000, 
352.00000,3.934021
352.50000, 
353.00000,3.989212
353.50000, 
354.00000,3.747055
354.50000, 
355.00000,3.947144
355.50000, 
356.00000,3.913452
356.50000, 
357.00000,3.955963
357.50000, 
358.00000,3.991302
358.50000, 
359.00000,3.929169
359.50000, 
360.00000,3.867050
360.50000, 
361.00000,3.812881
361.50000, 
362.00000,3.925079
362.50000, 
363.00000,3.887863
363.50000, 
