"30% - RawData"
"Wavelength nm.","Abs."
300.00000,0.629883
300.50000, 
301.00000,0.624405
301.50000, 
302.00000,0.617935
302.50000, 
303.00000,0.611465
303.50000, 
304.00000,0.605759
304.50000, 
305.00000,0.600266
305.50000, 
306.00000,0.594879
306.50000, 
307.00000,0.589554
307.50000, 
308.00000,0.584473
308.50000, 
309.00000,0.579697
309.50000, 
310.00000,0.575394
310.50000, 
311.00000,0.571396
311.50000, 
312.00000,0.567993
312.50000, 
313.00000,0.564957
313.50000, 
314.00000,0.561661
314.50000, 
315.00000,0.559143
315.50000, 
316.00000,0.556808
316.50000, 
317.00000,0.555084
317.50000, 
318.00000,0.554337
318.50000, 
319.00000,0.553619
319.50000, 
320.00000,0.553284
320.50000, 
321.00000,0.553940
321.50000, 
322.00000,0.554642
322.50000, 
323.00000,0.556000
323.50000, 
324.00000,0.557693
324.50000, 
325.00000,0.560257
325.50000, 
326.00000,0.562592
326.50000, 
327.00000,0.565079
327.50000, 
328.00000,0.568375
328.50000, 
329.00000,0.570511
329.50000, 
330.00000,0.572891
330.50000, 
331.00000,0.575317
331.50000, 
332.00000,0.577148
332.50000, 
333.00000,0.578369
333.50000, 
334.00000,0.578369
334.50000, 
335.00000,0.578598
335.50000, 
336.00000,0.577408
336.50000, 
337.00000,0.575577
337.50000, 
338.00000,0.572983
338.50000, 
339.00000,0.569672
339.50000, 
340.00000,0.565384
340.50000, 
341.00000,0.561050
341.50000, 
342.00000,0.556824
342.50000, 
343.00000,0.552048
343.50000, 
344.00000,0.547119
344.50000, 
345.00000,0.541367
345.50000, 
346.00000,0.536469
346.50000, 
347.00000,0.530655
347.50000, 
348.00000,0.525192
348.50000, 
349.00000,0.520004
349.50000, 
350.00000,0.514862
350.50000, 
351.00000,0.509460
351.50000, 
352.00000,0.504944
352.50000, 
353.00000,0.499847
353.50000, 
354.00000,0.494720
354.50000, 
355.00000,0.490021
355.50000, 
356.00000,0.485199
356.50000, 
357.00000,0.480621
357.50000, 
358.00000,0.476608
358.50000, 
359.00000,0.472763
359.50000, 
360.00000,0.468369
360.50000, 
361.00000,0.464859
361.50000, 
362.00000,0.461823
362.50000, 
363.00000,0.459167
363.50000, 
364.00000,0.456635
364.50000, 
365.00000,0.452805
365.50000, 
366.00000,0.449860
366.50000, 
367.00000,0.447266
367.50000, 
368.00000,0.444839
368.50000, 
369.00000,0.442673
369.50000, 
370.00000,0.440262
370.50000, 
371.00000,0.437714
371.50000, 
372.00000,0.435135
372.50000, 
373.00000,0.432724
373.50000, 
374.00000,0.430634
374.50000, 
375.00000,0.428207
375.50000, 
376.00000,0.426117
376.50000, 
377.00000,0.424088
377.50000, 
378.00000,0.421875
378.50000, 
379.00000,0.420105
379.50000, 
380.00000,0.418350
380.50000, 
381.00000,0.416824
381.50000, 
382.00000,0.415421
382.50000, 
383.00000,0.414032
383.50000, 
384.00000,0.412659
384.50000, 
385.00000,0.411270
385.50000, 
386.00000,0.410065
386.50000, 
387.00000,0.409180
387.50000, 
388.00000,0.408066
388.50000, 
389.00000,0.407104
389.50000, 
390.00000,0.406387
390.50000, 
391.00000,0.405563
391.50000, 
392.00000,0.404938
392.50000, 
393.00000,0.404358
393.50000, 
394.00000,0.403961
394.50000, 
395.00000,0.403534
395.50000, 
396.00000,0.403336
396.50000, 
397.00000,0.403137
397.50000, 
398.00000,0.402985
398.50000, 
399.00000,0.402756
399.50000, 
400.00000,0.402634
400.50000, 
401.00000,0.402481
401.50000, 
402.00000,0.402390
402.50000, 
403.00000,0.402267
403.50000, 
404.00000,0.402313
404.50000, 
405.00000,0.402390
405.50000, 
406.00000,0.402496
406.50000, 
407.00000,0.402847
407.50000, 
408.00000,0.403137
408.50000, 
409.00000,0.403473
409.50000, 
410.00000,0.403778
410.50000, 
411.00000,0.404297
411.50000, 
412.00000,0.404678
412.50000, 
413.00000,0.405106
413.50000, 
414.00000,0.405396
414.50000, 
415.00000,0.405823
415.50000, 
416.00000,0.406311
416.50000, 
417.00000,0.406967
417.50000, 
418.00000,0.407501
418.50000, 
419.00000,0.408020
419.50000, 
420.00000,0.408340
420.50000, 
421.00000,0.408966
421.50000, 
422.00000,0.409515
422.50000, 
423.00000,0.410065
423.50000, 
424.00000,0.410736
424.50000, 
425.00000,0.411530
425.50000, 
426.00000,0.412399
426.50000, 
427.00000,0.413330
427.50000, 
428.00000,0.414520
428.50000, 
429.00000,0.415726
429.50000, 
430.00000,0.417053
430.50000, 
431.00000,0.418488
431.50000, 
432.00000,0.419937
432.50000, 
433.00000,0.421371
433.50000, 
434.00000,0.422791
434.50000, 
435.00000,0.424118
435.50000, 
436.00000,0.425354
436.50000, 
437.00000,0.426651
437.50000, 
438.00000,0.427826
438.50000, 
439.00000,0.429001
439.50000, 
440.00000,0.430130
440.50000, 
441.00000,0.431213
441.50000, 
442.00000,0.432449
442.50000, 
443.00000,0.433563
443.50000, 
444.00000,0.434921
444.50000, 
445.00000,0.436203
445.50000, 
446.00000,0.437469
446.50000, 
447.00000,0.438934
447.50000, 
448.00000,0.440247
448.50000, 
449.00000,0.441727
449.50000, 
450.00000,0.443100
450.50000, 
451.00000,0.444565
451.50000, 
452.00000,0.446152
452.50000, 
453.00000,0.447784
453.50000, 
454.00000,0.449432
454.50000, 
455.00000,0.451096
455.50000, 
456.00000,0.452759
456.50000, 
457.00000,0.454529
457.50000, 
458.00000,0.456284
458.50000, 
459.00000,0.458069
459.50000, 
460.00000,0.459900
460.50000, 
461.00000,0.461823
461.50000, 
462.00000,0.463486
462.50000, 
463.00000,0.465286
463.50000, 
464.00000,0.467255
464.50000, 
465.00000,0.469116
465.50000, 
466.00000,0.471069
466.50000, 
467.00000,0.473038
467.50000, 
468.00000,0.474930
468.50000, 
469.00000,0.476837
469.50000, 
470.00000,0.478760
470.50000, 
471.00000,0.480499
471.50000, 
472.00000,0.482285
472.50000, 
473.00000,0.483871
473.50000, 
474.00000,0.485779
474.50000, 
475.00000,0.487900
475.50000, 
476.00000,0.490143
476.50000, 
477.00000,0.492508
477.50000, 
478.00000,0.494904
478.50000, 
479.00000,0.497391
479.50000, 
480.00000,0.499893
480.50000, 
481.00000,0.502625
481.50000, 
482.00000,0.505234
482.50000, 
483.00000,0.507980
483.50000, 
484.00000,0.510910
484.50000, 
485.00000,0.513855
485.50000, 
486.00000,0.516846
486.50000, 
487.00000,0.519821
487.50000, 
488.00000,0.522720
488.50000, 
489.00000,0.525497
489.50000, 
490.00000,0.528122
490.50000, 
491.00000,0.530533
491.50000, 
492.00000,0.532776
492.50000, 
493.00000,0.534805
493.50000, 
494.00000,0.536652
494.50000, 
495.00000,0.538376
495.50000, 
496.00000,0.539841
496.50000, 
497.00000,0.541260
497.50000, 
498.00000,0.542664
498.50000, 
499.00000,0.543945
499.50000, 
500.00000,0.545120
500.50000, 
501.00000,0.546356
501.50000, 
502.00000,0.547638
502.50000, 
503.00000,0.548889
503.50000, 
504.00000,0.550079
504.50000, 
505.00000,0.551300
505.50000, 
506.00000,0.552551
506.50000, 
507.00000,0.553650
507.50000, 
508.00000,0.554855
508.50000, 
509.00000,0.555939
509.50000, 
510.00000,0.556900
510.50000, 
511.00000,0.557770
511.50000, 
512.00000,0.558594
512.50000, 
513.00000,0.559357
513.50000, 
514.00000,0.559937
514.50000, 
515.00000,0.560486
515.50000, 
516.00000,0.560898
516.50000, 
517.00000,0.561081
517.50000, 
518.00000,0.561172
518.50000, 
519.00000,0.561188
519.50000, 
520.00000,0.561020
520.50000, 
521.00000,0.560715
521.50000, 
522.00000,0.560349
522.50000, 
523.00000,0.559891
523.50000, 
524.00000,0.559265
524.50000, 
525.00000,0.558594
525.50000, 
526.00000,0.557938
526.50000, 
527.00000,0.556976
527.50000, 
528.00000,0.556091
528.50000, 
529.00000,0.555283
529.50000, 
530.00000,0.554306
530.50000, 
531.00000,0.553528
531.50000, 
532.00000,0.552765
532.50000, 
533.00000,0.551880
533.50000, 
534.00000,0.551086
534.50000, 
535.00000,0.550415
535.50000, 
536.00000,0.549652
536.50000, 
537.00000,0.548889
537.50000, 
538.00000,0.548386
538.50000, 
539.00000,0.548019
539.50000, 
540.00000,0.547821
540.50000, 
541.00000,0.547638
541.50000, 
542.00000,0.547531
542.50000, 
543.00000,0.547531
543.50000, 
544.00000,0.547607
544.50000, 
545.00000,0.547668
545.50000, 
546.00000,0.547760
546.50000, 
547.00000,0.547882
547.50000, 
548.00000,0.547852
548.50000, 
549.00000,0.547943
549.50000, 
550.00000,0.547821
550.50000, 
551.00000,0.547668
551.50000, 
552.00000,0.547409
552.50000, 
553.00000,0.546951
553.50000, 
554.00000,0.546341
554.50000, 
555.00000,0.545532
555.50000, 
556.00000,0.544479
556.50000, 
557.00000,0.543182
557.50000, 
558.00000,0.541687
558.50000, 
559.00000,0.539825
559.50000, 
560.00000,0.537842
560.50000, 
561.00000,0.535553
561.50000, 
562.00000,0.533066
562.50000, 
563.00000,0.530396
563.50000, 
564.00000,0.527451
564.50000, 
565.00000,0.524338
565.50000, 
566.00000,0.521088
566.50000, 
567.00000,0.517563
567.50000, 
568.00000,0.513931
568.50000, 
569.00000,0.510132
569.50000, 
570.00000,0.506287
570.50000, 
571.00000,0.502518
571.50000, 
572.00000,0.498672
572.50000, 
573.00000,0.494720
573.50000, 
574.00000,0.490707
574.50000, 
575.00000,0.486557
575.50000, 
576.00000,0.482544
576.50000, 
577.00000,0.478577
577.50000, 
578.00000,0.474899
578.50000, 
579.00000,0.471313
579.50000, 
580.00000,0.467896
580.50000, 
581.00000,0.464630
581.50000, 
582.00000,0.461731
582.50000, 
583.00000,0.459045
583.50000, 
584.00000,0.456497
584.50000, 
585.00000,0.454178
585.50000, 
586.00000,0.452148
586.50000, 
587.00000,0.450394
587.50000, 
588.00000,0.448837
588.50000, 
589.00000,0.447540
589.50000, 
590.00000,0.446487
590.50000, 
591.00000,0.445648
591.50000, 
592.00000,0.444916
592.50000, 
593.00000,0.444382
593.50000, 
594.00000,0.443909
594.50000, 
595.00000,0.443512
595.50000, 
596.00000,0.443298
596.50000, 
597.00000,0.442932
597.50000, 
598.00000,0.442688
598.50000, 
599.00000,0.442352
599.50000, 
600.00000,0.442017
600.50000, 
601.00000,0.441544
601.50000, 
602.00000,0.440796
602.50000, 
603.00000,0.439835
603.50000, 
604.00000,0.438705
604.50000, 
605.00000,0.437302
605.50000, 
606.00000,0.435532
606.50000, 
607.00000,0.433441
607.50000, 
608.00000,0.431122
608.50000, 
609.00000,0.428452
609.50000, 
610.00000,0.425476
610.50000, 
611.00000,0.422180
611.50000, 
612.00000,0.418427
612.50000, 
613.00000,0.414429
613.50000, 
614.00000,0.410065
614.50000, 
615.00000,0.405487
615.50000, 
616.00000,0.400650
616.50000, 
617.00000,0.395721
617.50000, 
618.00000,0.390488
618.50000, 
619.00000,0.384888
619.50000, 
620.00000,0.379227
620.50000, 
621.00000,0.373383
621.50000, 
622.00000,0.367416
622.50000, 
623.00000,0.361160
623.50000, 
624.00000,0.354797
624.50000, 
625.00000,0.348526
625.50000, 
626.00000,0.342377
626.50000, 
627.00000,0.336182
627.50000, 
628.00000,0.330002
628.50000, 
629.00000,0.323929
629.50000, 
630.00000,0.318039
630.50000, 
631.00000,0.312408
631.50000, 
632.00000,0.306900
632.50000, 
633.00000,0.301590
633.50000, 
634.00000,0.296448
634.50000, 
635.00000,0.291534
635.50000, 
636.00000,0.287354
636.50000, 
637.00000,0.283264
637.50000, 
638.00000,0.279434
638.50000, 
639.00000,0.275833
639.50000, 
640.00000,0.272583
640.50000, 
641.00000,0.269516
641.50000, 
642.00000,0.266586
642.50000, 
643.00000,0.263809
643.50000, 
644.00000,0.261124
644.50000, 
645.00000,0.258499
645.50000, 
646.00000,0.255966
646.50000, 
647.00000,0.253494
647.50000, 
648.00000,0.251175
648.50000, 
649.00000,0.248810
649.50000, 
650.00000,0.246597
650.50000, 
651.00000,0.244537
651.50000, 
652.00000,0.242661
652.50000, 
653.00000,0.240845
653.50000, 
654.00000,0.239059
654.50000, 
655.00000,0.237381
655.50000, 
656.00000,0.235840
656.50000, 
657.00000,0.234528
657.50000, 
658.00000,0.233261
658.50000, 
659.00000,0.232101
659.50000, 
660.00000,0.231003
660.50000, 
661.00000,0.229797
661.50000, 
662.00000,0.228851
662.50000, 
663.00000,0.227875
663.50000, 
664.00000,0.226944
664.50000, 
665.00000,0.225998
665.50000, 
666.00000,0.225143
666.50000, 
667.00000,0.224411
667.50000, 
668.00000,0.223557
668.50000, 
669.00000,0.222778
669.50000, 
670.00000,0.222183
670.50000, 
671.00000,0.221497
671.50000, 
672.00000,0.220840
672.50000, 
673.00000,0.220215
673.50000, 
674.00000,0.219559
674.50000, 
675.00000,0.218887
675.50000, 
676.00000,0.218338
676.50000, 
677.00000,0.217789
677.50000, 
678.00000,0.217300
678.50000, 
679.00000,0.216812
679.50000, 
680.00000,0.216293
680.50000, 
681.00000,0.215790
681.50000, 
682.00000,0.215271
682.50000, 
683.00000,0.214844
683.50000, 
684.00000,0.214432
684.50000, 
685.00000,0.214005
685.50000, 
686.00000,0.213608
686.50000, 
687.00000,0.213196
687.50000, 
688.00000,0.212845
688.50000, 
689.00000,0.212494
689.50000, 
690.00000,0.212097
690.50000, 
691.00000,0.211777
691.50000, 
692.00000,0.211411
692.50000, 
693.00000,0.211014
693.50000, 
694.00000,0.210709
694.50000, 
695.00000,0.210373
695.50000, 
696.00000,0.210068
696.50000, 
697.00000,0.209778
697.50000, 
698.00000,0.209473
698.50000, 
699.00000,0.209167
699.50000, 
700.00000,0.208862
700.50000, 
701.00000,0.208527
701.50000, 
702.00000,0.208282
702.50000, 
703.00000,0.208023
703.50000, 
704.00000,0.207764
704.50000, 
705.00000,0.207458
705.50000, 
706.00000,0.207199
706.50000, 
707.00000,0.206894
707.50000, 
708.00000,0.206528
708.50000, 
709.00000,0.206345
709.50000, 
710.00000,0.206131
710.50000, 
711.00000,0.205795
711.50000, 
712.00000,0.205414
712.50000, 
713.00000,0.205170
713.50000, 
714.00000,0.204880
714.50000, 
715.00000,0.204544
715.50000, 
716.00000,0.204239
716.50000, 
717.00000,0.203888
717.50000, 
718.00000,0.203476
718.50000, 
719.00000,0.203140
719.50000, 
720.00000,0.202835
720.50000, 
721.00000,0.202499
721.50000, 
722.00000,0.202103
722.50000, 
723.00000,0.201797
723.50000, 
724.00000,0.201492
724.50000, 
725.00000,0.201157
725.50000, 
726.00000,0.200897
726.50000, 
727.00000,0.200562
727.50000, 
728.00000,0.200287
728.50000, 
729.00000,0.199982
729.50000, 
730.00000,0.199646
730.50000, 
731.00000,0.199371
731.50000, 
732.00000,0.199203
732.50000, 
733.00000,0.199005
733.50000, 
734.00000,0.198700
734.50000, 
735.00000,0.198395
735.50000, 
736.00000,0.198151
736.50000, 
737.00000,0.197937
737.50000, 
738.00000,0.197662
738.50000, 
739.00000,0.197495
739.50000, 
740.00000,0.197250
740.50000, 
741.00000,0.197006
741.50000, 
742.00000,0.196716
742.50000, 
743.00000,0.196503
743.50000, 
744.00000,0.196335
744.50000, 
745.00000,0.196060
745.50000, 
746.00000,0.195709
746.50000, 
747.00000,0.195389
747.50000, 
748.00000,0.195129
748.50000, 
749.00000,0.194901
749.50000, 
750.00000,0.194687
750.50000, 
751.00000,0.194427
751.50000, 
752.00000,0.194229
752.50000, 
753.00000,0.193954
753.50000, 
754.00000,0.193771
754.50000, 
755.00000,0.193542
755.50000, 
756.00000,0.193329
756.50000, 
757.00000,0.193100
757.50000, 
758.00000,0.192856
758.50000, 
759.00000,0.192703
