"10%H - RawData"
"Wavelength nm.","Abs."
300.00000,3.970947
300.50000, 
301.00000,3.968964
301.50000, 
302.00000,3.996964
302.50000, 
303.00000,3.945862
303.50000, 
304.00000,3.942398
304.50000, 
305.00000,3.983063
305.50000, 
306.00000,3.874283
306.50000, 
307.00000,3.952042
307.50000, 
308.00000,3.988541
308.50000, 
309.00000,3.822830
309.50000, 
310.00000,3.823273
310.50000, 
311.00000,3.919479
311.50000, 
312.00000,3.885803
312.50000, 
313.00000,3.921509
313.50000, 
314.00000,3.946136
314.50000, 
315.00000,3.964096
315.50000, 
316.00000,3.935989
316.50000, 
317.00000,3.883041
317.50000, 
318.00000,3.835861
318.50000, 
319.00000,3.817780
319.50000, 
320.00000,3.937851
320.50000, 
321.00000,3.980286
321.50000, 
322.00000,3.777435
322.50000, 
323.00000,3.962479
323.50000, 
324.00000,3.880035
324.50000, 
325.00000,3.795944
325.50000, 
326.00000,3.643051
326.50000, 
327.00000,3.526505
327.50000, 
328.00000,3.923660
328.50000, 
329.00000,3.834137
329.50000, 
330.00000,3.880127
330.50000, 
331.00000,3.878723
331.50000, 
332.00000,3.903793
332.50000, 
333.00000,3.865921
333.50000, 
334.00000,3.920135
334.50000, 
335.00000,3.907974
335.50000, 
336.00000,3.775604
336.50000, 
337.00000,3.719131
337.50000, 
338.00000,3.986008
338.50000, 
339.00000,3.791916
339.50000, 
340.00000,3.569687
340.50000, 
341.00000,3.725494
341.50000, 
342.00000,3.970581
342.50000, 
343.00000,3.683502
343.50000, 
344.00000,3.558594
344.50000, 
345.00000,3.621643
345.50000, 
346.00000,3.685349
346.50000, 
347.00000,3.842194
347.50000, 
348.00000,3.993637
348.50000, 
349.00000,3.947479
349.50000, 
350.00000,3.859924
350.50000, 
351.00000,3.918182
351.50000, 
352.00000,3.828125
352.50000, 
353.00000,3.862000
353.50000, 
354.00000,3.870407
354.50000, 
355.00000,3.657089
355.50000, 
356.00000,3.671967
356.50000, 
357.00000,3.948151
357.50000, 
358.00000,3.980896
358.50000, 
359.00000,3.841949
359.50000, 
360.00000,3.902084
360.50000, 
361.00000,3.736465
361.50000, 
362.00000,3.598785
362.50000, 
363.00000,3.777664
363.50000, 
364.00000,3.912354
364.50000, 
365.00000,3.952148
365.50000, 
366.00000,3.566345
366.50000, 
367.00000,3.883942
367.50000, 
368.00000,3.895142
368.50000, 
369.00000,3.953217
369.50000, 
370.00000,3.741730
370.50000, 
371.00000,3.865143
371.50000, 
372.00000,3.807709
372.50000, 
373.00000,3.718323
373.50000, 
374.00000,3.904373
374.50000, 
375.00000,3.780930
375.50000, 
376.00000,3.854019
376.50000, 
377.00000,3.698181
377.50000, 
378.00000,3.825073
378.50000, 
379.00000,3.927643
379.50000, 
380.00000,3.863449
380.50000, 
381.00000,3.569748
381.50000, 
382.00000,3.652985
382.50000, 
383.00000,3.294632
383.50000, 
384.00000,3.061325
384.50000, 
385.00000,2.841614
385.50000, 
386.00000,2.637253
386.50000, 
387.00000,2.448273
387.50000, 
388.00000,2.302551
388.50000, 
389.00000,2.145401
389.50000, 
390.00000,2.013962
390.50000, 
391.00000,1.886917
391.50000, 
392.00000,1.784363
392.50000, 
393.00000,1.682495
393.50000, 
394.00000,1.592285
394.50000, 
395.00000,1.514740
395.50000, 
396.00000,1.442017
396.50000, 
397.00000,1.378052
397.50000, 
398.00000,1.324295
398.50000, 
399.00000,1.276703
399.50000, 
400.00000,1.235092
400.50000, 
401.00000,1.199448
401.50000, 
402.00000,1.170700
402.50000, 
403.00000,1.147247
403.50000, 
404.00000,1.126633
404.50000, 
405.00000,1.110291
405.50000, 
406.00000,1.096069
406.50000, 
407.00000,1.084412
407.50000, 
408.00000,1.075317
408.50000, 
409.00000,1.067932
409.50000, 
410.00000,1.060867
410.50000, 
411.00000,1.056152
411.50000, 
412.00000,1.051743
412.50000, 
413.00000,1.048004
413.50000, 
414.00000,1.045029
414.50000, 
415.00000,1.042358
415.50000, 
416.00000,1.040695
416.50000, 
417.00000,1.040024
417.50000, 
418.00000,1.038162
418.50000, 
419.00000,1.037018
419.50000, 
420.00000,1.035339
420.50000, 
421.00000,1.034515
421.50000, 
422.00000,1.033554
422.50000, 
423.00000,1.032806
423.50000, 
424.00000,1.031952
424.50000, 
425.00000,1.031555
425.50000, 
426.00000,1.031174
426.50000, 
427.00000,1.030670
427.50000, 
428.00000,1.030594
428.50000, 
429.00000,1.030609
429.50000, 
430.00000,1.030655
430.50000, 
431.00000,1.030777
431.50000, 
432.00000,1.031143
432.50000, 
433.00000,1.031586
433.50000, 
434.00000,1.032028
434.50000, 
435.00000,1.032166
435.50000, 
436.00000,1.032623
436.50000, 
437.00000,1.032761
437.50000, 
438.00000,1.032776
438.50000, 
439.00000,1.033112
439.50000, 
440.00000,1.033295
440.50000, 
441.00000,1.033432
441.50000, 
442.00000,1.033875
442.50000, 
443.00000,1.034119
443.50000, 
444.00000,1.034485
444.50000, 
445.00000,1.034958
445.50000, 
446.00000,1.035416
446.50000, 
447.00000,1.035797
447.50000, 
448.00000,1.036255
448.50000, 
449.00000,1.036926
449.50000, 
450.00000,1.037369
450.50000, 
451.00000,1.038223
451.50000, 
452.00000,1.038681
452.50000, 
453.00000,1.039642
453.50000, 
454.00000,1.040497
454.50000, 
455.00000,1.041275
455.50000, 
456.00000,1.042496
456.50000, 
457.00000,1.043228
457.50000, 
458.00000,1.044266
458.50000, 
459.00000,1.045319
459.50000, 
460.00000,1.046387
460.50000, 
461.00000,1.047684
461.50000, 
462.00000,1.048920
462.50000, 
463.00000,1.050339
463.50000, 
464.00000,1.051926
464.50000, 
465.00000,1.053299
465.50000, 
466.00000,1.055038
466.50000, 
467.00000,1.056900
467.50000, 
468.00000,1.058868
468.50000, 
469.00000,1.060715
469.50000, 
470.00000,1.063217
470.50000, 
471.00000,1.066025
471.50000, 
472.00000,1.069931
472.50000, 
473.00000,1.075226
473.50000, 
474.00000,1.078323
474.50000, 
475.00000,1.078400
475.50000, 
476.00000,1.077728
476.50000, 
477.00000,1.076492
477.50000, 
478.00000,1.074722
478.50000, 
479.00000,1.072235
479.50000, 
480.00000,1.068985
480.50000, 
481.00000,1.064682
481.50000, 
482.00000,1.059860
482.50000, 
483.00000,1.054230
483.50000, 
484.00000,1.047623
484.50000, 
485.00000,1.040588
485.50000, 
486.00000,1.033234
486.50000, 
487.00000,1.025757
487.50000, 
488.00000,1.018768
488.50000, 
489.00000,1.012817
489.50000, 
490.00000,1.007828
490.50000, 
491.00000,1.004059
491.50000, 
492.00000,1.001556
492.50000, 
493.00000,1.000107
493.50000, 
494.00000,1.000076
494.50000, 
495.00000,1.001129
495.50000, 
496.00000,1.002914
496.50000, 
497.00000,1.005417
497.50000, 
498.00000,1.008469
498.50000, 
499.00000,1.012054
499.50000, 
500.00000,1.015518
500.50000, 
501.00000,1.019333
501.50000, 
502.00000,1.023575
502.50000, 
503.00000,1.027573
503.50000, 
504.00000,1.031433
504.50000, 
505.00000,1.035461
505.50000, 
506.00000,1.039322
506.50000, 
507.00000,1.042923
507.50000, 
508.00000,1.046555
508.50000, 
509.00000,1.049744
509.50000, 
510.00000,1.053009
510.50000, 
511.00000,1.055923
511.50000, 
512.00000,1.058685
512.50000, 
513.00000,1.061234
513.50000, 
514.00000,1.063431
514.50000, 
515.00000,1.065521
515.50000, 
516.00000,1.067474
516.50000, 
517.00000,1.069275
517.50000, 
518.00000,1.070679
518.50000, 
519.00000,1.072113
519.50000, 
520.00000,1.073181
520.50000, 
521.00000,1.074081
521.50000, 
522.00000,1.074951
522.50000, 
523.00000,1.075623
523.50000, 
524.00000,1.076218
524.50000, 
525.00000,1.076675
525.50000, 
526.00000,1.076950
526.50000, 
527.00000,1.077209
527.50000, 
528.00000,1.077347
528.50000, 
529.00000,1.077438
529.50000, 
530.00000,1.077576
530.50000, 
531.00000,1.077637
531.50000, 
532.00000,1.077637
532.50000, 
533.00000,1.077606
533.50000, 
534.00000,1.077682
534.50000, 
535.00000,1.077805
535.50000, 
536.00000,1.077255
536.50000, 
537.00000,1.076218
537.50000, 
538.00000,1.076523
538.50000, 
539.00000,1.076965
539.50000, 
540.00000,1.077316
540.50000, 
541.00000,1.077652
541.50000, 
542.00000,1.078110
542.50000, 
543.00000,1.078583
543.50000, 
544.00000,1.079071
544.50000, 
545.00000,1.079620
545.50000, 
546.00000,1.080109
546.50000, 
547.00000,1.080490
547.50000, 
548.00000,1.080963
548.50000, 
549.00000,1.081314
549.50000, 
550.00000,1.081482
550.50000, 
551.00000,1.081665
551.50000, 
552.00000,1.081650
552.50000, 
553.00000,1.081665
553.50000, 
554.00000,1.081299
554.50000, 
555.00000,1.080841
555.50000, 
556.00000,1.080154
556.50000, 
557.00000,1.079117
557.50000, 
558.00000,1.077881
558.50000, 
559.00000,1.076523
559.50000, 
560.00000,1.074997
560.50000, 
561.00000,1.073135
561.50000, 
562.00000,1.071091
562.50000, 
563.00000,1.068893
563.50000, 
564.00000,1.066360
564.50000, 
565.00000,1.063568
565.50000, 
566.00000,1.060760
566.50000, 
567.00000,1.057922
567.50000, 
568.00000,1.054779
568.50000, 
569.00000,1.051514
569.50000, 
570.00000,1.048172
570.50000, 
571.00000,1.044861
571.50000, 
