"10%V - RawData"
"Wavelength nm.","Abs."
300.00000,3.991226
300.50000, 
301.00000,3.972412
301.50000, 
302.00000,3.812500
302.50000, 
303.00000,3.967651
303.50000, 
304.00000,3.993332
304.50000, 
305.00000,3.934540
305.50000, 
306.00000,3.837921
306.50000, 
307.00000,3.810638
307.50000, 
308.00000,3.948746
308.50000, 
309.00000,3.781693
309.50000, 
310.00000,3.919937
310.50000, 
311.00000,3.808929
311.50000, 
312.00000,3.843506
312.50000, 
313.00000,3.868423
313.50000, 
314.00000,3.960800
314.50000, 
315.00000,3.914352
315.50000, 
316.00000,3.622299
316.50000, 
317.00000,3.586258
317.50000, 
318.00000,3.981689
318.50000, 
319.00000,3.821030
319.50000, 
320.00000,3.940887
320.50000, 
321.00000,3.859055
321.50000, 
322.00000,3.885864
322.50000, 
323.00000,3.893616
323.50000, 
324.00000,3.587997
324.50000, 
325.00000,3.816360
325.50000, 
326.00000,3.863815
326.50000, 
327.00000,3.757492
327.50000, 
328.00000,3.834366
328.50000, 
329.00000,3.690720
329.50000, 
330.00000,3.918518
330.50000, 
331.00000,3.806824
331.50000, 
332.00000,3.818130
332.50000, 
333.00000,3.875763
333.50000, 
334.00000,3.744736
334.50000, 
335.00000,3.834976
335.50000, 
336.00000,3.872208
336.50000, 
337.00000,3.755295
337.50000, 
338.00000,3.681229
338.50000, 
339.00000,3.750748
339.50000, 
340.00000,3.645844
340.50000, 
341.00000,3.710983
341.50000, 
342.00000,3.884872
342.50000, 
343.00000,3.711685
343.50000, 
344.00000,3.804932
344.50000, 
345.00000,3.682358
345.50000, 
346.00000,3.821747
346.50000, 
347.00000,3.770096
347.50000, 
348.00000,3.890213
348.50000, 
349.00000,3.947021
349.50000, 
350.00000,3.756393
350.50000, 
351.00000,3.747604
351.50000, 
352.00000,3.526489
352.50000, 
353.00000,3.794327
353.50000, 
354.00000,3.916595
354.50000, 
355.00000,3.956100
355.50000, 
356.00000,3.854111
356.50000, 
357.00000,3.609207
357.50000, 
358.00000,3.711517
358.50000, 
359.00000,3.805496
359.50000, 
360.00000,3.860901
360.50000, 
361.00000,3.879196
361.50000, 
362.00000,3.564819
362.50000, 
363.00000,3.732452
363.50000, 
364.00000,3.945480
364.50000, 
365.00000,3.786118
365.50000, 
366.00000,3.859009
366.50000, 
367.00000,3.581177
367.50000, 
368.00000,3.735596
368.50000, 
369.00000,3.712036
369.50000, 
370.00000,3.822540
370.50000, 
371.00000,3.793900
371.50000, 
372.00000,3.693924
372.50000, 
373.00000,3.582321
373.50000, 
374.00000,3.875626
374.50000, 
375.00000,3.835281
375.50000, 
376.00000,3.843872
376.50000, 
377.00000,3.926880
377.50000, 
378.00000,3.753555
378.50000, 
379.00000,3.666458
379.50000, 
380.00000,3.722626
380.50000, 
381.00000,3.906143
381.50000, 
382.00000,3.569580
382.50000, 
383.00000,3.305542
383.50000, 
384.00000,3.158615
384.50000, 
385.00000,2.917480
385.50000, 
386.00000,2.716644
386.50000, 
387.00000,2.525757
387.50000, 
388.00000,2.378769
388.50000, 
389.00000,2.226410
389.50000, 
390.00000,2.097046
390.50000, 
391.00000,1.975983
391.50000, 
392.00000,1.871750
392.50000, 
393.00000,1.787933
393.50000, 
394.00000,1.705399
394.50000, 
395.00000,1.640015
395.50000, 
396.00000,1.584839
396.50000, 
397.00000,1.537979
397.50000, 
398.00000,1.500244
398.50000, 
399.00000,1.467087
399.50000, 
400.00000,1.438278
400.50000, 
401.00000,1.412842
401.50000, 
402.00000,1.389282
402.50000, 
403.00000,1.367401
403.50000, 
404.00000,1.346832
404.50000, 
405.00000,1.328064
405.50000, 
406.00000,1.311203
406.50000, 
407.00000,1.295227
407.50000, 
408.00000,1.281311
408.50000, 
409.00000,1.269211
409.50000, 
410.00000,1.257263
410.50000, 
411.00000,1.247635
411.50000, 
412.00000,1.239258
412.50000, 
413.00000,1.232025
413.50000, 
414.00000,1.225189
