"30%2 - RawData"
"Wavelength nm.","Abs."
300.00000,0.757156
300.50000, 
301.00000,0.752029
301.50000, 
302.00000,0.745941
302.50000, 
303.00000,0.740051
303.50000, 
304.00000,0.734436
304.50000, 
305.00000,0.728729
305.50000, 
306.00000,0.720963
306.50000, 
307.00000,0.715347
307.50000, 
308.00000,0.710052
308.50000, 
309.00000,0.705307
309.50000, 
310.00000,0.700729
310.50000, 
311.00000,0.696274
311.50000, 
312.00000,0.692261
312.50000, 
313.00000,0.688614
313.50000, 
314.00000,0.685074
314.50000, 
315.00000,0.682068
315.50000, 
316.00000,0.679062
316.50000, 
317.00000,0.676178
317.50000, 
318.00000,0.674164
318.50000, 
319.00000,0.672592
319.50000, 
320.00000,0.671082
320.50000, 
321.00000,0.669724
321.50000, 
322.00000,0.669144
322.50000, 
323.00000,0.668213
323.50000, 
324.00000,0.667618
324.50000, 
325.00000,0.667938
325.50000, 
326.00000,0.667770
326.50000, 
327.00000,0.667023
327.50000, 
328.00000,0.666962
328.50000, 
329.00000,0.666748
329.50000, 
330.00000,0.666504
330.50000, 
331.00000,0.665573
331.50000, 
332.00000,0.664047
332.50000, 
333.00000,0.663208
333.50000, 
334.00000,0.661407
334.50000, 
335.00000,0.658783
335.50000, 
336.00000,0.656723
336.50000, 
337.00000,0.653534
337.50000, 
338.00000,0.649948
338.50000, 
339.00000,0.645950
339.50000, 
340.00000,0.641418
340.50000, 
341.00000,0.635193
341.50000, 
342.00000,0.631088
342.50000, 
343.00000,0.626572
343.50000, 
344.00000,0.621735
344.50000, 
345.00000,0.617538
345.50000, 
346.00000,0.611984
346.50000, 
347.00000,0.606964
347.50000, 
348.00000,0.603516
348.50000, 
349.00000,0.597763
349.50000, 
350.00000,0.593491
350.50000, 
351.00000,0.588287
351.50000, 
352.00000,0.584122
352.50000, 
353.00000,0.579361
353.50000, 
354.00000,0.575256
354.50000, 
355.00000,0.571243
355.50000, 
356.00000,0.566360
356.50000, 
357.00000,0.562241
357.50000, 
358.00000,0.558121
358.50000, 
359.00000,0.554535
359.50000, 
360.00000,0.550903
360.50000, 
361.00000,0.547516
361.50000, 
362.00000,0.544205
362.50000, 
363.00000,0.541336
