"40% - RawData"
"Wavelength nm.","Abs."
300.00000,0.729156
300.50000, 
301.00000,0.724716
301.50000, 
302.00000,0.719070
302.50000, 
303.00000,0.713852
303.50000, 
304.00000,0.709122
304.50000, 
305.00000,0.704086
305.50000, 
306.00000,0.699600
306.50000, 
307.00000,0.694656
307.50000, 
308.00000,0.690567
308.50000, 
309.00000,0.686066
309.50000, 
310.00000,0.681564
310.50000, 
311.00000,0.677628
311.50000, 
312.00000,0.674271
312.50000, 
313.00000,0.670578
313.50000, 
314.00000,0.667557
314.50000, 
315.00000,0.664993
315.50000, 
316.00000,0.662354
316.50000, 
317.00000,0.659943
317.50000, 
318.00000,0.658081
318.50000, 
319.00000,0.656601
319.50000, 
320.00000,0.655228
320.50000, 
321.00000,0.653915
321.50000, 
322.00000,0.653198
322.50000, 
323.00000,0.652527
323.50000, 
324.00000,0.652435
324.50000, 
325.00000,0.652115
325.50000, 
326.00000,0.652145
326.50000, 
327.00000,0.651627
327.50000, 
328.00000,0.651520
328.50000, 
329.00000,0.651062
329.50000, 
330.00000,0.650421
330.50000, 
331.00000,0.649902
331.50000, 
332.00000,0.648880
332.50000, 
333.00000,0.647324
333.50000, 
334.00000,0.645248
334.50000, 
335.00000,0.643646
335.50000, 
336.00000,0.640854
336.50000, 
337.00000,0.638428
337.50000, 
338.00000,0.634827
338.50000, 
339.00000,0.631607
339.50000, 
340.00000,0.627762
340.50000, 
341.00000,0.622665
341.50000, 
342.00000,0.618622
342.50000, 
343.00000,0.614471
343.50000, 
344.00000,0.610016
344.50000, 
345.00000,0.605835
345.50000, 
346.00000,0.601379
346.50000, 
347.00000,0.597046
347.50000, 
348.00000,0.591797
348.50000, 
349.00000,0.587952
349.50000, 
350.00000,0.583191
350.50000, 
351.00000,0.579727
351.50000, 
352.00000,0.575455
352.50000, 
353.00000,0.570709
353.50000, 
354.00000,0.566788
354.50000, 
355.00000,0.562744
355.50000, 
356.00000,0.558548
356.50000, 
357.00000,0.554031
357.50000, 
358.00000,0.550568
358.50000, 
359.00000,0.547455
359.50000, 
360.00000,0.543808
360.50000, 
361.00000,0.540100
361.50000, 
362.00000,0.537689
362.50000, 
363.00000,0.534653
363.50000, 
364.00000,0.531448
364.50000, 
365.00000,0.528748
365.50000, 
366.00000,0.526428
366.50000, 
367.00000,0.523666
367.50000, 
368.00000,0.521255
368.50000, 
369.00000,0.518661
369.50000, 
370.00000,0.516739
370.50000, 
371.00000,0.514130
371.50000, 
372.00000,0.512146
372.50000, 
373.00000,0.509598
373.50000, 
374.00000,0.507507
374.50000, 
375.00000,0.505493
375.50000, 
376.00000,0.503555
376.50000, 
377.00000,0.501724
377.50000, 
378.00000,0.499634
378.50000, 
379.00000,0.497742
379.50000, 
380.00000,0.496094
380.50000, 
381.00000,0.494629
381.50000, 
382.00000,0.493332
382.50000, 
383.00000,0.491745
383.50000, 
384.00000,0.490204
384.50000, 
385.00000,0.488937
385.50000, 
386.00000,0.487488
386.50000, 
387.00000,0.486404
387.50000, 
388.00000,0.485397
388.50000, 
389.00000,0.484192
389.50000, 
390.00000,0.483063
390.50000, 
391.00000,0.482269
391.50000, 
392.00000,0.481674
392.50000, 
393.00000,0.481049
393.50000, 
394.00000,0.480530
394.50000, 
395.00000,0.479782
395.50000, 
396.00000,0.479309
396.50000, 
397.00000,0.479080
397.50000, 
398.00000,0.478683
398.50000, 
399.00000,0.478424
399.50000, 
400.00000,0.478180
400.50000, 
401.00000,0.477951
401.50000, 
402.00000,0.477722
402.50000, 
403.00000,0.477585
403.50000, 
404.00000,0.477661
404.50000, 
405.00000,0.477844
