"0% H - RawData"
"Wavelength nm.","Abs."
300.00000,3.982040
300.50000, 
301.00000,3.890411
301.50000, 
302.00000,3.915222
302.50000, 
303.00000,3.956543
303.50000, 
304.00000,3.908829
304.50000, 
305.00000,3.931122
305.50000, 
306.00000,3.968033
306.50000, 
307.00000,3.968140
307.50000, 
308.00000,3.982513
308.50000, 
309.00000,3.953720
309.50000, 
310.00000,3.975250
310.50000, 
311.00000,3.980347
311.50000, 
312.00000,3.797058
312.50000, 
313.00000,3.900482
313.50000, 
314.00000,3.910858
314.50000, 
315.00000,3.891281
315.50000, 
316.00000,3.931610
316.50000, 
317.00000,3.866531
317.50000, 
318.00000,3.877487
318.50000, 
319.00000,3.858398
319.50000, 
320.00000,3.881088
320.50000, 
321.00000,3.973404
321.50000, 
322.00000,3.833679
322.50000, 
323.00000,3.867416
323.50000, 
324.00000,3.822800
324.50000, 
325.00000,3.815201
325.50000, 
326.00000,3.983139
326.50000, 
327.00000,3.932953
327.50000, 
328.00000,3.664886
328.50000, 
329.00000,3.808167
329.50000, 
330.00000,3.896622
330.50000, 
331.00000,3.915009
331.50000, 
332.00000,3.653839
332.50000, 
333.00000,3.867874
333.50000, 
334.00000,3.729172
334.50000, 
335.00000,3.803101
335.50000, 
336.00000,3.887680
336.50000, 
337.00000,3.912155
337.50000, 
338.00000,3.900787
338.50000, 
339.00000,3.858124
339.50000, 
340.00000,3.599991
340.50000, 
341.00000,3.738129
341.50000, 
342.00000,3.882248
342.50000, 
343.00000,3.952301
343.50000, 
344.00000,3.898956
344.50000, 
345.00000,3.885620
345.50000, 
346.00000,3.863602
346.50000, 
347.00000,3.939072
347.50000, 
348.00000,3.937531
348.50000, 
349.00000,3.736313
349.50000, 
350.00000,3.939987
350.50000, 
351.00000,3.930344
351.50000, 
352.00000,3.957748
352.50000, 
353.00000,3.746872
353.50000, 
354.00000,3.691620
354.50000, 
355.00000,3.863068
355.50000, 
356.00000,3.687027
356.50000, 
357.00000,3.935791
357.50000, 
358.00000,3.811646
358.50000, 
359.00000,3.675690
359.50000, 
360.00000,3.815445
360.50000, 
361.00000,3.939713
361.50000, 
362.00000,3.901474
362.50000, 
363.00000,3.833908
363.50000, 
364.00000,3.776138
364.50000, 
365.00000,3.796265
365.50000, 
366.00000,3.768005
366.50000, 
367.00000,3.852188
367.50000, 
368.00000,3.823074
368.50000, 
369.00000,3.867569
369.50000, 
370.00000,3.796082
370.50000, 
371.00000,3.745178
371.50000, 
372.00000,3.941452
372.50000, 
373.00000,3.942963
373.50000, 
374.00000,3.936417
374.50000, 
375.00000,3.903244
375.50000, 
376.00000,3.649887
