"0% V - RawData"
"Wavelength nm.","Abs."
300.00000,3.982635
300.50000, 
301.00000,3.969284
301.50000, 
302.00000,3.967438
302.50000, 
303.00000,3.920624
303.50000, 
304.00000,3.983948
304.50000, 
305.00000,3.918076
305.50000, 
306.00000,3.870239
306.50000, 
307.00000,3.830856
307.50000, 
308.00000,3.835510
308.50000, 
309.00000,3.848724
309.50000, 
310.00000,3.758316
310.50000, 
311.00000,3.830917
311.50000, 
312.00000,3.815033
312.50000, 
313.00000,3.840836
313.50000, 
314.00000,3.948090
314.50000, 
315.00000,3.863068
315.50000, 
316.00000,3.897675
316.50000, 
317.00000,3.985199
317.50000, 
318.00000,3.938309
318.50000, 
319.00000,3.811859
319.50000, 
320.00000,3.776703
320.50000, 
321.00000,3.867569
321.50000, 
322.00000,3.954254
322.50000, 
323.00000,3.921021
323.50000, 
324.00000,3.902069
324.50000, 
325.00000,3.904663
325.50000, 
326.00000,3.932449
326.50000, 
327.00000,3.972427
327.50000, 
328.00000,3.965973
328.50000, 
329.00000,3.929657
329.50000, 
330.00000,3.925674
330.50000, 
331.00000,3.913605
331.50000, 
332.00000,3.877060
332.50000, 
333.00000,3.704117
333.50000, 
334.00000,3.688171
334.50000, 
335.00000,3.775070
335.50000, 
336.00000,3.903748
336.50000, 
337.00000,3.781723
337.50000, 
338.00000,3.746445
338.50000, 
339.00000,3.732956
339.50000, 
340.00000,3.739822
340.50000, 
341.00000,3.729355
341.50000, 
342.00000,3.577332
342.50000, 
343.00000,3.551132
343.50000, 
344.00000,3.676926
344.50000, 
345.00000,3.730270
345.50000, 
346.00000,3.530411
346.50000, 
347.00000,3.838898
347.50000, 
348.00000,3.916916
348.50000, 
349.00000,3.717804
349.50000, 
350.00000,3.849487
350.50000, 
351.00000,4.000000
351.50000, 
352.00000,3.771637
352.50000, 
353.00000,3.863068
353.50000, 
354.00000,3.421875
354.50000, 
355.00000,3.878708
355.50000, 
356.00000,3.796173
356.50000, 
357.00000,3.772491
357.50000, 
358.00000,3.962738
358.50000, 
359.00000,3.942841
359.50000, 
360.00000,3.974716
360.50000, 
361.00000,3.832748
361.50000, 
362.00000,3.789352
362.50000, 
363.00000,3.925430
363.50000, 
364.00000,3.545090
364.50000, 
365.00000,3.845779
365.50000, 
366.00000,3.764999
366.50000, 
367.00000,3.583344
367.50000, 
368.00000,3.751862
368.50000, 
369.00000,3.737732
369.50000, 
370.00000,3.930649
370.50000, 
371.00000,3.695831
371.50000, 
372.00000,3.770294
372.50000, 
373.00000,3.985214
373.50000, 
374.00000,3.707962
374.50000, 
375.00000,3.801147
375.50000, 
376.00000,3.815247
376.50000, 
377.00000,3.860474
377.50000, 
378.00000,3.760895
378.50000, 
379.00000,3.665329
379.50000, 
380.00000,3.538147
380.50000, 
381.00000,3.935806
381.50000, 
382.00000,3.694672
382.50000, 
383.00000,3.521835
383.50000, 
384.00000,3.257278
384.50000, 
385.00000,3.090164
385.50000, 
386.00000,2.894104
386.50000, 
387.00000,2.730835
387.50000, 
388.00000,2.557693
388.50000, 
389.00000,2.422211
389.50000, 
390.00000,2.277939
390.50000, 
391.00000,2.161438
391.50000, 
392.00000,2.061539
392.50000, 
393.00000,1.972656
393.50000, 
394.00000,1.895828
394.50000, 
395.00000,1.830368
395.50000, 
396.00000,1.774704
396.50000, 
397.00000,1.727753
397.50000, 
398.00000,1.689026
398.50000, 
399.00000,1.656235
399.50000, 
400.00000,1.629471
400.50000, 
401.00000,1.603439
401.50000, 
402.00000,1.580643
402.50000, 
403.00000,1.559677
403.50000, 
404.00000,1.539490
404.50000, 
405.00000,1.520737
405.50000, 
406.00000,1.505890
406.50000, 
407.00000,1.492142
407.50000, 
408.00000,1.479553
408.50000, 
409.00000,1.468536
409.50000, 
410.00000,1.458389
410.50000, 
411.00000,1.450775
411.50000, 
412.00000,1.444397
412.50000, 
413.00000,1.437759
413.50000, 
414.00000,1.432709
414.50000, 
415.00000,1.427536
415.50000, 
416.00000,1.423950
416.50000, 
417.00000,1.419342
417.50000, 
418.00000,1.417221
418.50000, 
419.00000,1.414276
419.50000, 
420.00000,1.412674
420.50000, 
421.00000,1.410965
421.50000, 
422.00000,1.409180
422.50000, 
423.00000,1.408356
423.50000, 
424.00000,1.407990
424.50000, 
425.00000,1.407349
425.50000, 
426.00000,1.407806
426.50000, 
427.00000,1.409180
427.50000, 
428.00000,1.410110
428.50000, 
429.00000,1.411758
429.50000, 
430.00000,1.413712
430.50000, 
431.00000,1.416000
431.50000, 
432.00000,1.418137
432.50000, 
433.00000,1.420639
433.50000, 
434.00000,1.423370
434.50000, 
435.00000,1.426132
435.50000, 
436.00000,1.428375
436.50000, 
437.00000,1.430527
437.50000, 
438.00000,1.432617
438.50000, 
439.00000,1.434967
439.50000, 
440.00000,1.436722
440.50000, 
441.00000,1.438782
441.50000, 
442.00000,1.441299
442.50000, 
443.00000,1.444305
443.50000, 
444.00000,1.446564
444.50000, 
445.00000,1.449966
445.50000, 
446.00000,1.452423
446.50000, 
447.00000,1.456024
447.50000, 
448.00000,1.459290
448.50000, 
449.00000,1.462860
449.50000, 
450.00000,1.465958
450.50000, 
451.00000,1.469452
451.50000, 
452.00000,1.473404
452.50000, 
453.00000,1.477463
453.50000, 
454.00000,1.481400
454.50000, 
455.00000,1.485489
455.50000, 
456.00000,1.489944
456.50000, 
457.00000,1.494125
457.50000, 
458.00000,1.498856
458.50000, 
459.00000,1.503464
459.50000, 
460.00000,1.507813
460.50000, 
461.00000,1.512680
461.50000, 
462.00000,1.516830
462.50000, 
463.00000,1.521957
463.50000, 
464.00000,1.527481
464.50000, 
465.00000,1.531860
465.50000, 
466.00000,1.537537
466.50000, 
467.00000,1.542053
467.50000, 
468.00000,1.546570
468.50000, 
469.00000,1.550735
469.50000, 
470.00000,1.555634
470.50000, 
471.00000,1.559311
471.50000, 
472.00000,1.561768
472.50000, 
473.00000,1.562103
473.50000, 
474.00000,1.565887
474.50000, 
475.00000,1.574188
475.50000, 
476.00000,1.582962
476.50000, 
477.00000,1.592850
477.50000, 
478.00000,1.603882
478.50000, 
479.00000,1.616013
479.50000, 
480.00000,1.629333
480.50000, 
481.00000,1.643280
481.50000, 
482.00000,1.658569
482.50000, 
483.00000,1.676666
483.50000, 
484.00000,1.696457
484.50000, 
485.00000,1.717102
485.50000, 
486.00000,1.738861
486.50000, 
487.00000,1.762222
487.50000, 
488.00000,1.785355
488.50000, 
489.00000,1.806870
489.50000, 
490.00000,1.827240
490.50000, 
491.00000,1.844650
491.50000, 
492.00000,1.859467
492.50000, 
493.00000,1.871155
493.50000, 
494.00000,1.879929
494.50000, 
495.00000,1.885742
495.50000, 
496.00000,1.888885
496.50000, 
497.00000,1.890381
497.50000, 
498.00000,1.890762
498.50000, 
499.00000,1.889984
499.50000, 
500.00000,1.888992
500.50000, 
501.00000,1.887299
501.50000, 
502.00000,1.885803
502.50000, 
503.00000,1.884521
503.50000, 
504.00000,1.884125
504.50000, 
505.00000,1.883423
505.50000, 
506.00000,1.882843
506.50000, 
507.00000,1.882782
507.50000, 
508.00000,1.883423
508.50000, 
509.00000,1.883530
509.50000, 
510.00000,1.884140
510.50000, 
511.00000,1.883942
511.50000, 
512.00000,1.884171
512.50000, 
513.00000,1.884125
513.50000, 
514.00000,1.884293
514.50000, 
515.00000,1.883728
515.50000, 
516.00000,1.883316
516.50000, 
517.00000,1.882614
517.50000, 
518.00000,1.881546
518.50000, 
519.00000,1.880112
519.50000, 
520.00000,1.878754
520.50000, 
521.00000,1.875717
521.50000, 
522.00000,1.873322
522.50000, 
523.00000,1.871185
523.50000, 
524.00000,1.868546
524.50000, 
525.00000,1.864670
525.50000, 
526.00000,1.861649
526.50000, 
527.00000,1.858017
527.50000, 
528.00000,1.854172
528.50000, 
529.00000,1.851105
529.50000, 
530.00000,1.847626
530.50000, 
531.00000,1.844147
531.50000, 
532.00000,1.840485
532.50000, 
533.00000,1.838165
533.50000, 
534.00000,1.835175
534.50000, 
535.00000,1.832581
535.50000, 
536.00000,1.829102
536.50000, 
537.00000,1.826492
537.50000, 
538.00000,1.825424
538.50000, 
539.00000,1.824783
539.50000, 
540.00000,1.824814
540.50000, 
541.00000,1.824829
541.50000, 
542.00000,1.825668
542.50000, 
543.00000,1.826416
543.50000, 
544.00000,1.827454
544.50000, 
545.00000,1.828537
545.50000, 
546.00000,1.829865
546.50000, 
547.00000,1.831467
547.50000, 
548.00000,1.832596
548.50000, 
549.00000,1.834122
549.50000, 
550.00000,1.835510
550.50000, 
551.00000,1.836014
551.50000, 
552.00000,1.836548
552.50000, 
553.00000,1.836472
553.50000, 
554.00000,1.835663
554.50000, 
555.00000,1.834732
555.50000, 
556.00000,1.832321
556.50000, 
557.00000,1.829681
557.50000, 
558.00000,1.825378
558.50000, 
559.00000,1.820251
559.50000, 
560.00000,1.815338
560.50000, 
561.00000,1.808487
561.50000, 
562.00000,1.801346
562.50000, 
563.00000,1.793533
563.50000, 
564.00000,1.784378
564.50000, 
565.00000,1.774689
565.50000, 
566.00000,1.764313
566.50000, 
567.00000,1.754150
567.50000, 
568.00000,1.742813
568.50000, 
569.00000,1.731140
569.50000, 
570.00000,1.718948
570.50000, 
571.00000,1.706467
571.50000, 
572.00000,1.694153
572.50000, 
573.00000,1.681671
573.50000, 
574.00000,1.669174
574.50000, 
575.00000,1.656677
575.50000, 
576.00000,1.643845
576.50000, 
577.00000,1.631607
577.50000, 
578.00000,1.620117
578.50000, 
579.00000,1.609528
579.50000, 
580.00000,1.599533
580.50000, 
581.00000,1.590378
581.50000, 
582.00000,1.581924
582.50000, 
583.00000,1.574615
583.50000, 
584.00000,1.567383
584.50000, 
585.00000,1.561447
585.50000, 
586.00000,1.556564
586.50000, 
587.00000,1.552551
587.50000, 
588.00000,1.549255
588.50000, 
589.00000,1.546875
589.50000, 
590.00000,1.545197
590.50000, 
591.00000,1.544403
591.50000, 
592.00000,1.544052
592.50000, 
593.00000,1.544296
593.50000, 
594.00000,1.545151
594.50000, 
595.00000,1.546158
595.50000, 
596.00000,1.547348
596.50000, 
597.00000,1.548874
597.50000, 
598.00000,1.550369
598.50000, 
599.00000,1.551620
599.50000, 
600.00000,1.552689
600.50000, 
601.00000,1.553314
601.50000, 
602.00000,1.553497
602.50000, 
603.00000,1.552902
603.50000, 
604.00000,1.551300
604.50000, 
605.00000,1.548676
605.50000, 
606.00000,1.544846
606.50000, 
607.00000,1.539902
607.50000, 
608.00000,1.533951
608.50000, 
609.00000,1.526459
609.50000, 
610.00000,1.517609
610.50000, 
611.00000,1.507950
611.50000, 
612.00000,1.496902
612.50000, 
613.00000,1.484711
613.50000, 
614.00000,1.471313
614.50000, 
615.00000,1.456772
615.50000, 
616.00000,1.441299
616.50000, 
617.00000,1.425140
617.50000, 
618.00000,1.407623
618.50000, 
619.00000,1.389908
619.50000, 
620.00000,1.372055
620.50000, 
621.00000,1.353302
621.50000, 
622.00000,1.333817
622.50000, 
623.00000,1.313797
623.50000, 
624.00000,1.293106
624.50000, 
625.00000,1.272339
625.50000, 
626.00000,1.252029
626.50000, 
627.00000,1.232040
627.50000, 
628.00000,1.212631
628.50000, 
629.00000,1.193054
629.50000, 
630.00000,1.173843
630.50000, 
631.00000,1.154785
631.50000, 
632.00000,1.135056
632.50000, 
633.00000,1.114227
633.50000, 
634.00000,1.090225
634.50000, 
635.00000,1.076187
635.50000, 
636.00000,1.077927
636.50000, 
637.00000,1.085098
637.50000, 
638.00000,1.097000
638.50000, 
639.00000,1.114548
639.50000, 
640.00000,1.136795
640.50000, 
641.00000,1.162979
641.50000, 
642.00000,1.191910
642.50000, 
643.00000,1.219757
643.50000, 
644.00000,1.243805
644.50000, 
645.00000,1.260925
645.50000, 
646.00000,1.270126
646.50000, 
647.00000,1.270264
647.50000, 
648.00000,1.262680
648.50000, 
649.00000,1.249084
649.50000, 
650.00000,1.231796
650.50000, 
651.00000,1.212891
651.50000, 
652.00000,1.193405
652.50000, 
653.00000,1.174652
653.50000, 
654.00000,1.156281
654.50000, 
655.00000,1.139648
655.50000, 
656.00000,1.124359
656.50000, 
657.00000,1.110458
657.50000, 
658.00000,1.097672
658.50000, 
659.00000,1.085907
659.50000, 
660.00000,1.074829
660.50000, 
661.00000,1.064682
661.50000, 
662.00000,1.055420
662.50000, 
663.00000,1.046967
663.50000, 
664.00000,1.039383
664.50000, 
665.00000,1.032349
665.50000, 
666.00000,1.025925
666.50000, 
667.00000,1.019821
667.50000, 
668.00000,1.014069
668.50000, 
669.00000,1.008438
669.50000, 
670.00000,1.003296
670.50000, 
671.00000,0.998367
671.50000, 
672.00000,0.993607
672.50000, 
673.00000,0.989273
673.50000, 
674.00000,0.985199
674.50000, 
675.00000,0.981201
675.50000, 
676.00000,0.977539
676.50000, 
677.00000,0.974014
677.50000, 
678.00000,0.970673
678.50000, 
679.00000,0.967514
679.50000, 
680.00000,0.964584
680.50000, 
681.00000,0.961594
681.50000, 
682.00000,0.958771
682.50000, 
683.00000,0.956100
683.50000, 
684.00000,0.953720
684.50000, 
685.00000,0.951401
685.50000, 
686.00000,0.949066
686.50000, 
687.00000,0.946701
687.50000, 
688.00000,0.944626
688.50000, 
689.00000,0.942551
689.50000, 
690.00000,0.940521
690.50000, 
691.00000,0.938431
691.50000, 
692.00000,0.936569
692.50000, 
693.00000,0.934753
693.50000, 
694.00000,0.932892
694.50000, 
695.00000,0.931168
695.50000, 
696.00000,0.929352
696.50000, 
697.00000,0.927643
697.50000, 
698.00000,0.925827
698.50000, 
699.00000,0.924316
699.50000, 
700.00000,0.922623
700.50000, 
701.00000,0.921082
701.50000, 
702.00000,0.919388
702.50000, 
703.00000,0.917953
703.50000, 
704.00000,0.916504
704.50000, 
705.00000,0.915146
705.50000, 
706.00000,0.913589
706.50000, 
707.00000,0.912140
707.50000, 
708.00000,0.910645
708.50000, 
709.00000,0.909225
709.50000, 
710.00000,0.907898
710.50000, 
711.00000,0.906509
711.50000, 
712.00000,0.905045
712.50000, 
713.00000,0.903625
713.50000, 
714.00000,0.902252
714.50000, 
715.00000,0.900696
715.50000, 
716.00000,0.899368
716.50000, 
717.00000,0.897980
717.50000, 
718.00000,0.896408
718.50000, 
719.00000,0.895035
719.50000, 
720.00000,0.893661
720.50000, 
721.00000,0.892380
721.50000, 
722.00000,0.890915
722.50000, 
723.00000,0.889587
723.50000, 
724.00000,0.888260
724.50000, 
725.00000,0.886932
725.50000, 
726.00000,0.885666
726.50000, 
727.00000,0.884552
727.50000, 
728.00000,0.883286
728.50000, 
729.00000,0.882080
729.50000, 
730.00000,0.880997
730.50000, 
731.00000,0.879807
731.50000, 
