"0% - RawData"
"Wavelength nm.","Abs."
300.00000,1.345108
300.50000, 
301.00000,1.331223
301.50000, 
302.00000,1.313690
302.50000, 
303.00000,1.299316
303.50000, 
304.00000,1.283600
304.50000, 
305.00000,1.270081
305.50000, 
306.00000,1.254868
306.50000, 
307.00000,1.242630
307.50000, 
308.00000,1.230911
308.50000, 
309.00000,1.219055
309.50000, 
310.00000,1.209564
310.50000, 
311.00000,1.200974
311.50000, 
312.00000,1.192810
312.50000, 
313.00000,1.184433
313.50000, 
314.00000,1.180313
314.50000, 
315.00000,1.174698
315.50000, 
316.00000,1.171005
316.50000, 
317.00000,1.168945
317.50000, 
318.00000,1.167908
318.50000, 
319.00000,1.166565
319.50000, 
320.00000,1.170059
320.50000, 
321.00000,1.172363
321.50000, 
322.00000,1.176163
322.50000, 
323.00000,1.181381
323.50000, 
324.00000,1.188004
324.50000, 
325.00000,1.194077
325.50000, 
326.00000,1.201736
326.50000, 
327.00000,1.209198
327.50000, 
328.00000,1.217422
328.50000, 
329.00000,1.225525
329.50000, 
330.00000,1.231384
330.50000, 
331.00000,1.237640
331.50000, 
332.00000,1.240921
332.50000, 
333.00000,1.244995
333.50000, 
334.00000,1.244888
334.50000, 
335.00000,1.242920
335.50000, 
336.00000,1.239578
336.50000, 
337.00000,1.233795
337.50000, 
338.00000,1.223373
338.50000, 
339.00000,1.214371
339.50000, 
340.00000,1.201935
340.50000, 
341.00000,1.189438
341.50000, 
342.00000,1.178329
342.50000, 
343.00000,1.163559
343.50000, 
344.00000,1.147720
344.50000, 
345.00000,1.133804
345.50000, 
346.00000,1.119766
346.50000, 
347.00000,1.105621
347.50000, 
348.00000,1.090042
348.50000, 
349.00000,1.076904
349.50000, 
350.00000,1.061371
350.50000, 
351.00000,1.048904
351.50000, 
352.00000,1.034637
352.50000, 
353.00000,1.021240
353.50000, 
354.00000,1.007828
354.50000, 
355.00000,0.995636
355.50000, 
356.00000,0.984085
356.50000, 
357.00000,0.972183
357.50000, 
358.00000,0.962357
358.50000, 
359.00000,0.952118
359.50000, 
360.00000,0.944366
360.50000, 
361.00000,0.935516
361.50000, 
362.00000,0.926773
362.50000, 
363.00000,0.919312
363.50000, 
364.00000,0.912827
364.50000, 
365.00000,0.906311
365.50000, 
366.00000,0.900665
366.50000, 
367.00000,0.893600
367.50000, 
368.00000,0.888184
368.50000, 
369.00000,0.881531
369.50000, 
370.00000,0.876831
370.50000, 
371.00000,0.870407
371.50000, 
372.00000,0.865494
372.50000, 
373.00000,0.860367
373.50000, 
374.00000,0.855667
374.50000, 
375.00000,0.850784
375.50000, 
376.00000,0.846298
376.50000, 
377.00000,0.841644
377.50000, 
378.00000,0.836884
378.50000, 
379.00000,0.833664
379.50000, 
380.00000,0.830734
380.50000, 
381.00000,0.827637
381.50000, 
382.00000,0.824387
382.50000, 
383.00000,0.821442
383.50000, 
384.00000,0.819031
384.50000, 
385.00000,0.816879
385.50000, 
