"10% Tension H - RawData"
"Wavelength nm.","Abs."
300.00000,3.964478
300.50000, 
301.00000,3.891251
301.50000, 
302.00000,3.905609
302.50000, 
303.00000,3.914978
303.50000, 
304.00000,3.894196
304.50000, 
305.00000,3.926758
305.50000, 
306.00000,3.898407
306.50000, 
307.00000,3.919418
307.50000, 
308.00000,3.876480
308.50000, 
309.00000,3.994141
309.50000, 
310.00000,3.846344
310.50000, 
311.00000,3.851395
311.50000, 
312.00000,3.972473
312.50000, 
313.00000,3.882721
313.50000, 
314.00000,3.926926
314.50000, 
315.00000,3.992401
315.50000, 
316.00000,3.935120
316.50000, 
317.00000,3.945404
317.50000, 
318.00000,3.939743
318.50000, 
319.00000,3.791153
319.50000, 
320.00000,3.842728
320.50000, 
321.00000,3.996185
321.50000, 
322.00000,3.880814
322.50000, 
323.00000,3.854675
323.50000, 
324.00000,3.858170
324.50000, 
325.00000,3.860428
325.50000, 
326.00000,3.960358
326.50000, 
327.00000,3.931091
327.50000, 
328.00000,3.983002
328.50000, 
329.00000,3.964752
329.50000, 
330.00000,3.855865
330.50000, 
331.00000,3.816254
331.50000, 
332.00000,3.923172
332.50000, 
333.00000,3.840912
333.50000, 
334.00000,3.953262
334.50000, 
335.00000,3.997742
335.50000, 
336.00000,3.911560
336.50000, 
337.00000,3.967163
337.50000, 
338.00000,3.803558
338.50000, 
339.00000,3.880966
339.50000, 
340.00000,3.533005
340.50000, 
341.00000,3.749374
341.50000, 
342.00000,3.803314
342.50000, 
343.00000,3.669266
343.50000, 
344.00000,3.859711
344.50000, 
345.00000,3.784698
345.50000, 
346.00000,3.830887
346.50000, 
347.00000,3.972855
347.50000, 
348.00000,3.715256
348.50000, 
349.00000,3.953979
349.50000, 
350.00000,3.870087
350.50000, 
351.00000,3.643768
351.50000, 
352.00000,3.841751
352.50000, 
353.00000,3.670273
353.50000, 
354.00000,3.628326
354.50000, 
355.00000,3.975128
355.50000, 
356.00000,3.764084
356.50000, 
357.00000,3.867584
357.50000, 
358.00000,3.956238
358.50000, 
359.00000,3.810165
359.50000, 
360.00000,3.939484
360.50000, 
361.00000,3.865036
361.50000, 
362.00000,3.866623
362.50000, 
363.00000,3.566666
363.50000, 
364.00000,3.870926
364.50000, 
365.00000,3.806076
365.50000, 
366.00000,3.765457
366.50000, 
367.00000,3.770966
367.50000, 
368.00000,3.852402
368.50000, 
369.00000,3.885101
369.50000, 
370.00000,3.956680
370.50000, 
371.00000,3.886353
371.50000, 
372.00000,3.767929
372.50000, 
373.00000,3.853424
373.50000, 
374.00000,3.892212
374.50000, 
375.00000,3.912186
375.50000, 
376.00000,3.773727
376.50000, 
377.00000,3.737473
377.50000, 
378.00000,3.753616
378.50000, 
379.00000,3.928040
379.50000, 
380.00000,3.748734
380.50000, 
381.00000,3.680939
381.50000, 
382.00000,3.743149
382.50000, 
383.00000,3.563171
383.50000, 
384.00000,3.286453
384.50000, 
385.00000,3.045792
385.50000, 
386.00000,2.889984
386.50000, 
387.00000,2.685745
387.50000, 
388.00000,2.528702
388.50000, 
389.00000,2.358444
389.50000, 
390.00000,2.212540
390.50000, 
391.00000,2.082474
391.50000, 
392.00000,1.981781
392.50000, 
393.00000,1.889267
393.50000, 
394.00000,1.797607
394.50000, 
395.00000,1.717636
395.50000, 
396.00000,1.646790
396.50000, 
397.00000,1.583344
397.50000, 
398.00000,1.529724
398.50000, 
399.00000,1.483398
399.50000, 
400.00000,1.442291
400.50000, 
401.00000,1.408340
401.50000, 
402.00000,1.379776
402.50000, 
403.00000,1.356613
403.50000, 
404.00000,1.337555
404.50000, 
405.00000,1.321976
405.50000, 
406.00000,1.310349
