Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V
300,0.207481,3.964294,3.814398,0.199845,4,4,0.197765,3.900951,4,0.198394,4,3.956099
300.5,0.206436,3.925951,3.883419,0.198816,3.97806,4,0.196824,3.940001,3.978052,0.197359,4,3.977175
301,0.205409,4,3.967315,0.197741,3.983123,3.934429,0.195763,3.938575,3.916744,0.19638,3.941088,4
301.5,0.204034,4,4,0.196587,3.958317,3.994425,0.194553,4,3.961047,0.195174,4,3.994481
302,0.202789,4,3.970334,0.195449,3.976173,3.994171,0.193431,4,4,0.194044,4,3.98228
302.5,0.201662,4,4,0.194309,3.988061,3.934823,0.192347,4,3.970099,0.192825,4,4
303,0.200437,3.982394,3.973632,0.193117,4,4,0.191136,4,4,0.191754,4,4
303.5,0.199366,3.964787,4,0.191971,3.935057,3.971322,0.190135,4,3.973442,0.190653,4,4
304,0.19804,4,3.977473,0.190899,4,4,0.188969,3.969421,3.97737,0.189546,4,4
304.5,0.197102,3.951561,3.874789,0.189821,3.915604,3.914347,0.188074,3.969421,3.90855,0.188584,4,3.955975
305,0.19594,3.951874,3.922667,0.188815,4,3.98014,0.187105,4,3.970083,0.187539,4,3.943748
305.5,0.194842,3.962369,4,0.187785,4,3.966759,0.185994,3.928764,3.917179,0.186351,4,3.95584
306,0.19344,3.958032,3.985369,0.186574,4,3.946303,0.184547,3.915456,3.941525,0.185287,3.911713,3.901763
306.5,0.192265,3.878222,4,0.185795,4,3.958021,0.18363,3.868013,3.935562,0.18439,3.973562,3.973705
307,0.191617,3.962183,3.956252,0.18502,3.970747,3.906456,0.183013,3.978193,3.952163,0.183527,4,3.916008
307.5,0.190639,4,3.994284,0.184229,3.913018,3.866629,0.182119,3.864869,4,0.182876,3.994188,4
308,0.18998,3.821701,4,0.183421,3.929038,3.972471,0.181378,3.839714,3.962219,0.182225,3.882137,3.994269
308.5,0.189072,3.978315,3.985518,0.182714,3.970914,3.868164,0.18059,3.972164,3.979727,0.181311,3.966434,3.956554
309,0.188317,4,3.978308,0.181792,3.985512,3.956639,0.180016,4,3.985457,0.180572,3.916962,4
