Wavelength,0%,0%H,0%V,10%,10%H,10%V,20%,20%H,20%V,30%,30%H,30%V,40%,40%H,40%V,50%,50%H,50%V
300,0.433788,4,4,0.394925,4,4,0.413223,4,4,0.392195,4,4,0.388122,4,3.983489,0.389276,4,4
300.5,0.431662,4,4,0.392923,3.970814,4,0.411178,4,4,0.390284,4,4,0.386125,3.994737,3.994713,0.387221,4,4
301,0.429235,4,4,0.390655,3.994535,4,0.40885,3.988463,4,0.388094,4,4,0.384006,4,3.910665,0.385221,4,4
301.5,0.426603,3.988345,3.970443,0.38812,3.994535,4,0.406354,4,3.967144,0.385892,3.961568,4,0.382072,4,3.947889,0.382982,4,4
302,0.423869,4,3.957882,0.385657,4,3.98298,0.403841,4,4,0.383576,4,4,0.379584,4,4,0.380788,4,4
302.5,0.421051,4,3.988001,0.383564,4,4,0.401385,3.994102,4,0.38137,4,4,0.377294,4,3.970112,0.378437,4,4
303,0.418716,4,3.993939,0.381119,4,3.987667,0.399136,3.98255,4,0.37903,4,4,0.375219,4,4,0.376282,3.973693,4
303.5,0.416246,4,4,0.379083,3.993749,3.977756,0.397048,4,4,0.376927,4,4,0.373177,4,4,0.374257,4,4
304,0.413832,4,4,0.377144,4,4,0.395136,4,4,0.37483,4,4,0.370959,4,4,0.372253,4,4
304.5,0.411556,4,4,0.374857,3.987287,4,0.392787,4,3.993265,0.37295,4,4,0.369107,4,4,0.370416,4,4
305,0.409382,3.993033,4,0.372913,4,4,0.39075,4,4,0.371138,4,4,0.367282,4,4,0.368561,4,4
305.5,0.407122,3.948376,4,0.370561,4,3.957417,0.388457,4,4,0.369181,4,4,0.365403,4,3.976889,0.366432,4,4
306,0.404601,4,4,0.367216,3.978215,3.972062,0.385185,3.954229,4,0.36738,4,4,0.363114,4,4,0.364055,3.994142,3.966163
306.5,0.402637,3.916116,3.961119,0.365473,4,4,0.383463,3.934327,4,0.365651,4,4,0.361318,3.957984,4,0.36238,4,3.994169
307,0.40064,3.985477,4,0.363884,4,4,0.381702,3.972115,4,0.364376,4,4,0.359844,3.957984,4,0.361219,4,4
307.5,0.399102,3.918863,4,0.36236,4,3.994268,0.380158,4,3.994205,0.362906,3.97824,4,0.358625,4,4,0.359816,3.978225,4
