Wavelength,Test1,Test2,Test3,Average
300,4,4,4,4
300.5,4,4,4,4
301,4,4,3.978602,3.992867333
301.5,4,3.967043,4,3.989014333
302,4,3.978353,4,3.992784333
302.5,4,3.98804,4,3.996013333
303,4,4,4,4
303.5,4,4,4,4
304,3.975603,4,4,3.991867667
304.5,4,4,4,4
305,4,4,4,4
305.5,4,4,4,4
306,4,4,4,4
306.5,4,4,4,4
307,3.972162,3.944351,4,3.972171
307.5,3.985456,4,4,3.995152
308,4,4,4,4
308.5,4,3.962309,4,3.987436333
309,4,3.95097,4,3.983656667
309.5,4,4,4,4
310,4,4,3.966985,3.988995
310.5,3.985593,3.930197,4,3.97193
311,3.945452,4,3.967069,3.970840333
311.5,3.964088,4,4,3.988029333
312,4,3.978459,4,3.992819667
312.5,4,3.994477,4,3.998159
313,4,3.972361,4,3.990787
313.5,3.962379,3.902853,4,3.955077333
314,3.942338,4,4,3.980779333
314.5,4,4,3.962282,3.987427333
315,4,4,3.962282,3.987427333
315.5,4,4,4,4
316,4,3.985255,4,3.995085
316.5,4,3.985255,4,3.995085
317,4,4,4,4
317.5,4,4,4,4
318,4,4,4,4
318.5,4,4,4,4
319,4,4,4,4
319.5,4,4,3.977164,3.992388
320,4,4,4,4
320.5,4,4,3.946148,3.982049333
321,4,4,4,4
321.5,4,4,4,4
322,4,4,4,4
322.5,4,4,4,4
323,4,4,3.991464,3.997154667
323.5,3.955111,3.99129,4,3.982133667
324,4,4,4,4
324.5,4,4,3.963312,3.987770667
325,3.981604,3.97446,4,3.985354667
325.5,3.940853,4,4,3.980284333
326,4,4,4,4
326.5,3.989633,4,4,3.996544333
327,4,3.961847,3.980454,3.980767
327.5,4,4,4,4
328,4,3.952551,4,3.984183667
328.5,4,4,4,4
329,3.959513,4,4,3.986504333
329.5,4,4,3.960206,3.986735333
330,4,3.987413,4,3.995804333
330.5,4,3.998353,4,3.999451
331,4,3.998353,3.898185,3.965512667
331.5,4,4,4,4
332,4,4,4,4
332.5,4,4,3.969655,3.989885
333,4,4,4,4
333.5,4,3.976323,4,3.992107667
334,3.937266,4,4,3.979088667
334.5,4,4,4,4
335,3.947799,4,3.968003,3.971934
