Wavelength,Test 1,Test 2,Test 3,Average
300.0000000,4.0000000,4.0000000,4.0000000,4.0000000
300.5000000,3.9886620,3.9834140,3.9490280,3.9737013
301.0000000,4.0000000,4.0000000,3.9832430,3.9944143
301.5000000,4.0000000,3.9422700,4.0000000,3.9807567
302.0000000,4.0000000,4.0000000,4.0000000,4.0000000
302.5000000,3.9168070,3.9820320,4.0000000,3.9662797
303.0000000,3.9658120,3.9271030,4.0000000,3.9643050
303.5000000,3.9775580,4.0000000,3.9936630,3.9904070
304.0000000,3.9508840,4.0000000,3.9733650,3.9747497
304.5000000,4.0000000,4.0000000,4.0000000,4.0000000
305.0000000,3.9454840,4.0000000,4.0000000,3.9818280
305.5000000,4.0000000,4.0000000,4.0000000,4.0000000
306.0000000,3.8847110,4.0000000,3.9635280,3.9494130
306.5000000,3.9580370,4.0000000,4.0000000,3.9860123
307.0000000,4.0000000,3.9854370,3.9664000,3.9839457
307.5000000,3.9543110,4.0000000,3.9782840,3.9775317
308.0000000,4.0000000,3.9797570,3.9448430,3.9748667
308.5000000,3.9942820,3.9942920,4.0000000,3.9961913
309.0000000,3.9623020,4.0000000,3.9855330,3.9826117
309.5000000,4.0000000,3.9722480,3.9855390,3.9859290
310.0000000,3.9855240,3.9723050,3.9799760,3.9792683
310.5000000,3.9722690,4.0000000,4.0000000,3.9907563
311.0000000,3.9639990,4.0000000,3.9856300,3.9832097
311.5000000,4.0000000,3.9455180,4.0000000,3.9818393
312.0000000,4.0000000,4.0000000,4.0000000,4.0000000
312.5000000,4.0000000,3.9856200,4.0000000,3.9952067
313.0000000,4.0000000,4.0000000,4.0000000,4.0000000
313.5000000,4.0000000,4.0000000,4.0000000,4.0000000
314.0000000,3.9669330,3.9074540,4.0000000,3.9581290
314.5000000,3.9245540,3.9060910,4.0000000,3.9435483
315.0000000,3.9854530,3.9434670,3.9216870,3.9502023
315.5000000,4.0000000,4.0000000,4.0000000,4.0000000
316.0000000,3.9181370,4.0000000,4.0000000,3.9727123
316.5000000,4.0000000,4.0000000,4.0000000,4.0000000
